phrase,count,sample_file,sample_key,sample_translation,sample_source
cooldown,857,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8161_MonsterTips,"Hợp Kim Đứt Gãy:
Sử dụng <color=highlight>Resonance Skill</color> sẽ giảm Cooldown của Resonance Liberation và phục hồi Resonance Energy.
Sử dụng <color=highlight>Resonance Liberation</color> sẽ giảm Cooldown Resonance Skill của tất cả thành viên trong đội, tăng Crit. Rate của Resonance Skill cho họ trong 3 giây và tăng Crit. DMG của Resonance Skill. Hiệu ứng này có thể cộng dồn.","Rupture Alloy:
Casting <color=highlight>Resonance Skill</color> reduces Resonance Liberation Cooldown and regenerates Resonance Energy.
Casting <color=highlight>Resonance Liberation</color> reduces all party members' Resonance Skill Cooldown, increases their Resonance Skill Crit. Rate for 3s, and boosts their Resonance Skill Crit. DMG. This effect can be stacked."
resonance skill,838,mistral_translate_work\split_by_prompt\json\ui\lang_menu\lang_menu__ui__part_0001.json,105,Resonance Skill,Resonance Skill
heavy attack,698,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8158_MonsterTips,"Furious Alloy:
Cooldown của Echo Skill giảm 50%. <color=highlight>Crit. Rate</color> và <color=highlight>Crit. DMG</color> của <color=highlight>Resonance Skill</color>, <color=highlight>Basic Attack</color> và <color=highlight>Heavy Attack</color> tăng lần lượt 100% và 30% sau khi Resonators sử dụng <color=highlight>Echo Skill</color>. Hiệu ứng tăng Crit. DMG có thể cộng dồn tối đa 15 lần.","Furious Alloy:
Echo Skill CD is reduced by 50%. The <color=highlight>Crit. Rate</color> and <color=highlight>Crit. DMG</color> of <color=highlight>Resonance Skill</color>, <color=highlight>Basic Attack</color> and <color=highlight>Heavy Attack</color> are increased by 100% and 30% respectively after Resonators cast an <color=highlight>Echo Skill</color>. The effect of Crit. DMG boost can stack up to 15 times."
basic attack,670,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8158_MonsterTips,"Furious Alloy:
Cooldown của Echo Skill giảm 50%. <color=highlight>Crit. Rate</color> và <color=highlight>Crit. DMG</color> của <color=highlight>Resonance Skill</color>, <color=highlight>Basic Attack</color> và <color=highlight>Heavy Attack</color> tăng lần lượt 100% và 30% sau khi Resonators sử dụng <color=highlight>Echo Skill</color>. Hiệu ứng tăng Crit. DMG có thể cộng dồn tối đa 15 lần.","Furious Alloy:
Echo Skill CD is reduced by 50%. The <color=highlight>Crit. Rate</color> and <color=highlight>Crit. DMG</color> of <color=highlight>Resonance Skill</color>, <color=highlight>Basic Attack</color> and <color=highlight>Heavy Attack</color> are increased by 100% and 30% respectively after Resonators cast an <color=highlight>Echo Skill</color>. The effect of Crit. DMG boost can stack up to 15 times."
mid-air attack,362,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8522_MonsterTips,"Trong thử thách này:
<color=Highlight>Changli</color> duy trì trạng thái <color=Highlight>True Sight</color>.
Chi phí STA khi bay được giảm.

Buff chính: <color=Highlight>Mid-air Attack</color> triệu hồi Thiên Thạch khi trúng đích, gây Fusion DMG.","In this challenge:
<color=Highlight>Changli</color> remains in the <color=Highlight>True Sight</color> state.
Flight STA cost is reduced.

Key Buff: <color=Highlight>Mid-air Attack</color> summons a Meteorite on hit, dealing Fusion DMG."
fusion dmg,342,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0012.json,InstanceDungeon_4042_MonsterTips,<color=Fire>Fusion DMG</color> Bonus tăng 40%.,<color=Fire>Fusion DMG</color> Bonus increased by 40%.
aero dmg,317,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8159_MonsterTips,"Hợp kim Ethereal:
Giảm 50% Cooldown của Echo Skill. Sau khi Resonators sử dụng <color=highlight>Echo Skill</color>, sẽ tạo ra trường gió kéo liên tục kẻ địch vào. Khi trường gió tan, sẽ gây <color=Wind>Aero DMG</color> 1 lần.","Ethereal Alloy:
Echo Skill CD is reduced by 50%. After Resonators release <color=highlight>Echo Skills</color>, a wind field will be generated to continuously pull in enemies. When the wind field disperses, <color=Wind>Aero DMG</color> will be dealt 1 time."
higher res,300,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0004.json,Morale_flagdesc_map_1,"Kẻ địch có <color=HighlightB>higher RES</color> đối với <color=Thunder>Electro DMG</color>.

<color=#767676>A humanoid Tacet Discord with a body assembled from shattered stained glass. Glittering lights beam from its body with each move. It exudes a resilient beauty born of rebirth through destruction.
The stained glasses that form the Vitreum Dancers are varied and unique, making each Vitreum Dancer a unique existence.</color>","The enemies have a <color=HighlightB>higher RES</color> against <color=Thunder>Electro DMG</color>.

<color=#767676> A humanoid Tacet Discord with a body assembled from shattered stained glass. Glittering lights beam from its body with each move. It exudes a resilient beauty born of rebirth through destruction.
The stained glasses that form the Vitreum Dancers are varied and unique, making each Vitreum Dancer a unique existence.</color>"
havoc dmg,293,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8152_MonsterTips,"Freezing Alloy:
Concerto Energy của Resonators <color=Ice>Glacio</color> và <color=Dark>Havoc</color> được tự động phục hồi.
Khi Resonators <color=Ice>Glacio</color> giải phóng Intro Skill, sẽ đóng băng và đánh dấu tất cả kẻ địch trong phạm vi. Khi kẻ địch bị đánh dấu nhận sát thương, gây thêm <color=Ice>Glacio DMG</color>.
Khi Resonators <color=Dark>Havoc</color> giải phóng Intro Skill, sẽ kích hoạt vụ nổ 6 lần xung quanh, gây <color=Dark>Havoc DMG</color>.","Freezing Alloy:
Concerto Energy of <color=Ice>Glacio</color> and <color=Dark>Havoc</color> Resonators is automatically restored.
When <color=Ice>Glacio</color> Resonators release Intro Skill, freeze and mark all enemies within an area. When the marked enemies take damage, deals additional <color=Ice>Glacio DMG</color>.
When <color=Dark>Havoc</color> Resonators release Intro Skill, explosions will be triggered 6 times around them, dealing <color=Dark>Havoc DMG</color>."
spectro dmg,293,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8151_MonsterTips,"Breath Alloy:
Concerto Energy của Resonators <color=Wind>Aero</color> và <color=Light>Spectro</color> được phục hồi tự động
Khi Resonators <color=Wind>Aero</color> sử dụng Intro Skill, một cơn lốc sẽ được triệu hồi.
Khi Resonators <color=Light>Spectro</color> sử dụng Intro Skill, gây <color=Light>Spectro DMG</color> và đánh dấu kẻ địch trong phạm vi nhất định. Một vụ nổ sẽ được kích hoạt khi kẻ địch bị đánh dấu nhận sát thương, gây thêm sát thương.","Breath Alloy:
Concerto Energy of <color=Wind>Aero</color> and <color=Light>Spectro</color> Resonators is automatically restored
When <color=Wind>Aero</color> Resonators cast Intro Skills, a whirlwind will be summoned.
When <color=Light>Spectro</color> Resonators cast Intro Skills, deal <color=Light>Spectro DMG</color> to and mark the enemies within a certain range. An explosion will be triggered when the marked enemies take damage, dealing additional damage."
