severity,suspicious_count,ratio,words,domain,file,primary_key,translation,source_en
31.38,7,0.538,Cooldown; Energy; Prism; Summon; Thermo; Vibrancy,phantom_skill,mistral_translate_work\split_by_prompt\json\phantom_skill\lang_phantom\lang_phantom__phantom_skill__part_0001.json,161,"Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây","Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds"
31.38,7,0.538,Cooldown; Energy; Prism; Summon; Thermo; Vibrancy,phantom_skill,mistral_translate_work\split_by_prompt\json\phantom_skill\lang_phantom\lang_phantom__phantom_skill__part_0001.json,162,"Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây","Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds"
31.38,7,0.538,Cooldown; Energy; Prism; Summon; Thermo; Vibrancy,phantom_skill,mistral_translate_work\split_by_prompt\json\phantom_skill\lang_phantom\lang_phantom__phantom_skill__part_0001.json,163,"Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây","Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds"
31.38,7,0.538,Cooldown; Energy; Prism; Summon; Thermo; Vibrancy,phantom_skill,mistral_translate_work\split_by_prompt\json\phantom_skill\lang_phantom\lang_phantom__phantom_skill__part_0001.json,164,"Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây","Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds"
31.38,7,0.538,Cooldown; Energy; Prism; Summon; Thermo; Vibrancy,phantom_skill,mistral_translate_work\split_by_prompt\json\phantom_skill\lang_phantom\lang_phantom__phantom_skill__part_0001.json,165,"Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây","Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds"
31.38,7,0.538,Cooldown; Energy; Prism; Summon; Thermo; Vibrancy,phantom_skill,mistral_translate_work\split_by_prompt\json\phantom_skill\lang_phantom\lang_phantom__phantom_skill__part_0001.json,166,"Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây","Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds"
31.38,7,0.538,Cooldown; Energy; Prism; Summon; Thermo; Vibrancy,phantom_skill,mistral_translate_work\split_by_prompt\json\phantom_skill\lang_phantom\lang_phantom__phantom_skill__part_0001.json,167,"Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây","Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds"
31.38,7,0.538,Cooldown; Energy; Prism; Summon; Thermo; Vibrancy,phantom_skill,mistral_translate_work\split_by_prompt\json\phantom_skill\lang_phantom\lang_phantom__phantom_skill__part_0001.json,168,"Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây","Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds"
31.38,7,0.538,Cooldown; Energy; Prism; Summon; Thermo; Vibrancy,phantom_skill,mistral_translate_work\split_by_prompt\json\phantom_skill\lang_phantom\lang_phantom__phantom_skill__part_0001.json,169,"Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây","Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds"
31.38,7,0.538,Cooldown; Energy; Prism; Summon; Thermo; Vibrancy,phantom_skill,mistral_translate_work\split_by_prompt\json\phantom_skill\lang_phantom\lang_phantom__phantom_skill__part_0001.json,170,"Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây","Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds"
31.38,7,0.538,Cooldown; Energy; Prism; Summon; Thermo; Vibrancy,phantom_skill,mistral_translate_work\split_by_prompt\json\phantom_skill\lang_phantom\lang_phantom__phantom_skill__part_0001.json,171,"Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây","Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds"
31.38,7,0.538,Cooldown; Energy; Prism; Summon; Thermo; Vibrancy,phantom_skill,mistral_translate_work\split_by_prompt\json\phantom_skill\lang_phantom\lang_phantom__phantom_skill__part_0001.json,172,"Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây","Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds"
31.38,7,0.538,Cooldown; Energy; Prism; Summon; Thermo; Vibrancy,phantom_skill,mistral_translate_work\split_by_prompt\json\phantom_skill\lang_phantom\lang_phantom__phantom_skill__part_0001.json,173,"Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây","Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds"
31.38,7,0.538,Cooldown; Energy; Prism; Summon; Thermo; Vibrancy,phantom_skill,mistral_translate_work\split_by_prompt\json\phantom_skill\lang_phantom\lang_phantom__phantom_skill__part_0001.json,174,"Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây","Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds"
