database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_function.db,FunctionMenu,Id,1,Content,ui,translated,,PASS,10,,,,,Resonators,Resonator,
lang_function.db,FunctionMenu,Id,2,Content,ui,translated,,PASS,10,,,,,Backpack,Hành trang,
lang_function.db,FunctionMenu,Id,3,Content,ui,translated,,PASS,10,,,,,Resonance Terminal,Thiết Bị Đầu Cuối Cộng Hưởng,
lang_function.db,FunctionMenu,Id,4,Content,ui,translated,,PASS,10,,,,,Missions,Nhiệm vụ,
lang_function.db,FunctionMenu,Id,7,Content,ui,translated,,PASS,10,,,,,Team,Đội,
lang_function.db,FunctionMenu,Id,9,Content,ui,translated,,PASS,10,,,,,Modulation,Modulation,
lang_function.db,FunctionMenu,Id,10,Content,ui,translated,,PASS,10,,,,,Joint Exchange,Đổi chung,
lang_function.db,FunctionMenu,Id,11,Content,ui,translated,,PASS,10,,,,,Friends,Bạn bè,
lang_function.db,FunctionMenu,Id,13,Content,ui,translated,,PASS,10,,,,,Achievements,Thành tựu,
lang_function.db,FunctionMenu,Id,14,Content,ui,translated,,PASS,10,,,,,Gallery,Bộ Sưu Tập,
lang_function.db,FunctionMenu,Id,15,Content,ui,translated,,PASS,10,,,,,Map,Bản Đồ,
lang_function.db,FunctionMenu,Id,17,Content,ui,translated,,PASS,10,,,,,Resonance Record,Biên Bản Cộng Hưởng,
lang_function.db,FunctionMenu,Id,18,Content,ui,translated,,PASS,10,,,,,Exploration Tools,Dụng Cụ Thám Hiểm,
lang_function.db,FunctionMenu,Id,19,Content,ui,translated,,PASS,10,,,,,Feedback,Phản hồi,
lang_function.db,FunctionMenu,Id,20,Content,ui,translated,,PASS,10,,,,,Forces,Lực lượng,
lang_function.db,FunctionMenu,Id,21,Content,ui,translated,,PASS,10,,,,,Star Align,Sao Đồng Tâm,
lang_function.db,FunctionMenu,Id,22,Content,ui,translated,,PASS,10,,,,,Database,Cơ sở dữ liệu,
lang_function.db,FunctionMenu,Id,23,Content,ui,translated,,PASS,10,,,,,Gallery,Bộ Sưu Tập,
lang_function.db,FunctionCondition,Id,3,Content,ui,translated,,PASS,10,,,,,Modulation,Modulation,
lang_function.db,FunctionCondition,Id,4,Content,ui,translated,,PASS,10,,,,,Modulation will allow you to resonate with different Resonators and Weapons. It's an efficient way for collecting powerful weapons and meeting with reliable allies.,Điều chế giúp bạn cộng hưởng với nhiều Resonator và Vũ khí khác nhau. Đây là cách hiệu quả để thu thập vũ khí mạnh và gặp gỡ đồng minh đáng tin cậy.,
lang_function.db,FunctionCondition,Id,5,Content,ui,translated,,PASS,10,,,,,Co-op,Hợp tác,
lang_function.db,FunctionCondition,Id,6,Content,ui,translated,,PASS,10,,,,,Co-op mode will allow you meet with other Rovers. Kindness may lead you to precious friendship.,Chế độ Hợp tác cho phép bạn gặp gỡ các Vận Mệnh Giả khác. Sự tử tế có thể mang đến những tình bạn quý giá.,
lang_function.db,FunctionCondition,Id,7,Content,ui,translated,,PASS,10,,,,,Resonance Record,Biên Bản Cộng Hưởng,
lang_function.db,FunctionCondition,Id,8,Content,ui,translated,,PASS,10,,,,,"Resonance Terminal was installed with module of Tacet Discords, Mutant Organism and Tacet Fields. Using them will allow you to locate them quickly in the wilds.","Thiết Bị Đầu Cuối Cộng Hưởng được lắp đặt mô-đun của Tacet Discord, Sinh Vật Đột Biến và Tổ Tacet. Sử dụng chúng sẽ giúp bạn nhanh chóng xác định vị trí của chúng ngoài hoang dã.",
lang_function.db,FunctionCondition,Id,9,Content,ui,translated,,PASS,10,,,,,Solo Record,Kỷ Lục Solo,
lang_function.db,FunctionCondition,Id,10,Content,ui,translated,,PASS,10,,,,,You can experience special story of Resonators in Solo Record.,Trải nghiệm câu chuyện đặc biệt của Resonator trong Bản Ghi Đơn.,
lang_function.db,FunctionCondition,Id,11,Content,ui,translated,,PASS,10,,,,,Exploration Tools,Dụng Cụ Thám Hiểm,
lang_function.db,FunctionCondition,Id,12,Content,ui,translated,,PASS,10,,,,,Exploration tools installed in Resonance Terminal. They're flexible for dealing with various situation.,Công cụ thám hiểm tích hợp trong Thiết bị đầu cuối Cộng Hưởng. Linh hoạt xử lý nhiều tình huống.,
lang_function.db,FunctionCondition,Id,13,Content,ui,translated,,PASS,10,,,,,Progressing Base,Căn Cứ Đang Phát Triển,
