en_source,vn_translate,loi_du_doan
"Start Training
<size=32>Shorekeeper - <color=#d4bf5f>Chain Intro Skill</color> Tutorial
When the <color=Highlight>Supernal Stellarealm</color> exists, Shorekeeper can cast Intro Skill <color=Highlight>Discernment</color> to end the current Stellarealm, restore HP for all party members, and deal <color=Light>Spectro DMG</color> to the targets. This attack is guaranteed to be a Critical Hit dealing Resonance Liberation DMG.</size>","Bắt Đầu Huấn Luyện
<size=32>Shorekeeper - Tutorial Intro Skill <color=#d4bf5f>Chuỗi</color>
Khi <color=Highlight>Siêu Cõi Tinh Tú</color> tồn tại, Shorekeeper có thể sử dụng Intro Skill <color=Highlight>Phân Định</color> để kết thúc Cõi Tinh Tú hiện tại, phục hồi HP cho tất cả thành viên trong đội và gây <color=Light>Spectro DMG</color> lên mục tiêu. Đòn tấn công này chắc chắn sẽ là một đòn Critical Hit, gây Sát Thương Resonance Liberation.</size>",C?n ti?ng Anh nghi v?n: Critical; Hit; Intro; Liberation; Shorekeeper; Skill; Tutorial | S? t?/c?m nghi v?n: 10 | T? l? nghi v?n: 0.526 | M?c ??: 50.26
"When the Void Storm consumes personnel carrying a Cassette, the magnetic moment within the device becomes corrupted, reducing it to a Tape of Last Words. The encoded information is rendered unreadable.
A Mechasout in a Solsworn apparel is now collecting these Tapes of Last Words in the hope of ""cleansing"" the Voidmatter corruption and restoring the data once preserved within them.","Khi Void Storm nuốt chửng người mang theo Cassette, xung từ bên trong thiết bị sẽ bị nhiễm độc, biến nó thành một Cuộn Tape of Last Words. Thông tin mã hóa bên trong trở nên không thể đọc được.
Một Mechasout trong bộ đồ Solsworn hiện đang thu thập những Cuộn Tape of Last Words này với hy vọng ""thanh tẩy"" sự nhiễm độc Hư Vật và khôi phục lại dữ liệu từng được lưu giữ bên trong chúng.",C?n ti?ng Anh nghi v?n: Cassette; Last; Mechasout; of; Solsworn; Storm; Tape; Void; Words | S? t?/c?m nghi v?n: 13 | T? l? nghi v?n: 0.52 | M?c ??: 46.2
Photo of Phrolova performing Basic Attack - Movement of Fate and Finality,Chụp ảnh Phrolova thực hiện Basic Attack - Movement of Fate and Finality,C?n ti?ng Anh nghi v?n: and; Attack; Basic; Fate; Finality; Movement; of; Phrolova | S? t?/c?m nghi v?n: 8 | T? l? nghi v?n: 1.0 | M?c ??: 43.0
Photo of Phrolova performing Basic Attack - Movement of Fate and Finality,Chụp ảnh Phrolova thực hiện Basic Attack - Movement of Fate and Finality,C?n ti?ng Anh nghi v?n: and; Attack; Basic; Fate; Finality; Movement; of; Phrolova | S? t?/c?m nghi v?n: 8 | T? l? nghi v?n: 1.0 | M?c ??: 43.0
Take a photo of B.1.N.G.O. and two freshmen,Take a photo of B.1.N.G.O. cùng hai tân sinh viên,C?n ti?ng Anh nghi v?n: a; B; G; N; O; of; photo; Take | S? t?/c?m nghi v?n: 8 | T? l? nghi v?n: 0.8 | M?c ??: 38.0
"Play Stellar Orbit Beats and complete ""The Sound of Lost Joy"" at any difficulty with a Rating higher than A","Play Stellar Orbit Beats và hoàn thành ""The Sound of Lost Joy"" ở bất kỳ độ khó nào với Đánh Giá trên A",C?n ti?ng Anh nghi v?n: A; Beats; Joy; Lost; of; Orbit; Play; Sound; Stellar | S? t?/c?m nghi v?n: 9 | T? l? nghi v?n: 0.9 | M?c ??: 36.0
"Standard tests make your eyes glaze over, but a test of combat skills sends your adrenaline into overdrive. So bring your A-game and step into the clash for Instructor B.1.N.G.O.'s Combat Mastery Test!","Những bài test tiêu chuẩn khiến cậu chán ngấy, nhưng một bài test kỹ năng chiến đấu lại khiến máu cậu sôi sục. Vậy thì hãy dốc hết sức và bước vào cuộc đọ sức giành vị trí Huấn Luyện Viên của Bài Kiểm Tra Kỹ Năng Combat B.1.N.G.O.!",C?n ti?ng Anh nghi v?n: B; Combat; G; N; O; test | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.875 | M?c ??: 34.75
"Outside the Mind Dive Arcade, a student named Tetoris beckons you to try the latest ""Game of the Year,"" Lahai-Roi Blocks. The game has many wondrous properties, or so she claims...","Ngoài Mind Dive Arcade, một sinh viên tên Tetoris vẫy cậu thử trò chơi mới nhất ""Game of the Year"", Lahai-Roi Blocks. Cô ấy bảo trò này có nhiều đặc tính kỳ diệu lắm...",C?n ti?ng Anh nghi v?n: Arcade; Blocks; Dive; Game; Lahai; Mind; of; Tetoris; Year | S? t?/c?m nghi v?n: 9 | T? l? nghi v?n: 0.75 | M?c ??: 34.5
Every Flavor Bell-less Crab Challenge,Challenge Every Flavor Bell-less Crab,C?n ti?ng Anh nghi v?n: Bell; Challenge; Crab; Every; Flavor; less | S? t?/c?m nghi v?n: 6 | T? l? nghi v?n: 1.0 | M?c ??: 34.0
Take a photo of Chuji and Yoren,Take a photo of Chuji và Yoren,C?n ti?ng Anh nghi v?n: a; Chuji; of; photo; Take; Yoren | S? t?/c?m nghi v?n: 6 | T? l? nghi v?n: 1.0 | M?c ??: 34.0
