database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_subtitle_text.db,SubtitleText,Id,1,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,San'hua,San'hua,
lang_subtitle_text.db,SubtitleText,Id,3,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Chixia,Chixia,
lang_subtitle_text.db,SubtitleText,Id,5,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Taoqi,Taoqi,
lang_subtitle_text.db,SubtitleText,Id,7,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,San'hua,San'hua,
lang_subtitle_text.db,SubtitleText,Id,9,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,San'hua,San'hua,
lang_subtitle_text.db,SubtitleText,Id,11,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Chixia,Chixia,
lang_subtitle_text.db,SubtitleText,Id,13,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Chixia,Chixia,
lang_subtitle_text.db,SubtitleText,Id,15,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Taoqi,Taoqi,
lang_subtitle_text.db,SubtitleText,Id,17,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Aalto,Aalto,
lang_subtitle_text.db,SubtitleText,Id,19,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,An'ke,An'ke,
lang_subtitle_text.db,SubtitleText,Id,21,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Aalto,Aalto,
lang_subtitle_text.db,SubtitleText,Id,23,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Aalto,Aalto,
lang_subtitle_text.db,SubtitleText,Id,25,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,An'ke,An'ke,
lang_subtitle_text.db,SubtitleText,Id,27,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,An'ke,An'ke,
lang_subtitle_text.db,SubtitleText,Id,29,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Aalto,Aalto,
lang_subtitle_text.db,SubtitleText,Id,31,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Aalto,Aalto,
lang_subtitle_text.db,SubtitleText,Id,33,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,An'ke,An'ke,
lang_subtitle_text.db,SubtitleText,Id,35,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,An'ke,An'ke,
lang_subtitle_text.db,SubtitleText,Id,37,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,An'ke,An'ke,
lang_subtitle_text.db,SubtitleText,Id,39,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Aalto,Aalto,
lang_subtitle_text.db,SubtitleText,Id,41,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Aalto,Aalto,
lang_subtitle_text.db,SubtitleText,Id,43,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Aalto,Aalto,
lang_subtitle_text.db,SubtitleText,Id,45,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Aalto,Aalto,
lang_subtitle_text.db,SubtitleText,Id,47,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,An'ke,An'ke,
lang_subtitle_text.db,SubtitleText,Id,49,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,An'ke,An'ke,
lang_subtitle_text.db,SubtitleText,Id,51,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,An'ke,An'ke,
