en_source,vn_translate,loi_du_doan
"{0} {Cus:Ipt,Touch=Tap PC=Press Gamepad=Press} ""Watch Films"" to see which Theaters can currently be challenged.","{0} {Cus:Ipt,Touch=tap PC=press Gamepad=press} ""Watch Films"" để xem rạp nào hiện có thể thách đấu.",C?n ti?ng Anh nghi v?n: Films; Watch | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
You've obtained an Awakening Module. Equip it onto your Cube!,Bạn đã nhận được Awakening Mô-đun. Hãy trang bị nó lên Cube của bạn!,C?n ti?ng Anh nghi v?n: Awakening; Cube | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
You've obtained an Awakening Module. Equip it onto your Cube!,Bạn đã nhận được Awakening Mô-đun. Hãy trang bị nó lên Cube của bạn!,C?n ti?ng Anh nghi v?n: Awakening; Cube | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
You've obtained an Awakening Module. Equip it onto your Cube!,Bạn đã nhận được Awakening Mô-đun. Hãy trang bị nó lên Cube của bạn!,C?n ti?ng Anh nghi v?n: Awakening; Cube | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
A lineup of specific Resonators unlocks unique Synergy Burst effects.,Một đội hình gồm Resonators cụ thể sẽ mở khóa hiệu ứng Synergy Burst đặc biệt.,C?n ti?ng Anh nghi v?n: Burst; Synergy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
A lineup of specific Resonators unlocks unique Synergy Burst effects.,Một đội hình gồm Resonators cụ thể sẽ mở khóa hiệu ứng Synergy Burst đặc biệt.,C?n ti?ng Anh nghi v?n: Burst; Synergy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
A lineup of specific Resonators unlocks unique Synergy Burst effects.,Một đội hình gồm Resonators cụ thể sẽ mở khóa hiệu ứng Synergy Burst đặc biệt.,C?n ti?ng Anh nghi v?n: Burst; Synergy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
View the current effects of Synergy Burst here.,Xem hiệu ứng hiện tại của Synergy Burst tại đây.,C?n ti?ng Anh nghi v?n: Burst; Synergy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
View the current effects of Synergy Burst here.,Xem hiệu ứng hiện tại của Synergy Burst tại đây.,C?n ti?ng Anh nghi v?n: Burst; Synergy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
View the current effects of Synergy Burst here.,Xem hiệu ứng hiện tại của Synergy Burst tại đây.,C?n ti?ng Anh nghi v?n: Burst; Synergy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Dealing DMG and successful Dodge increase Synergy.,Gây DMG và Dodge thành công sẽ tăng Synergy.,C?n ti?ng Anh nghi v?n: Dodge; Synergy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Dealing DMG and successful Dodge increase Synergy.,Gây DMG và Dodge thành công sẽ tăng Synergy.,C?n ti?ng Anh nghi v?n: Dodge; Synergy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Dealing DMG and successful Dodge increase Synergy.,Gây DMG và Dodge thành công sẽ tăng Synergy.,C?n ti?ng Anh nghi v?n: Dodge; Synergy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"{Cus:Ipt,Touch=Tap PC=Click Gamepad=Press} to make Chixia appear in the Film.","{Cus:Ipt,Touch=tap PC=Bấm Gamepad=press} để Chixia xuất hiện trong Film.",C?n ti?ng Anh nghi v?n: Chixia; Film | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"{Cus:Ipt,Touch=Tap PC=Click Gamepad=Press} to make Chixia appear in the Film.","{Cus:Ipt,Touch=tap PC=Bấm Gamepad=press} để Chixia xuất hiện trong Film.",C?n ti?ng Anh nghi v?n: Chixia; Film | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"{Cus:Ipt,Touch=Tap PC=Click Gamepad=Press} to make Chixia appear in the Film.","{Cus:Ipt,Touch=tap PC=Bấm Gamepad=press} để Chixia xuất hiện trong Film.",C?n ti?ng Anh nghi v?n: Chixia; Film | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Make Chixia the Main Resonator.,Đặt Chixia làm Main Resonator.,C?n ti?ng Anh nghi v?n: Chixia; Main | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Make Chixia the Main Resonator.,Đặt Chixia làm Main Resonator.,C?n ti?ng Anh nghi v?n: Chixia; Main | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Make Chixia the Main Resonator.,Đặt Chixia làm Main Resonator.,C?n ti?ng Anh nghi v?n: Chixia; Main | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Core Echoes are extremely powerful, but you need to complete the corresponding Trial to add one to your hand.","Core Echoes cực kỳ mạnh mẽ, nhưng bạn cần hoàn thành Trial tương ứng để thêm một cái vào bộ bài của mình.",C?n ti?ng Anh nghi v?n: Core; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Core Echoes are extremely powerful, but you need to complete the corresponding Trial to add one to your hand.","Core Echoes cực kỳ mạnh mẽ, nhưng bạn cần hoàn thành Trial tương ứng để thêm một cái vào bộ bài của mình.",C?n ti?ng Anh nghi v?n: Core; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Core Echoes are extremely powerful, but you need to complete the corresponding Trial to add one to your hand.","Core Echoes cực kỳ mạnh mẽ, nhưng bạn cần hoàn thành Trial tương ứng để thêm một cái vào bộ bài của mình.",C?n ti?ng Anh nghi v?n: Core; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Add the Core Echo to your deck.,Add Core Echo vào bộ bài của bạn.,C?n ti?ng Anh nghi v?n: Add; Core | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
{0} Add the Core Echo to your deck.,{0} Add Echo Cốt Core vào bộ bài của bạn.,C?n ti?ng Anh nghi v?n: Add; Core | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Add the Core Echo to your deck.,Add Core Echo vào bộ bài của bạn.,C?n ti?ng Anh nghi v?n: Add; Core | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Prestige Points can be spent to unlock Echoes you do not own.,Prestige Points có thể dùng để mở khóa các Echoes bạn chưa sở hữu.,C?n ti?ng Anh nghi v?n: Points; Prestige | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Prestige Points can be spent to unlock Echoes you do not own.,Prestige Points có thể dùng để mở khóa các Echoes bạn chưa sở hữu.,C?n ti?ng Anh nghi v?n: Points; Prestige | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Prestige Points can be spent to unlock Echoes you do not own.,Prestige Points có thể dùng để mở khóa các Echoes bạn chưa sở hữu.,C?n ti?ng Anh nghi v?n: Points; Prestige | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Defeating the Zone Elite will secure the entire zone, or you can take on each challenge progressively.","Đánh bại Zone Elite sẽ chiếm lĩnh toàn bộ khu vực, hoặc bạn có thể hoàn thành từng thử thách một.",C?n ti?ng Anh nghi v?n: Elite; Zone | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Defeating the Zone Elite will secure the entire zone, or you can take on each challenge progressively.","Đánh bại Zone Elite sẽ chiếm lĩnh toàn bộ khu vực, hoặc bạn có thể hoàn thành từng thử thách một.",C?n ti?ng Anh nghi v?n: Elite; Zone | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Defeating the Zone Elite will secure the entire zone, or you can take on each challenge progressively.","Đánh bại Zone Elite sẽ chiếm lĩnh toàn bộ khu vực, hoặc bạn có thể hoàn thành từng thử thách một.",C?n ti?ng Anh nghi v?n: Elite; Zone | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Modulation successful. {Cus:Ipt,Touch=Tap PC=Click Gamepad=Press} to check the inherited and activated Special Skill.","Modulation thành công. {Cus:Ipt,Touch=Touch PC=click Gamepad=press} để kiểm tra Kỹ Năng Special đã kế thừa và kích hoạt.",C?n ti?ng Anh nghi v?n: Modulation; Special | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Modulation successful. {Cus:Ipt,Touch=Tap PC=Click Gamepad=Press} {0} to check the inherited and activated Special Skill.","Modulation thành công. {Cus:Ipt,Touch=Touch PC=Bấm Gamepad=press} {0} để kiểm tra Kỹ Năng Special đã kế thừa và kích hoạt.",C?n ti?ng Anh nghi v?n: Modulation; Special | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Modulation successful. {Cus:Ipt,Touch=Tap PC=Click Gamepad=Press} to check the inherited and activated Special Skill.","Modulation thành công. {Cus:Ipt,Touch=Touch PC=click Gamepad=press} để kiểm tra Kỹ Năng Special đã kế thừa và kích hoạt.",C?n ti?ng Anh nghi v?n: Modulation; Special | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"The <color=#8c7e51>Dwarf Cassowary</color> has a <color=#8c7e51>Transform</color> Skill, which is triggered by dragging it to the Transform Area.","<color=#8c7e51>Dwarf Cassowary</color> có <color=#8c7e51>Kỹ Năng Biến Hình</color>, được kích hoạt bằng cách kéo nó vào Khu Vực Biến Hình.",C?n ti?ng Anh nghi v?n: Cassowary; Dwarf | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"The <color=#8c7e51>Dwarf Cassowary</color> has a <color=#8c7e51>Transform</color> Skill, which is triggered by dragging it to the Transform Area.","<color=#8c7e51>Dwarf Cassowary</color> có <color=#8c7e51>Kỹ Năng Biến Hình</color>, được kích hoạt bằng cách kéo nó vào Khu Vực Biến Hình.",C?n ti?ng Anh nghi v?n: Cassowary; Dwarf | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"The <color=#8c7e51>Dwarf Cassowary</color> has a <color=#8c7e51>Transform</color> Skill, which is triggered by dragging it to the Transform Area.","<color=#8c7e51>Dwarf Cassowary</color> có <color=#8c7e51>Kỹ Năng Biến Hình</color>, được kích hoạt bằng cách kéo nó vào Khu Vực Biến Hình.",C?n ti?ng Anh nghi v?n: Cassowary; Dwarf | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Deploy the Fusion Warrior with the Special Skill.,Triệu hồi Fusion Warrior bằng Kỹ Năng Special.,C?n ti?ng Anh nghi v?n: Special; Warrior | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
{0} Deploy the Fusion Warrior with the Special Skill.,{0} Triệu hồi Fusion Warrior bằng Kỹ Năng Special,C?n ti?ng Anh nghi v?n: Special; Warrior | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Deploy the Fusion Warrior with the Special Skill.,Triệu hồi Fusion Warrior bằng Kỹ Năng Special.,C?n ti?ng Anh nghi v?n: Special; Warrior | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
You will earn Dreamland Coupons daily based on the Echoes on the field and their abilities.,Bạn sẽ nhận được Dreamland Coupons hàng ngày dựa trên các Echoes trên chiến trường và khả năng của chúng.,C?n ti?ng Anh nghi v?n: Coupons; Dreamland | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
You will earn Dreamland Coupons daily based on the Echoes on the field and their abilities.,Bạn sẽ nhận được Dreamland Coupons hàng ngày dựa trên các Echoes trên chiến trường và khả năng của chúng.,C?n ti?ng Anh nghi v?n: Coupons; Dreamland | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
You will earn Dreamland Coupons daily based on the Echoes on the field and their abilities.,Bạn sẽ nhận được Dreamland Coupons hàng ngày dựa trên các Echoes trên chiến trường và khả năng của chúng.,C?n ti?ng Anh nghi v?n: Coupons; Dreamland | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Use Utility: Zoom Camera to capture photos of any bugs in the scene.,Sử dụng Tiện Ích: Zoom Camera để chụp ảnh bất kỳ lỗi nào trong cảnh.,C?n ti?ng Anh nghi v?n: Camera; Zoom | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Use Utility: Zoom Camera to capture photos of any bugs in the scene.,Sử dụng Tiện Ích: Zoom Camera để chụp ảnh bất kỳ lỗi nào trong cảnh.,C?n ti?ng Anh nghi v?n: Camera; Zoom | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"{Cus:Ipt,Touch=Tap PC=Press Gamepad=Press} {0} to adjust Combat Machines before starting the challenge.","{Cus:Ipt,Touch=tap PC=press Gamepad=press} {0} để điều chỉnh Combat Machines trước khi bắt đầu thử thách.",C?n ti?ng Anh nghi v?n: Combat; Machines | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"{Cus:Ipt,Touch=Tap PC=Press Gamepad=Press} {0} to adjust Combat Machines before starting the challenge.","{Cus:Ipt,Touch=tap PC=press Gamepad=press} {0} để điều chỉnh Combat Machines trước khi bắt đầu thử thách.",C?n ti?ng Anh nghi v?n: Combat; Machines | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
You can adjust Combat Machines before starting the challenge.,Bạn có thể điều chỉnh Combat Machines trước khi bắt đầu thử thách.,C?n ti?ng Anh nghi v?n: Combat; Machines | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
You can reset the upgrades and <color=#8c7e51>refund</color> all the consumed Sim Ingots here anytime.,Bạn có thể đặt lại nâng cấp và <color=#8c7e51>hoàn trả</color> toàn bộ Sim Ingots đã tiêu hao tại đây bất cứ lúc nào.,C?n ti?ng Anh nghi v?n: Ingots; Sim | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
