database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_npc_headinfo.db,NpcHeadInfo,Id,1,Content,general,translated,,PASS,10,,,,,<color=#ffffff>Ma He's Grocers</color>,<color=#ffffff>Cửa Hàng Ma He</color>,
lang_npc_headinfo.db,NpcHeadInfo,Id,2,Content,general,translated,,PASS,10,,,,,<color=#ffffff>Weapons Franchise</color>,<color=#ffffff>Đại Lý Vũ Khí</color>,
lang_npc_headinfo.db,NpcHeadInfo,Id,3,Content,general,translated,,PASS,10,,,,,<color=#ffffff>Synthesis Printer</color>,<color=#ffffff>Máy In Tổng Hợp</color>,
lang_npc_headinfo.db,NpcHeadInfo,Id,4,Content,general,translated,,PASS,10,,,,,<color=#ffffff>Pharmacy Store</color>,<color=#ffffff>Nhà Thuốc</color>,
lang_npc_headinfo.db,NpcHeadInfo,Id,5,Content,general,translated,,PASS,10,,,,,"<color=#ffffff>""Souvenir"" Shop</color>","<color=#ffffff>Cửa Hàng ""Kỷ Vật""</color>",
lang_npc_headinfo.db,NpcHeadInfo,Id,6,Content,general,translated,,PASS,10,,,,,<color=#ffffff>Relic Merchant</color>,<color=#ffffff>Thương Nhân Di Vật</color>,
lang_npc_headinfo.db,NpcHeadInfo,Id,7,Content,general,translated,,PASS,10,,,,,<color=#ffffff>Panhua's Kitchen</color>,<color=#ffffff>Bếp Panhua</color>,
lang_npc_headinfo.db,NpcHeadInfo,Id,8,Content,general,translated,,PASS,10,,,,,<color=#ffffff>Pioneer Association</color>,<color=#ffffff>Hiệp Hội Tiên Phong</color>,
lang_npc_headinfo.db,NpcHeadInfo,Id,9,Content,general,translated,,PASS,10,,,,,Cooking Stove,Bếp Nấu,
lang_npc_headinfo.db,NpcHeadInfo,Id,10,Content,general,translated,,PASS,10,,,,,<color=#ffffff>Interference Exchange</color>,<color=#ffffff>Trao Đổi Nhiễu Tần</color>,
lang_npc_headinfo.db,NpcHeadInfo,Id,11,Content,general,translated,,PASS,10,,,,,<color=#ffffff>Weapons Franchise</color>,<color=#ffffff>Đại Lý Vũ Khí</color>,
