en_source,vn_translate,loi_du_doan
"Exile is a name for all the individuals and organizations who was tossed out of the city and committed crime and scavenge for a living. They follow no jurisdiction. The most powerful individuals of each camp will have the right to give orders. In Huanglong, they gather in Wasted Metropolis. They're divided into 2 different group cause of their believes. One of the gang seems to be quite welcoming when it comes to outsiders.","Exile is a name for all the individuals and organizations who was tossed out of the city and committed crime and scavenge for a living. Họ follow no jurisdiction. The most powerful individuals of each camp will have the right to give orders. In Huanglong, they gather in Wasted Metropolis. Họ're divided into 2 different group cause of their believes. One of the gang seems to be quite welcoming when it comes to outsiders.",C?n ti?ng Anh nghi v?n: a; all; and; be; believes; camp; cause; city; comes; committed; crime; different; divided; each; Exile; follow; for; gang; gather; give; group; have; In; in; individuals; into; is; it; jurisdiction; living | S? t?/c?m nghi v?n: 64 | T? l? nghi v?n: 0.889 | M?c ??: 221.89
"Huanglong is a nation of thousands of years. Long history forged a special and traditional culture for this nation. Although the Lament fracture it's development, but its people are still fighting and trying their best to inherit whatever the nation remains.
In the Recovery Age. Huanglong's Tacetite Industry brought life again to this country. With the endless order for the Tacetite, Huanglong's economy has ever stopped booming.","Huanglong is a nation of thousands of years. Long history forged a special and traditional culture for this nation. Although the Lament fracture it's development, but its people are still fighting and trying their best to inherit whatever the nation remains.
In the Recovery Age. Huanglong's Tacetite Industry brought life again to this country. With the endless order for the Tacetite, Huanglong's economy has ever stopped booming.",C?n ti?ng Anh nghi v?n: a; again; Age; Although; and; are; best; booming; brought; but; country; culture; development; economy; endless; ever; fighting; for; forged; fracture; has; history; Huanglong's; In; Industry; inherit; is; it's; its; life | S? t?/c?m nghi v?n: 59 | T? l? nghi v?n: 0.881 | M?c ??: 184.81
"Pioneer Association was founded after the Wuthering War by human community. They sometimes go by PA for short.
Due to the trusting relationship between Resonators and regular people in Huanglong, PA got relatively huge scale in Huanglong, and take on more responsibility. Joining the PA is something worth being proud of in Huanglong.","Pioneer Association was founded after the Wuthering War by human community. Họ sometimes go by PA for short.
Due to the trusting relationship between Resonators and regular people in Huanglong, PA got relatively huge scale in Huanglong, and take on more responsibility. Joining the PA is something worth being proud of in Huanglong.",C?n ti?ng Anh nghi v?n: after; and; Association; being; between; by; community; Due; for; founded; go; got; huge; human; in; is; Joining; more; of; on; PA; people; Pioneer; proud; regular; relationship; relatively; responsibility; scale; short | S? t?/c?m nghi v?n: 45 | T? l? nghi v?n: 0.865 | M?c ??: 144.65
A secret organization sworn to save the world under the name of Black Shore. They venture to the most dangerous place and gather allies with the same will to save the world. Their members and their guest will all carry a black flower as a symbol.,A secret organization sworn to save the world under the name of Black Shore. Họ venture to the most dangerous place and gather allies with the same will to save the world. Their members and their guest will all carry a black flower as a symbol.,C?n ti?ng Anh nghi v?n: A; a; all; allies; and; as; Black; black; carry; dangerous; flower; gather; guest; members; most; name; of; organization; place; same; save; secret; Shore; sworn; symbol; their; Their; to; under; venture | S? t?/c?m nghi v?n: 40 | T? l? nghi v?n: 0.889 | M?c ??: 137.89
"They gather in the Serpent Repair Shop, and is a group of invention lovers from different places of Huanglong. They call themselves the Sea Drakes. While they're all trying to get investment, things always go south for them.","Họ gather in the Serpent Repair Shop, and is a group of invention lovers from different places of Huanglong. Họ call themselves the Sea Drakes. While they're all trying to get investment, things always go south for them.",C?n ti?ng Anh nghi v?n: a; all; always; and; call; different; Drakes; for; from; gather; get; go; group; in; invention; investment; is; lovers; of; places; Repair; Sea; Serpent; Shop; south; them; themselves; they're; things; to | S? t?/c?m nghi v?n: 33 | T? l? nghi v?n: 0.917 | M?c ??: 115.17
"A transportation company with their business all over the world. They would commit to the most dangerous transportation task and were trusted by many forces. With the belief ""Peace brings fortune"", They always avoid any force situation.","A transportation company with their business all over the world. Họ would commit to the most dangerous transportation task and were trusted by many forces. With the belief ""Peace brings fortune"", Họ always avoid any force situation.",C?n ti?ng Anh nghi v?n: A; all; always; and; any; avoid; belief; brings; business; by; commit; company; dangerous; force; forces; fortune; many; most; over; Peace; situation; task; their; to; transportation; trusted; were; with; With; world | S? t?/c?m nghi v?n: 32 | T? l? nghi v?n: 0.914 | M?c ??: 113.14
A secret association wandered around the world. Their members crave for only power and evolutions and all preserve weird looks. More info of them await for revealing.,A secret association wandered around the world. Their members crave for only power and evolutions and all preserve weird looks. More info of them await for revealing.,C?n ti?ng Anh nghi v?n: A; all; and; around; association; await; crave; evolutions; for; info; looks; members; More; of; only; power; preserve; revealing; secret; Their; them; wandered; weird; world | S? t?/c?m nghi v?n: 26 | T? l? nghi v?n: 0.963 | M?c ??: 95.63
"Under no jurisdiction, they act on their own will and rules. We need to deal with the dangerous ones carefully, in case the situation went dire.","Under no jurisdiction, they act on their own will and rules. We need to deal with the dangerous ones carefully, in case the situation went dire.",C?n ti?ng Anh nghi v?n: act; and; carefully; case; dangerous; deal; dire; in; jurisdiction; need; on; ones; own; rules; situation; their; they; to; Under; We; went; will; with | S? t?/c?m nghi v?n: 23 | T? l? nghi v?n: 0.885 | M?c ??: 82.85
SYS-SYSTEM REEEE-B-B-BOOT R-R-R-E-E-Q-Q-Q-U-I-R-E-E-D-D,SYS-SYSTEM REEEE-B-B-BOOT R-R-R-E-E-Q-Q-Q-U-I-R-E-E-D-D,C?n ti?ng Anh nghi v?n: B; BOOT; D; E; I; Q; R; REEEE; SYS; SYSTEM; U | S? t?/c?m nghi v?n: 21 | T? l? nghi v?n: 1.0 | M?c ??: 65.0
<i>A Guide to Septimontian Culture and Etiquette First Edition (Excerpts)</i>,<i>A Guide to Septimontian Văn hóa and Etiquette First Edition (Excerpts)</i>,C?n ti?ng Anh nghi v?n: A; and; Edition; Etiquette; Excerpts; First; Guide; Septimontian; to | S? t?/c?m nghi v?n: 9 | T? l? nghi v?n: 1.0 | M?c ??: 49.0
"A crate handed to Rover by Muzhi, big boss of the Madam Sow Gang","A crate handed to Rover by Muzhi, big boss of the Madam Sow Gang",C?n ti?ng Anh nghi v?n: A; big; boss; by; crate; Gang; handed; Madam; Muzhi; of; Sow; to | S? t?/c?m nghi v?n: 12 | T? l? nghi v?n: 0.857 | M?c ??: 45.57
