database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_compose.db,SynthesisFormula,Id,1,Content,item,translated,,PASS,10,,,,,Adrenaline,Adrenalin,
lang_compose.db,SynthesisFormula,Id,2,Content,item,translated,,PASS,10,,,,,"Improves functional metabolism, possessing fast-acting cardiac rescue and life-saving effect.","Cải thiện quá trình trao đổi chất chức năng, có tác dụng cấp cứu tim mạch và cứu mạng nhanh chóng.",
lang_compose.db,SynthesisFormula,Id,3,Content,item,translated,,PASS,10,,,,,"Improves functional metabolism, possessing fast-acting cardiac rescue and life-saving effect.","Cải thiện quá trình trao đổi chất chức năng, có tác dụng cấp cứu tim mạch và cứu mạng nhanh chóng.",
lang_compose.db,SynthesisFormula,Id,4,Content,item,translated,,PASS,10,,,,,Havoc Topological Crystal,Tinh thể Tô-pô Havoc,
lang_compose.db,SynthesisFormula,Id,6,Content,item,translated,,PASS,10,,,,,"High level property topological crystals, which are extremely rare in nature, have a complex and regular shape. This shape increases Wutheron mobility by the interface effect. This makes the crystal an important original for building large computers. As only a few Resonators can carry the information flow of this type of crystal, it is rather rare for this crystal to be used as an alternative ascension material.","Tinh thể tô-pô tính chất cao, cực kỳ hiếm trong tự nhiên, có hình dạng phức tạp và đều đặn. Hình dạng này tăng cường tính di động của Wutheron thông qua hiệu ứng giao diện. Điều này biến tinh thể thành nguyên liệu gốc quan trọng để xây dựng các máy tính lớn. Do chỉ một số ít Resonator có thể xử lý luồng thông tin của loại tinh thể này, nên nó khá hiếm khi được dùng làm vật liệu thăng cấp thay thế.",
lang_compose.db,SynthesisFormula,Id,7,Content,item,translated,,PASS,10,,,,,Havoc Topological Prism,Lăng kính Tô-pô Havoc,
lang_compose.db,SynthesisFormula,Id,9,Content,item,translated,,PASS,10,,,,,"The polyhedral structure of the Havoc topological prism, which can only be found in areas where the Wave field is very active. Thanks to the advantage of the structure, the crystal prism has a high information-carrying capacity and is therefore an excellent choice for assisting Resonator Ascension.","Cấu trúc đa diện của lăng kính tô-pô Havoc, chỉ có thể tìm thấy ở những khu vực có Trường Sóng hoạt động mạnh. Nhờ cấu trúc này, lăng kính pha lê có khả năng lưu trữ thông tin cao, là lựa chọn tuyệt vời để hỗ trợ Thăng Hoa cho Resonator.",
lang_compose.db,SynthesisFormula,Id,10,Content,item,translated,,PASS,10,,,,,Havoc Topological Crystal Fragment,Mảnh Tinh thể Tô-pô Havoc,
lang_compose.db,SynthesisFormula,Id,12,Content,item,translated,,PASS,10,,,,,"Havoc topological crystals common in regions of strong tidal field activity, with crystal surfaces shining with pure properties. Quality material to assist Resonator Ascension.","Tinh thể tô-pô Havoc thường xuất hiện ở những vùng có hoạt động mạnh của trường thủy triều, bề mặt tinh thể tỏa sáng với đặc tính thuần khiết. Vật liệu chất lượng hỗ trợ Thăng cấp cho Resonator.",
lang_compose.db,SynthesisFormula,Id,13,Content,item,translated,,PASS,10,,,,,Spectra Topological Crystal,Pha Lê Tô-pô Spectra,
