database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_accesspath.db,AccessPath,Id,1,Content,general,translated,,PASS,10,,,,,Obtained via tasks,Nhận được từ nhiệm vụ,
lang_accesspath.db,AccessPath,Id,2,Content,general,translated,,PASS,10,,,,,Obtained via Dangerous Sampling initial clear,Nhận được từ lần đầu vượt ải Dangerous Sampling,
lang_accesspath.db,AccessPath,Id,3,Content,general,translated,,PASS,10,,,,,Obtained via Tacet Field-Medium challenge,Nhận được từ thử thách Tổ Tacet - Cấp Trung,
lang_accesspath.db,AccessPath,Id,4,Content,general,translated,,PASS,10,,,,,Obtained via Crownless - Replica challenge,Nhận được từ thử thách Crownless - Replica,
lang_accesspath.db,AccessPath,Id,5,Content,general,translated,,PASS,10,,,,,Obtained via Thunder Squama challenge,Nhận được từ thử thách Thunder Squama,
lang_accesspath.db,AccessPath,Id,6,Content,general,translated,,PASS,10,,,,,Obtained via Mourning Aix challenge,Nhận được từ thử thách Mourning Aix,
lang_accesspath.db,AccessPath,Id,7,Content,general,translated,,PASS,10,,,,,Obtained via Inferno Rider challenge,Nhận được từ thử thách Inferno Rider,
lang_accesspath.db,AccessPath,Id,8,Content,general,translated,,PASS,10,,,,,Obtained via Feilian Beringal challenge,Nhận được từ thử thách Feilian Beringal,
lang_accesspath.db,AccessPath,Id,9,Content,general,translated,,PASS,10,,,,,Obtained via Impermanence Heron challenge,Nhận được từ thử thách Impermanence Heron,
lang_accesspath.db,AccessPath,Id,10,Content,general,translated,,PASS,10,,,,,Obtained via Gleamtender challenge,Nhận được từ thử thách Gleamtender,
lang_accesspath.db,AccessPath,Id,11,Content,general,translated,,PASS,10,,,,,Obtained via Thousand Sins - The Obscured challenge,Nhận được từ thử thách Thousand Sins - The Obscured,
lang_accesspath.db,AccessPath,Id,12,Content,general,translated,,PASS,10,,,,,Obtained via Bell-Borne Geochelone challenge,Nhận được từ thử thách Bell-Borne Geochelone,
lang_accesspath.db,AccessPath,Id,13,Content,general,translated,,PASS,10,,,,,Obtained via Seatrail Narwhal challenge,Nhận được từ thử thách Seatrail Narwhal,
lang_accesspath.db,AccessPath,Id,14,Content,general,translated,,PASS,10,,,,,Obtained via Scar challenge,Nhận được từ thử thách Scar,
lang_accesspath.db,AccessPath,Id,15,Content,general,translated,,PASS,10,,,,,Obtained via Crownless - Prime challenge,Nhận được từ thử thách Crownless - Prime,
lang_accesspath.db,AccessPath,Id,16,Content,general,translated,,PASS,10,,,,,Obtained via Huanglong exploration,Nhận được từ khám phá Huanglong,
lang_accesspath.db,AccessPath,Id,17,Content,general,translated,,PASS,10,,,,,Found in the wild,Tìm thấy trong tự nhiên,
lang_accesspath.db,AccessPath,Id,18,Content,general,translated,,PASS,10,,,,,Dropped by wild animals,Rơi từ quái thú hoang dã,
lang_accesspath.db,AccessPath,Id,19,Content,general,translated,,PASS,10,,,,,Obtained via fish catching,Nhận được từ câu cá,
lang_accesspath.db,AccessPath,Id,20,Content,general,translated,,PASS,10,,,,,Obtained via insect catching,Nhận được từ bắt côn trùng,
lang_accesspath.db,AccessPath,Id,21,Content,general,translated,,PASS,10,,,,,Mostly found in: Gorges of Spirit,Thường thấy ở: Hẻm Núi Tâm Linh,
lang_accesspath.db,AccessPath,Id,22,Content,general,translated,,PASS,10,,,,,Mostly found in: Central Plains,Thường xuất hiện tại: Đồng Bằng Trung Tâm,
lang_accesspath.db,AccessPath,Id,23,Content,general,translated,,PASS,10,,,,,Mostly found in: Tiancheng,Thường thấy ở: Thiên Thành,
lang_accesspath.db,AccessPath,Id,24,Content,general,translated,,PASS,10,,,,,Mostly found in: Desorock Highlands,Thường thấy ở: Cao nguyên Desorock,
lang_accesspath.db,AccessPath,Id,25,Content,general,translated,,PASS,10,,,,,Mostly found in: Norfall Barrens,Thường thấy ở: Hoang Mạc Norfall,
lang_accesspath.db,AccessPath,Id,26,Content,general,translated,,PASS,10,,,,,Mostly found in: Wasted Metropolis,Thường thấy ở: Đại Đô Thị Hoang Phế,
lang_accesspath.db,AccessPath,Id,27,Content,general,translated,,PASS,10,,,,,"Mostly found in: Hukou, the Tiger's Maw","Thường thấy ở: Hổ Khẩu, Miệng Cọp Hùm",
lang_accesspath.db,AccessPath,Id,28,Content,general,translated,,PASS,10,,,,,Mostly found in: Forsaken Abundance,Thường thấy ở: Dư Dả Bị Lãng Quên,
lang_accesspath.db,AccessPath,Id,29,Content,general,translated,,PASS,10,,,,,Mostly found in: Dim Forest,Thường thấy ở: Rừng Tối Dim,
lang_accesspath.db,AccessPath,Id,30,Content,general,translated,,PASS,10,,,,,Mostly found in: Whining Aix's Mire,Thường thấy ở: Bãi Lầy Whining Aix,
lang_accesspath.db,AccessPath,Id,31,Content,general,translated,,PASS,10,,,,,Mostly found in: Black Shores,Thường xuất hiện tại: Bờ Biển Đen,
