en_source,vn_translate,loi_du_doan
"{0} {Cus:Ipt,Touch=Tap PC=Click Gamepad=Press} to view your Main Objectives and Side Objectives.","{0} {Cus:Ipt,Touch=tap PC=click Gamepad=press} để xem Mục Tiêu Main và Side Objectives.",C?n ti?ng Anh nghi v?n: Main; Objectives; Side | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Spend Rice Dangos to upgrade your Namipon Badge.,Dùng Bánh Rice Dango để nâng cấp Namipon Badge.,C?n ti?ng Anh nghi v?n: Badge; Namipon; Rice | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Spend Rice Dangos to upgrade your Namipon Badge.,Dùng Bánh Rice Dango để nâng cấp Namipon Badge.,C?n ti?ng Anh nghi v?n: Badge; Namipon; Rice | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Spend Rice Dangos to upgrade your Namipon Badge.,Dùng Bánh Rice Dango để nâng cấp Namipon Badge.,C?n ti?ng Anh nghi v?n: Badge; Namipon; Rice | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Spend Rice Dangos to upgrade your Namipon Badge.,Dùng Bánh Rice Dango để nâng cấp Namipon Badge.,C?n ti?ng Anh nghi v?n: Badge; Namipon; Rice | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Spend Rice Dangos to upgrade your Namipon Badge.,Dùng Bánh Rice Dango để nâng cấp Namipon Badge.,C?n ti?ng Anh nghi v?n: Badge; Namipon; Rice | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Spend Rice Dangos to upgrade your Namipon Badge.,Dùng Bánh Rice Dango để nâng cấp Namipon Badge.,C?n ti?ng Anh nghi v?n: Badge; Namipon; Rice | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Chest Mimic can detect Novelties within your deck. Try using its Transform skill.,Chest Mimic có thể phát hiện Novelties trong bộ bài của bạn. Hãy thử dùng kỹ năng Biến Hình của nó.,C?n ti?ng Anh nghi v?n: Chest; Mimic; Novelties | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Chest Mimic can detect Novelties within your deck. Try using its Transform skill.,Chest Mimic có thể phát hiện Novelties trong bộ bài của bạn. Hãy thử dùng kỹ năng Biến Hình của nó.,C?n ti?ng Anh nghi v?n: Chest; Mimic; Novelties | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
Chest Mimic can detect Novelties within your deck. Try using its Transform skill.,Chest Mimic có thể phát hiện Novelties trong bộ bài của bạn. Hãy thử dùng kỹ năng Biến Hình của nó.,C?n ti?ng Anh nghi v?n: Chest; Mimic; Novelties | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.75 | M?c ??: 16.5
