en_source,vn_translate,loi_du_doan
"Obtain a total of 6,400 points in Forbidden Waters",Đạt tổng cộng 6.400 điểm trong Forbidden Waters,C?n ti?ng Anh nghi v?n: Forbidden; Waters | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Obtain a total of 8,000 points in Forbidden Waters",Đạt tổng cộng 8.000 điểm trong Forbidden Waters,C?n ti?ng Anh nghi v?n: Forbidden; Waters | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Obtain a total of 9,600 points in Forbidden Waters",Đạt tổng cộng 9.600 điểm trong Forbidden Waters,C?n ti?ng Anh nghi v?n: Forbidden; Waters | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Obtain 1,000 Riccioli Fishery Coins in total",Nhận tổng cộng 1.000 Riccioli Fishery Coin,C?n ti?ng Anh nghi v?n: Fishery; Riccioli | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Obtain 10,000 Riccioli Fishery Coins in total",Nhận tổng cộng 10.000 Riccioli Fishery Coin,C?n ti?ng Anh nghi v?n: Fishery; Riccioli | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Obtain 100,000 Riccioli Fishery Coins in total",Nhận tổng cộng 100.000 Riccioli Fishery Coin,C?n ti?ng Anh nghi v?n: Fishery; Riccioli | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"Obtain 200,000 Riccioli Fishery Coins in total",Nhận tổng cộng 200.000 Riccioli Fishery Coin,C?n ti?ng Anh nghi v?n: Fishery; Riccioli | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Rover learns 1 Fishing Ability,Rover học được 1 Fishing Ability,C?n ti?ng Anh nghi v?n: Ability; Fishing | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Rover learns all Fishing Abilities,Rover học được tất cả Fishing Abilities,C?n ti?ng Anh nghi v?n: Abilities; Fishing | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Lee Bo Yong,Lee Bo Yong,C?n ti?ng Anh nghi v?n: Lee; Yong | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Initial Treasure,The Initial Treasure,C?n ti?ng Anh nghi v?n: Initial; Treasure | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Co-op Ranking,Co-op Ranking,C?n ti?ng Anh nghi v?n: op; Ranking | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Fisalia Family,The Fisalia Family,C?n ti?ng Anh nghi v?n: Family; Fisalia | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Forte Circuit: I,Forte Circuit: I,C?n ti?ng Anh nghi v?n: Circuit; I | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Forte Circuit: II,Forte Circuit: II,C?n ti?ng Anh nghi v?n: Circuit; II | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Forte Circuit: III,Forte Circuit: III,C?n ti?ng Anh nghi v?n: Circuit; III | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Montelli Family,The Montelli Family,C?n ti?ng Anh nghi v?n: Family; Montelli | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The One Behind,The One Behind,C?n ti?ng Anh nghi v?n: Behind; One | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Cursed Poems,The Cursed Poems,C?n ti?ng Anh nghi v?n: Cursed; Poems | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Merry Fool,The Merry Fool,C?n ti?ng Anh nghi v?n: Fool; Merry | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Vanguard Gale,The Vanguard Gale,C?n ti?ng Anh nghi v?n: Gale; Vanguard | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Ironheart's Trial,The Ironheart's Trial,C?n ti?ng Anh nghi v?n: Ironheart's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Ironheart's Trial,The Ironheart's Trial,C?n ti?ng Anh nghi v?n: Ironheart's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Splendent's Trial,The Splendent's Trial,C?n ti?ng Anh nghi v?n: Splendent's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Splendent's Trial,The Splendent's Trial,C?n ti?ng Anh nghi v?n: Splendent's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Splendent's Trial,The Splendent's Trial,C?n ti?ng Anh nghi v?n: Splendent's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Lifespring's Trial,The Lifespring's Trial,C?n ti?ng Anh nghi v?n: Lifespring's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Lifespring's Trial,The Lifespring's Trial,C?n ti?ng Anh nghi v?n: Lifespring's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Lifespring's Trial,The Lifespring's Trial,C?n ti?ng Anh nghi v?n: Lifespring's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Dustbound's Trial,The Dustbound's Trial,C?n ti?ng Anh nghi v?n: Dustbound's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Dustbound's Trial,The Dustbound's Trial,C?n ti?ng Anh nghi v?n: Dustbound's; Trial | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
