en_source,vn_translate,loi_du_doan
"Healing effects are raised by {0}%. When normal attacks or charged attacks land, ATK is raised by {1}% for all characters. Lasts for 12 seconds. This can be stacked for max. 5 times.","Hiệu ứng hồi phục được tăng {0}%. Khi Normal Attack hoặc Heavy Attack trúng mục tiêu, ATK của tất cả nhân vật được tăng {1}% trong 12 giây. Hiệu ứng này có thể cộng dồn tối đa 5 lần.",C?n ti?ng Anh nghi v?n: Attack; Heavy; Normal | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 25.71
"A weapon specially made for the Midnight Rangers, to commemorate their guard for Tiancheng. A poem appreciates them: ""Look north of the city of lake to Desorocks, steamy rains hinder the the gates.""","Vũ khí đặc biệt được chế tạo cho Midnight Rangers để tưởng nhớ sự bảo vệ của họ dành cho Tiancheng. Một bài thơ ca ngợi họ: ""Nhìn về phía bắc thành phố hồ đến Desorocks, mưa hơi nước cản trở cổng thành.""",C?n ti?ng Anh nghi v?n: Desorocks; Midnight; Rangers; Tiancheng | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
"A weapon specially made for the Midnight Rangers, to commemorate their guard for Tiancheng. A poem appreciates them: ""Look north of the city of lake to Desorocks, steamy rains hinder the the gates.""","Vũ khí đặc biệt được chế tạo cho Midnight Rangers để tưởng nhớ sự bảo vệ của họ dành cho Tiancheng. Một bài thơ ca ngợi họ: ""Nhìn về phía bắc thành phố hồ đến Desorocks, mưa hơi nước cản trở cổng thành.""",C?n ti?ng Anh nghi v?n: Desorocks; Midnight; Rangers; Tiancheng | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
"A weapon specially made for the Midnight Rangers, to commemorate their guard for Tiancheng. A poem appreciates them: ""Look north of the city of lake to Desorocks, steamy rains hinder the the gates.""","Vũ khí đặc biệt được chế tạo cho Midnight Rangers để tưởng nhớ sự bảo vệ của họ dành cho Tiancheng. Một bài thơ ca ngợi họ: ""Nhìn về phía bắc thành phố hồ đến Desorocks, mưa hơi nước cản trở cổng thành.""",C?n ti?ng Anh nghi v?n: Desorocks; Midnight; Rangers; Tiancheng | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.571 | M?c ??: 17.71
"DMG of all attributes are raised by {0}%. When normal attacks land, ATK and DEF are raised by {1}%, which lasts for {2} seconds. This can be stacked for max. {3} times and triggered once every {4} seconds.","DMG của tất cả thuộc tính được tăng {0}%. Khi Normal Attack trúng mục tiêu, ATK và DEF được tăng {1}% trong {2} giây. Hiệu ứng này có thể cộng dồn tối đa {3} lần và kích hoạt mỗi {4} giây.",C?n ti?ng Anh nghi v?n: Attack; Normal | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.286 | M?c ??: 13.86
"For every Resonance Skill used, restore {0} Concerto Vibrancy. Can be triggered every 20 seconds.","Mỗi khi sử dụng Resonance Skill, phục hồi {0} Concerto Vibrancy. Có thể kích hoạt mỗi 20 giây.",C?n ti?ng Anh nghi v?n: Skill; Vibrancy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.4 | M?c ??: 13.0
"For every Resonance Skill used, restore {0} Concerto Vibrancy. Can be triggered every 20 seconds.","Mỗi khi sử dụng Resonance Skill, phục hồi {0} Concerto Vibrancy. Có thể kích hoạt mỗi 20 giây.",C?n ti?ng Anh nghi v?n: Skill; Vibrancy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.4 | M?c ??: 13.0
"For every Resonance Skill used, restore {0} Concerto Vibrancy. Can be triggered every 20 seconds.","Mỗi khi sử dụng Resonance Skill, phục hồi {0} Concerto Vibrancy. Có thể kích hoạt mỗi 20 giây.",C?n ti?ng Anh nghi v?n: Skill; Vibrancy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.4 | M?c ??: 13.0
"For every Resonance Skill used, restore {0} Concerto Vibrancy. Can be triggered every 20 seconds.","Mỗi khi sử dụng Resonance Skill, phục hồi {0} Concerto Vibrancy. Có thể kích hoạt mỗi 20 giây.",C?n ti?ng Anh nghi v?n: Skill; Vibrancy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.4 | M?c ??: 13.0
"For every Resonance Skill used, restore {0} Concerto Vibrancy. Can be triggered every 20 seconds.","Mỗi khi sử dụng Resonance Skill, phục hồi {0} Concerto Vibrancy. Có thể kích hoạt mỗi 20 giây.",C?n ti?ng Anh nghi v?n: Skill; Vibrancy | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.4 | M?c ??: 13.0
