database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_UiHotKot.db,HotKeyText,Id,1,Content,ui,translated,,PASS,10,,,,,Confirm,Xác nhận,
lang_UiHotKot.db,HotKeyText,Id,2,Content,ui,translated,,PASS,10,,,,,Back,Quay lại,
lang_UiHotKot.db,HotKeyText,Id,3,Content,ui,translated,,PASS,10,,,,,Close,Đóng,
lang_UiHotKot.db,HotKeyText,Id,4,Content,ui,translated,,PASS,10,,,,,Close,Đóng,
lang_UiHotKot.db,HotKeyText,Id,5,Content,ui,translated,,PASS,10,,,,,Inspect,Kiểm tra,
lang_UiHotKot.db,HotKeyText,Id,11,Content,ui,translated,,PASS,10,,,,,Item Handling,Thao tác vật phẩm,
lang_UiHotKot.db,HotKeyText,Id,12,Content,ui,translated,,PASS,10,,,,,Increase,Tăng,
lang_UiHotKot.db,HotKeyText,Id,13,Content,ui,translated,,PASS,10,,,,,Decrease,Giảm,
lang_UiHotKot.db,HotKeyText,Id,14,Content,ui,translated,,PASS,10,,,,,View Description,Xem mô tả,
lang_UiHotKot.db,HotKeyText,Id,15,Content,ui,translated,,PASS,10,,,,,Choral Rank,Hạng Hợp Ca,
lang_UiHotKot.db,HotKeyText,Id,16,Content,ui,translated,,PASS,10,,,,,Copy ID,Sao chép ID,
lang_UiHotKot.db,HotKeyText,Id,17,Content,ui,translated,,PASS,10,,,,,Inpect Item,Xem vật phẩm,
lang_UiHotKot.db,HotKeyText,Id,18,Content,ui,translated,,REVIEW,6,same_as_source,,,,Max,Max,
lang_UiHotKot.db,HotKeyText,Id,19,Content,ui,translated,,PASS,10,,,,,Complete,Hoàn tất,
lang_UiHotKot.db,HotKeyText,Id,20,Content,ui,translated,,PASS,10,,,,,Previous Character,Nhân vật trước,
lang_UiHotKot.db,HotKeyText,Id,21,Content,ui,translated,,PASS,10,,,,,Next Character,Nhân vật tiếp theo,
lang_UiHotKot.db,HotKeyText,Id,22,Content,ui,translated,,PASS,10,,,,,Read,Đọc,
lang_UiHotKot.db,HotKeyText,Id,23,Content,ui,translated,,PASS,10,,,,,Clear All,Xóa tất cả,
lang_UiHotKot.db,HotKeyText,Id,24,Content,ui,translated,,PASS,10,,,,,Check Currency,Kiểm tra tiền tệ,
lang_UiHotKot.db,HotKeyText,Id,25,Content,ui,translated,,PASS,10,,,,,Details,Chi tiết,
lang_UiHotKot.db,HotKeyText,Id,26,Content,ui,translated,,PASS,10,,,,,Select Character,Chọn Nhân Vật,
lang_UiHotKot.db,HotKeyText,Id,27,Content,ui,translated,,PASS,10,,,,,Shortlist,Danh Sách Rút Gọn,
lang_UiHotKot.db,HotKeyText,Id,28,Content,ui,translated,,PASS,10,,,,,Purchase,Mua,
