severity,suspicious_count,ratio,words,domain,file,primary_key,translation,source_en
50.26,10,0.526,Critical; Hit; Intro; Liberation; Shorekeeper; Skill; Tutorial,quest,mistral_translate_work\split_by_prompt\json\quest\lang_multi_text\lang_multi_text__quest__part_0001.json,LevelPlay_313750000_ChildQuestTip_313_21,"Bắt Đầu Huấn Luyện
<size=32>Shorekeeper - Tutorial Intro Skill <color=#d4bf5f>Chuỗi</color>
Khi <color=Highlight>Siêu Cõi Tinh Tú</color> tồn tại, Shorekeeper có thể sử dụng Intro Skill <color=Highlight>Phân Định</color> để kết thúc Cõi Tinh Tú hiện tại, phục hồi HP cho tất cả thành viên trong đội và gây <color=Light>Spectro DMG</color> lên mục tiêu. Đòn tấn công này chắc chắn sẽ là một đòn Critical Hit, gây Sát Thương Resonance Liberation.</size>","Start Training
<size=32>Shorekeeper - <color=#d4bf5f>Chain Intro Skill</color> Tutorial
When the <color=Highlight>Supernal Stellarealm</color> exists, Shorekeeper can cast Intro Skill <color=Highlight>Discernment</color> to end the current Stellarealm, restore HP for all party members, and deal <color=Light>Spectro DMG</color> to the targets. This attack is guaranteed to be a Critical Hit dealing Resonance Liberation DMG.</size>"
46.2,13,0.52,Cassette; Last; Mechasout; of; Solsworn; Storm; Tape; Void; Words,quest,mistral_translate_work\split_by_prompt\json\quest\lang_multi_text\lang_multi_text__quest__part_0028.json,Quest_162700010_QuestDesc_162_1,"Khi Void Storm nuốt chửng người mang theo Cassette, xung từ bên trong thiết bị sẽ bị nhiễm độc, biến nó thành một Cuộn Tape of Last Words. Thông tin mã hóa bên trong trở nên không thể đọc được.
Một Mechasout trong bộ đồ Solsworn hiện đang thu thập những Cuộn Tape of Last Words này với hy vọng ""thanh tẩy"" sự nhiễm độc Hư Vật và khôi phục lại dữ liệu từng được lưu giữ bên trong chúng.","When the Void Storm consumes personnel carrying a Cassette, the magnetic moment within the device becomes corrupted, reducing it to a Tape of Last Words. The encoded information is rendered unreadable.
A Mechasout in a Solsworn apparel is now collecting these Tapes of Last Words in the hope of ""cleansing"" the Voidmatter corruption and restoring the data once preserved within them."
43.0,8,1.0,and; Attack; Basic; Fate; Finality; Movement; of; Phrolova,quest,mistral_translate_work\split_by_prompt\json\quest\lang_multi_text\lang_multi_text__quest__part_0015.json,LevelPlay_314800018_ChildQuestTip_314_6,Chụp ảnh Phrolova thực hiện Basic Attack - Movement of Fate and Finality,Photo of Phrolova performing Basic Attack - Movement of Fate and Finality
43.0,8,1.0,and; Attack; Basic; Fate; Finality; Movement; of; Phrolova,quest,mistral_translate_work\split_by_prompt\json\quest\lang_multi_text\lang_multi_text__quest__part_0015.json,LevelPlay_314800018_ChildQuestTip_314_8,Chụp ảnh Phrolova thực hiện Basic Attack - Movement of Fate and Finality,Photo of Phrolova performing Basic Attack - Movement of Fate and Finality
38.0,8,0.8,a; B; G; N; O; of; photo; Take,quest,mistral_translate_work\split_by_prompt\json\quest\lang_multi_text\lang_multi_text__quest__part_0029.json,Quest_189700014_ChildQuestTip_189_30,Take a photo of B.1.N.G.O. cùng hai tân sinh viên,Take a photo of B.1.N.G.O. and two freshmen
36.0,9,0.9,A; Beats; Joy; Lost; of; Orbit; Play; Sound; Stellar,quest,mistral_translate_work\split_by_prompt\json\quest\lang_multi_text\lang_multi_text__quest__part_0017.json,Quest_194800003_ChildQuestTip_194_8,"Play Stellar Orbit Beats và hoàn thành ""The Sound of Lost Joy"" ở bất kỳ độ khó nào với Đánh Giá trên A","Play Stellar Orbit Beats and complete ""The Sound of Lost Joy"" at any difficulty with a Rating higher than A"
34.75,7,0.875,B; Combat; G; N; O; test,quest,mistral_translate_work\split_by_prompt\json\quest\lang_multi_text\lang_multi_text__quest__part_0017.json,Quest_197850000_QuestDesc_197_1,"Những bài test tiêu chuẩn khiến cậu chán ngấy, nhưng một bài test kỹ năng chiến đấu lại khiến máu cậu sôi sục. Vậy thì hãy dốc hết sức và bước vào cuộc đọ sức giành vị trí Huấn Luyện Viên của Bài Kiểm Tra Kỹ Năng Combat B.1.N.G.O.!","Standard tests make your eyes glaze over, but a test of combat skills sends your adrenaline into overdrive. So bring your A-game and step into the clash for Instructor B.1.N.G.O.'s Combat Mastery Test!"
34.5,9,0.75,Arcade; Blocks; Dive; Game; Lahai; Mind; of; Tetoris; Year,quest,mistral_translate_work\split_by_prompt\json\quest\lang_multi_text\lang_multi_text__quest__part_0017.json,Quest_320800014_QuestDesc_320_1,"Ngoài Mind Dive Arcade, một sinh viên tên Tetoris vẫy cậu thử trò chơi mới nhất ""Game of the Year"", Lahai-Roi Blocks. Cô ấy bảo trò này có nhiều đặc tính kỳ diệu lắm...","Outside the Mind Dive Arcade, a student named Tetoris beckons you to try the latest ""Game of the Year,"" Lahai-Roi Blocks. The game has many wondrous properties, or so she claims..."
34.0,6,1.0,Bell; Challenge; Crab; Every; Flavor; less,quest,mistral_translate_work\split_by_prompt\json\quest\lang_multi_text\lang_multi_text__quest__part_0020.json,Quest_880000042_QuestName_880_1,Challenge Every Flavor Bell-less Crab,Every Flavor Bell-less Crab Challenge
34.0,6,1.0,a; Chuji; of; photo; Take; Yoren,quest,mistral_translate_work\split_by_prompt\json\quest\lang_multi_text\lang_multi_text__quest__part_0029.json,Quest_189700014_ChildQuestTip_189_27,Take a photo of Chuji và Yoren,Take a photo of Chuji and Yoren
