en_source,vn_translate,loi_du_doan
Attribute 6 Energy Value,Attribute 6 Energy Value,C?n ti?ng Anh nghi v?n: Attribute; Energy; Value | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Special Damage Multiplier,Special Damage Multiplier,C?n ti?ng Anh nghi v?n: Damage; Multiplier; Special | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Status Accumulation Value 1,Status Accumulation Value 1,C?n ti?ng Anh nghi v?n: Accumulation; Status; Value | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Status Accumulation Value 2,Status Accumulation Value 2,C?n ti?ng Anh nghi v?n: Accumulation; Status; Value | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Status Accumulation Value 3,Status Accumulation Value 3,C?n ti?ng Anh nghi v?n: Accumulation; Status; Value | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Status Accumulation Value 4,Status Accumulation Value 4,C?n ti?ng Anh nghi v?n: Accumulation; Status; Value | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Status Accumulation Value 5,Status Accumulation Value 5,C?n ti?ng Anh nghi v?n: Accumulation; Status; Value | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Incoming Healing Bonus,Incoming Healing Bonus,C?n ti?ng Anh nghi v?n: Bonus; Healing; Incoming | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Max Vibration Strength,Max Vibration Strength,C?n ti?ng Anh nghi v?n: Max; Strength; Vibration | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Max Vibration Strength,Max Vibration Strength,C?n ti?ng Anh nghi v?n: Max; Strength; Vibration | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Attribute 1 Energy Value,Attribute 1 Energy Value,C?n ti?ng Anh nghi v?n: Attribute; Energy; Value | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Attribute 2 Energy Value,Attribute 2 Energy Value,C?n ti?ng Anh nghi v?n: Attribute; Energy; Value | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Attribute 3 Energy Value,Attribute 3 Energy Value,C?n ti?ng Anh nghi v?n: Attribute; Energy; Value | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Attribute 4 Energy Value,Attribute 4 Energy Value,C?n ti?ng Anh nghi v?n: Attribute; Energy; Value | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Attribute 5 Energy Value,Attribute 5 Energy Value,C?n ti?ng Anh nghi v?n: Attribute; Energy; Value | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Attribute 6 Energy Value,Attribute 6 Energy Value,C?n ti?ng Anh nghi v?n: Attribute; Energy; Value | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Special Damage Multiplier,Special Damage Multiplier,C?n ti?ng Anh nghi v?n: Damage; Multiplier; Special | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Truth from Within,Truth from Within,C?n ti?ng Anh nghi v?n: from; Truth; Within | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Where Wind Sings,Where Wind Sings,C?n ti?ng Anh nghi v?n: Sings; Where; Wind | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Quadruple Time Steps,Quadruple Time Steps,C?n ti?ng Anh nghi v?n: Quadruple; Steps; Time | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Enhancement: Negative Status,Enhancement: Negative Status,C?n ti?ng Anh nghi v?n: Enhancement; Negative; Status | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
True Names Invoked,True Names Invoked,C?n ti?ng Anh nghi v?n: Invoked; Names; True | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
True Names Aligned,True Names Aligned,C?n ti?ng Anh nghi v?n: Aligned; Names; True | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Enhancement: Negative Status,Enhancement: Negative Status,C?n ti?ng Anh nghi v?n: Enhancement; Negative; Status | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Enhancement: Negative Status,Enhancement: Negative Status,C?n ti?ng Anh nghi v?n: Enhancement; Negative; Status | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Enhancement: Negative Status,Enhancement: Negative Status,C?n ti?ng Anh nghi v?n: Enhancement; Negative; Status | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Watchlist Time Remaining,Watchlist Time Remaining,C?n ti?ng Anh nghi v?n: Remaining; Time; Watchlist | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Encounter: False Advertising,Encounter: False Advertising,C?n ti?ng Anh nghi v?n: Advertising; Encounter; False | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Main Story: Inn,Main Story: Inn,C?n ti?ng Anh nghi v?n: Inn; Main; Story | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Main Story: Temple,Main Story: Temple,C?n ti?ng Anh nghi v?n: Main; Story; Temple | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Main Story: Reunion,Main Story: Reunion,C?n ti?ng Anh nghi v?n: Main; Reunion; Story | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Main Story: Execution,Main Story: Execution,C?n ti?ng Anh nghi v?n: Execution; Main; Story | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Encounter: Last Desire,Encounter: Last Desire,C?n ti?ng Anh nghi v?n: Desire; Encounter; Last | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Main Story: System Hub,Main Story: Hệ thống Hub,C?n ti?ng Anh nghi v?n: Hub; Main; Story | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Main Story: Crime Notice,Main Story: Crime Thông báo,C?n ti?ng Anh nghi v?n: Crime; Main; Story | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Main Story: Investigation,Main Story: Investigation,C?n ti?ng Anh nghi v?n: Investigation; Main; Story | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Main Story: Malice,Main Story: Malice,C?n ti?ng Anh nghi v?n: Main; Malice; Story | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Worried Tour Guide [Lighting Technician],Worried Tour Guide [Lighting Technician],C?n ti?ng Anh nghi v?n: Guide; Tour; Worried | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Scene Bonus (Activated),Scene Bonus (Activated),C?n ti?ng Anh nghi v?n: Activated; Bonus; Scene | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
True Martial Arts,True Martial Arts,C?n ti?ng Anh nghi v?n: Arts; Martial; True | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Max Film Roll+,Max Film Roll+,C?n ti?ng Anh nghi v?n: Film; Max; Roll | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Blue Night Waltz,Blue Night Waltz,C?n ti?ng Anh nghi v?n: Blue; Night; Waltz | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Delayed Effect I,Delayed Effect I,C?n ti?ng Anh nghi v?n: Delayed; Effect; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Delayed Effect II,Delayed Effect II,C?n ti?ng Anh nghi v?n: Delayed; Effect; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Blessings Used Up,Blessings Used Up,C?n ti?ng Anh nghi v?n: Blessings; Up; Used | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
New Dream Boon,New Dream Boon,C?n ti?ng Anh nghi v?n: Boon; Dream; New | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
A-okay Harbor,A-okay Harbor,C?n ti?ng Anh nghi v?n: A; Harbor; okay | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Late-Night Gourmet,Late-Night Gourmet,C?n ti?ng Anh nghi v?n: Gourmet; Late; Night | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Cafe Decor Bonus,Cafe Decor Bonus,C?n ti?ng Anh nghi v?n: Bonus; Cafe; Decor | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
New Update Highlight,New Update Highlight,C?n ti?ng Anh nghi v?n: Highlight; New; Update | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
New Sonata Effects,New Sonata Effects,C?n ti?ng Anh nghi v?n: Effects; New; Sonata | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Archive one Vista View,Lưu một Vista View vào Archive,C?n ti?ng Anh nghi v?n: Archive; View; Vista | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Coffee with Tea,Coffee with Tea,C?n ti?ng Anh nghi v?n: Coffee; Tea; with | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Make New Drink,Make New Drink,C?n ti?ng Anh nghi v?n: Drink; Make; New | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Fast Decoration Complete,Fast Decoration Complete,C?n ti?ng Anh nghi v?n: Complete; Decoration; Fast | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Vintage of Time,Vintage of Time,C?n ti?ng Anh nghi v?n: of; Time; Vintage | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Jellyfish Night Light,Jellyfish Night Light,C?n ti?ng Anh nghi v?n: Jellyfish; Light; Night | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Critical Hit: Ardent,Critical Hit: Ardent,C?n ti?ng Anh nghi v?n: Ardent; Critical; Hit | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Critical Hit: Ardent,Critical Hit: Ardent,C?n ti?ng Anh nghi v?n: Ardent; Critical; Hit | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
When Winter Thaws,When Winter Thaws,C?n ti?ng Anh nghi v?n: Thaws; When; Winter | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Unsigned Good Wishes,Unsigned Good Wishes,C?n ti?ng Anh nghi v?n: Good; Unsigned; Wishes | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Unsigned Good Wishes,Unsigned Good Wishes,C?n ti?ng Anh nghi v?n: Good; Unsigned; Wishes | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Critical Hit: Vicious,Critical Hit: Vicious,C?n ti?ng Anh nghi v?n: Critical; Hit; Vicious | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Test Center Mechanics,Test Center Mechanics,C?n ti?ng Anh nghi v?n: Center; Mechanics; Test | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Objective Not Met,Objective Not Met,C?n ti?ng Anh nghi v?n: Met; Not; Objective | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
True Names Aligned,True Names Aligned,C?n ti?ng Anh nghi v?n: Aligned; Names; True | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Quadruple Time Steps,Quadruple Time Steps,C?n ti?ng Anh nghi v?n: Quadruple; Steps; Time | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Old Device I,Old Device I,C?n ti?ng Anh nghi v?n: Device; I; Old | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Old Device II,Old Device II,C?n ti?ng Anh nghi v?n: Device; II; Old | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Blue Night Waltz,Blue Night Waltz,C?n ti?ng Anh nghi v?n: Blue; Night; Waltz | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Just A Rock,Just A Rock,C?n ti?ng Anh nghi v?n: A; Just; Rock | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Honor My Slogan,Honor My Slogan,C?n ti?ng Anh nghi v?n: Honor; My; Slogan | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Last Puzzle Piece,Last Puzzle Piece,C?n ti?ng Anh nghi v?n: Last; Piece; Puzzle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Don't Answer That,Don't Answer That,C?n ti?ng Anh nghi v?n: Answer; Don't; That | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
It Takes Two,It Takes Two,C?n ti?ng Anh nghi v?n: It; Takes; Two | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"""I Must Break You""","""I Must Break Bạn""",C?n ti?ng Anh nghi v?n: Break; I; Must | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Chests ""R"" Us","Chests ""R"" Us",C?n ti?ng Anh nghi v?n: Chests; R; Us | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
City That Shines,City That Shines,C?n ti?ng Anh nghi v?n: City; Shines; That | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Where Yesterday Waits,Where Yesterday Waits,C?n ti?ng Anh nghi v?n: Waits; Where; Yesterday | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
A New Dawn,A New Dawn,C?n ti?ng Anh nghi v?n: A; Dawn; New | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Spring Has Come,Spring Has Come,C?n ti?ng Anh nghi v?n: Come; Has; Spring | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
A Savior Is Everyone,A Savior Is Mọi người,C?n ti?ng Anh nghi v?n: A; Is; Savior | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Reap What You Sow,Reap What Bạn Sow,C?n ti?ng Anh nghi v?n: Reap; Sow; What | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Not A Checkpoint,Not A Checkpoint,C?n ti?ng Anh nghi v?n: A; Checkpoint; Not | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
My Motor Arrives,My Motor Arrives,C?n ti?ng Anh nghi v?n: Arrives; Motor; My | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Wootter, We Found You","Wootter, We Found Bạn",C?n ti?ng Anh nghi v?n: Found; We; Wootter | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Bird Without Legs,Bird Without Legs,C?n ti?ng Anh nghi v?n: Bird; Legs; Without | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Play-guin Time,Play-guin Time,C?n ti?ng Anh nghi v?n: guin; Play; Time | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Feeling Alive Again,Feeling Alive Again,C?n ti?ng Anh nghi v?n: Again; Alive; Feeling | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
One Step Away,One Step Away,C?n ti?ng Anh nghi v?n: Away; One; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Sights She Has Seen,Sights Cô ấy Has Seen,C?n ti?ng Anh nghi v?n: Has; Seen; Sights | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Cooking With Heart,Cooking With Heart,C?n ti?ng Anh nghi v?n: Cooking; Heart; With | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Only Reverberation Remains,Only Reverberation Remains,C?n ti?ng Anh nghi v?n: Only; Remains; Reverberation | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Ride Your Wave,Ride Your Wave,C?n ti?ng Anh nghi v?n: Ride; Wave; Your | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
One Last Ocean,One Last Ocean,C?n ti?ng Anh nghi v?n: Last; Ocean; One | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Bubble Bath Time,Bubble Bath Time,C?n ti?ng Anh nghi v?n: Bath; Bubble; Time | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
To Dream's Shores,To Dream's Shores,C?n ti?ng Anh nghi v?n: Dream's; Shores; To | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
From Dream's Shores,From Dream's Shores,C?n ti?ng Anh nghi v?n: Dream's; From; Shores | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
You Shall Not Pass,Bạn Shall Not Pass,C?n ti?ng Anh nghi v?n: Not; Pass; Shall | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
When Aix Cries,When Aix Cries,C?n ti?ng Anh nghi v?n: Aix; Cries; When | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
When Aix Cries,When Aix Cries,C?n ti?ng Anh nghi v?n: Aix; Cries; When | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
A Lethal Weapon,A Lethal Weapon,C?n ti?ng Anh nghi v?n: A; Lethal; Weapon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Master Damage I,Master Damage I,C?n ti?ng Anh nghi v?n: Damage; I; Master | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Master Damage II,Master Damage II,C?n ti?ng Anh nghi v?n: Damage; II; Master | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Master Damage III,Master Damage III,C?n ti?ng Anh nghi v?n: Damage; III; Master | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Master Damage IV,Master Damage IV,C?n ti?ng Anh nghi v?n: Damage; IV; Master | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
When Clouds Settle,When Clouds Settle,C?n ti?ng Anh nghi v?n: Clouds; Settle; When | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Moment Once More,Moment Once More,C?n ti?ng Anh nghi v?n: Moment; More; Once | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Butterfly Effect I,Butterfly Effect I,C?n ti?ng Anh nghi v?n: Butterfly; Effect; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Butterfly Effect II,Butterfly Effect II,C?n ti?ng Anh nghi v?n: Butterfly; Effect; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Butterfly Effect III,Butterfly Effect III,C?n ti?ng Anh nghi v?n: Butterfly; Effect; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Now Who's Mourning,Now Who's Mourning,C?n ti?ng Anh nghi v?n: Mourning; Now; Who's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Worn Longevity Lock,Worn Longevity Lock,C?n ti?ng Anh nghi v?n: Lock; Longevity; Worn | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Thunder and Flames,Thunder and Flames,C?n ti?ng Anh nghi v?n: and; Flames; Thunder | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
A Heroine's Return,A Heroine's Return,C?n ti?ng Anh nghi v?n: A; Heroine's; Return | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
A Bad Deal,A Bad Deal,C?n ti?ng Anh nghi v?n: A; Bad; Deal | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
