en_source,vn_translate,loi_du_doan
"After Resonance Liberation is released, damage dealt by normal attacks and charged attacks are increased by 50%. Lasts 10 seconds.","Sau khi sử dụng Resonance Liberation, DMG gây ra bởi Normal Attack và Heavy Attack tăng 50%. Hiệu ứng kéo dài 10 giây.",C?n ti?ng Anh nghi v?n: Attack; Heavy; Liberation; Normal | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 0.5 | M?c ??: 31.0
"After Resonance Skill is released, your Electro damage is increased by 15%, and Electro damage you deal to enemies Electrified or Hyper-Electrified is increased by 20% for 12 seconds. In the 4 seconds after Resonance Liberation is released or Extreme Dodge is performed, the above effects are increased by 50%, up to 100%.","Sau khi sử dụng Resonance Skill, Electro DMG của bạn tăng 15%, và Electro DMG gây ra cho kẻ địch đang chịu Electrified hoặc Hyper-Electrified tăng 20% trong 12 giây. Trong 4 giây sau khi sử dụng Resonance Liberation hoặc thực hiện Extreme Dodge, các hiệu ứng trên tăng thêm 50%, tối đa 100%.",C?n ti?ng Anh nghi v?n: Dodge; Electrified; Extreme; Hyper; Liberation; Skill | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.333 | M?c ??: 29.33
Health increases by 12.8%.,Health increases by 12.8%.,C?n ti?ng Anh nghi v?n: by; Health; increases | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
test/Journey No. 5,test/Journey Không. 5,C?n ti?ng Anh nghi v?n: Journey; test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
test/Journey No. 5,test/Journey Không. 5,C?n ti?ng Anh nghi v?n: Journey; test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
test/Journey No. 4,test/Journey Không. 4,C?n ti?ng Anh nghi v?n: Journey; test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
test/Journey No. 4,test/Journey Không. 4,C?n ti?ng Anh nghi v?n: Journey; test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
test/Journey No. 3,test/Journey Số 3,C?n ti?ng Anh nghi v?n: Journey; test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
test/Journey No. 3,test/Journey Số 3,C?n ti?ng Anh nghi v?n: Journey; test | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Once every 20 seconds, when Concerto Effect is triggered, gain 5 Ice Spirits that last for 20 seconds. During this period, every time Glacio damage is done, 1 Ice Spirit is consumed to raise that Glacio damage by 40%. Damage increase done in this way can be triggered only once in every 0.5 second.","Mỗi 20 giây, khi Concerto Effect được kích hoạt, nhận 5 Glacio DMG Spirits tồn tại trong 20 giây. Trong thời gian này, mỗi khi gây Glacio DMG, tiêu hao 1 Glacio DMG Spirit để tăng Glacio DMG đó thêm 40%. DMG Up theo cách này chỉ có thể kích hoạt mỗi 0.5 giây một lần.",C?n ti?ng Anh nghi v?n: Effect; Spirit; Spirits; Up | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.19 | M?c ??: 18.9
"When extreme evasion is performed, the damage bonus is increased by 35% for 6 seconds. Repeated triggering refreshes this effect.","Khi thực hiện Extreme Evasion, DMG Bonus tăng 35% trong 6 giây. Kích hoạt lại sẽ làm mới hiệu ứng.",C?n ti?ng Anh nghi v?n: Bonus; Evasion; Extreme | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 0.5 | M?c ??: 17.0
