database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_map_mark.db,MapMark,Id,2,Content,general,translated,,PASS,10,,,,,Pioneer Association,Hiệp Hội Tiên Phong,
lang_map_mark.db,MapMark,Id,3,Content,general,translated,,PASS,10,,,,,"The Pioneer Association is an organization that was debated and established by the Humanity Community after the Threnodian War. The organization was born out of the ""Pioneer Convention"", a treaty agreed upon by the Human Community, and adheres to the spirit of the Convention: ""Smile in the face of storm, fearless of lightning, together for a better world"", guiding humanity to develop a pioneering and adventurous spirit to rebuild the human civilization.","Hiệp hội Tiên Phong là tổ chức được Cộng đồng Nhân loại thảo luận và thành lập sau Chiến tranh Threnody. Tổ chức ra đời từ ""Công ước Tiên Phong"" - hiệp ước được Cộng đồng Nhân loại thông qua, và tuân theo tinh thần của Công ước: ""Mỉm cười trước bão tố, bất khuất trước sấm sét, cùng nhau vì một thế giới tốt đẹp hơn"", dẫn dắt nhân loại phát triển tinh thần tiên phong và mạo hiểm để tái thiết nền văn minh nhân loại.",
lang_map_mark.db,MapMark,Id,4,Content,general,translated,,PASS,10,,,,,Gorges of Spirits,Hẻm Núi Linh Hồn,
lang_map_mark.db,MapMark,Id,5,Content,general,translated,,PASS,10,,,,,Tiancheng Urban Area,Khu Đô Thị Thiên Thành,
lang_map_mark.db,MapMark,Id,6,Content,general,translated,,PASS,10,,,,,Central Plains,Đồng Bằng Trung Tâm,
lang_map_mark.db,MapMark,Id,7,Content,general,translated,,PASS,10,,,,,Desorock Highland,Cao Nguyên Desorock,
lang_map_mark.db,MapMark,Id,8,Content,general,translated,,PASS,10,,,,,"Hukou, the Tiger's Maw","Hukou, Hàm Hổ",
lang_map_mark.db,MapMark,Id,9,Content,general,translated,,PASS,10,,,,,Whining Aix's Mire,Bãi Bùn Than Vãn của Aix,
lang_map_mark.db,MapMark,Id,10,Content,general,translated,,PASS,10,,,,,Dim Forest,Rừng Tối,
lang_map_mark.db,MapMark,Id,11,Content,general,translated,,PASS,10,,,,,Forsaken Abundance,Sự Sung Túc Bị Lãng Quên,
lang_map_mark.db,MapMark,Id,12,Content,general,translated,,PASS,10,,,,,Wasted Metropolis,Thành Phố Hoang Phí,
lang_map_mark.db,MapMark,Id,13,Content,general,translated,,PASS,10,,,,,Relic Merchant,Thương Nhân Di Vật,
lang_map_mark.db,MapMark,Id,14,Content,general,translated,,PASS,10,,,,,"""Treasures left behind in the land of sores, re-bloom in glory.""
 Exchange the collected antiques with merchants to receive different gifts of appreciation.
 Collect the sound caskets scattered across the world, and let the treasures come back to life.","""Những bảo vật bị bỏ lại trên vùng đất đầy thương đau, nay lại hồi sinh trong vinh quang.""
 Đổi những món đồ cổ đã sưu tầm với thương nhân để nhận những món quà tri ân khác nhau.
 Thu thập những hộp âm thanh rải rác khắp thế giới, và để những bảo vật ấy sống dậy lần nữa.",
lang_map_mark.db,MapMark,Id,15,Content,general,translated,,PASS,10,,,,,Weapons Franchise,Dòng Vũ Khí,
lang_map_mark.db,MapMark,Id,16,Content,general,translated,,PASS,10,,,,,"Weapons franchise store under the Ministry of Development, providing weapon sales, customizations and related services.","Cửa hàng kinh doanh vũ khí trực thuộc Bộ Phát Triển, cung cấp dịch vụ bán, tùy chỉnh vũ khí và các dịch vụ liên quan.",
lang_map_mark.db,MapMark,Id,17,Content,general,translated,,PASS,10,,,,,Huanglong Academy,Học Viện Huanglong,
lang_map_mark.db,MapMark,Id,18,Content,general,translated,,PASS,10,,,,,The highest scientific research institution of Huanglong located in Tiancheng. The Academy conducts research and also provides support to the population in various fields of science and technology.,"Viện Hàn lâm Khoa học cao nhất của Huanglong, đặt tại Tiancheng. Viện không chỉ tiến hành nghiên cứu mà còn hỗ trợ người dân trong nhiều lĩnh vực khoa học và công nghệ.",
lang_map_mark.db,MapMark,Id,19,Content,general,translated,,PASS,10,,,,,"""Souvenir"" Shop","""Cửa Hàng"" Kỷ Vật",
