database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_cycle_tower.db,CycleTowerChallengeConfig,Id,1,Content,general,translated,,PASS,10,,,,,Top Drive Track,Đường Đua Đỉnh Cao,
lang_cycle_tower.db,CycleTowerChallengeConfig,Id,2,Content,general,translated,,PASS,10,,,,,Pilot Unit,Đơn Vị Điều Khiển,
lang_cycle_tower.db,CycleTowerChallengeConfig,Id,3,Content,general,translated,,PASS,10,,,,,Power Module,Mô-đun Năng Lượng,
lang_cycle_tower.db,CycleTowerChallengeConfig,Id,4,Content,general,translated,,PASS,10,,,,,Top Drive Track,Đường Đua Đỉnh Cao,
lang_cycle_tower.db,CycleTowerChallengeConfig,Id,5,Content,general,translated,,PASS,10,,,,,Pilot Unit,Đơn Vị Điều Khiển,
lang_cycle_tower.db,CycleTowerChallengeConfig,Id,6,Content,general,translated,,PASS,10,,,,,Power Module,Mô-đun Năng Lượng,
lang_cycle_tower.db,CycleTowerChallengeConfig,Id,7,Content,general,translated,,PASS,10,,,,,Top Drive Track,Đường Đua Đỉnh Cao,
lang_cycle_tower.db,CycleTowerChallengeConfig,Id,8,Content,general,translated,,PASS,10,,,,,Pilot Unit,Đơn Vị Điều Khiển,
lang_cycle_tower.db,CycleTowerChallengeConfig,Id,9,Content,general,translated,,PASS,10,,,,,Power Module,Mô-đun Năng Lượng,
lang_cycle_tower.db,CycleTowerChallengeConfig,Id,10,Content,general,translated,,PASS,10,,,,,Top Drive Track,Đường Đua Đỉnh Cao,
lang_cycle_tower.db,CycleTowerChallengeConfig,Id,11,Content,general,translated,,PASS,10,,,,,Pilot Unit,Đơn Vị Điều Khiển,
lang_cycle_tower.db,CycleTowerChallengeConfig,Id,12,Content,general,translated,,PASS,10,,,,,Power Module,Mô-đun Năng Lượng,
lang_cycle_tower.db,CycleTowerChallengeConfig,Id,13,Content,general,translated,,PASS,10,,,,,Top Drive Track,Đường Đua Đỉnh Cao,
