database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_revive.db,Revive,Id,1,Content,general,translated,,PASS,10,,,,,You Are Knocked Out,Bạn Đã Bị Hạ Gục,
lang_revive.db,Revive,Id,2,Content,general,translated,,PASS,10,,,,,"You are beginning to faint, please be more careful next time.","Bạn sắp ngất đi rồi, lần sau hãy cẩn thận hơn nhé.",
lang_revive.db,Revive,Id,3,Content,general,translated,,PASS,10,,,,,You Are Knocked Out,Bạn Đã Bị Hạ Gục,
lang_revive.db,Revive,Id,4,Content,general,translated,,PASS,10,,,,,"You are beginning to faint, please be more careful next time.","Bạn sắp ngất đi rồi, lần sau hãy cẩn thận hơn nhé.",
lang_revive.db,Revive,Id,5,Content,general,translated,,PASS,10,,,,,You Are Knocked Out,Bạn Đã Bị Hạ Gục,
lang_revive.db,Revive,Id,6,Content,general,translated,,PASS,10,,,,,"You are beginning to faint, please be more careful next time.","Bạn sắp ngất đi rồi, lần sau hãy cẩn thận hơn nhé.",
lang_revive.db,Revive,Id,7,Content,general,translated,,PASS,10,,,,,You Are Knocked Out,Bạn Đã Bị Hạ Gục,
lang_revive.db,Revive,Id,8,Content,general,translated,,PASS,10,,,,,"You are beginning to faint, please be more careful next time.","Bạn sắp ngất đi rồi, lần sau hãy cẩn thận hơn nhé.",
lang_revive.db,Revive,Id,9,Content,general,translated,,PASS,10,,,,,You Are Knocked Out,Bạn Đã Bị Hạ Gục,
lang_revive.db,Revive,Id,10,Content,general,translated,,PASS,10,,,,,"You are beginning to faint, please be more careful next time.","Bạn sắp ngất đi rồi, lần sau hãy cẩn thận hơn nhé.",
lang_revive.db,Revive,Id,11,Content,general,translated,,PASS,10,,,,,You Are Knocked Out,Bạn Đã Bị Hạ Gục,
lang_revive.db,Revive,Id,12,Content,general,translated,,PASS,10,,,,,"You are beginning to faint, please be more careful next time.","Bạn sắp ngất đi rồi, lần sau hãy cẩn thận hơn nhé.",
lang_revive.db,Revive,Id,13,Content,general,translated,,PASS,10,,,,,You Are Knocked Out,Bạn Đã Bị Hạ Gục,
lang_revive.db,Revive,Id,14,Content,general,translated,,PASS,10,,,,,"You are beginning to faint, please be more careful next time.","Bạn sắp ngất đi rồi, lần sau hãy cẩn thận hơn nhé.",
lang_revive.db,Revive,Id,15,Content,general,translated,,PASS,10,,,,,You Are Knocked Out,Bạn Đã Bị Hạ Gục,
lang_revive.db,Revive,Id,16,Content,general,translated,,PASS,10,,,,,"You are beginning to faint, please be more careful next time.","Bạn sắp ngất đi rồi, lần sau hãy cẩn thận hơn nhé.",
lang_revive.db,Revive,Id,17,Content,general,translated,,PASS,10,,,,,You Are Knocked Out,Bạn Đã Bị Hạ Gục,
lang_revive.db,Revive,Id,18,Content,general,translated,,PASS,10,,,,,"You are beginning to faint, please be more careful next time.","Bạn sắp ngất đi rồi, lần sau hãy cẩn thận hơn nhé.",
lang_revive.db,Revive,Id,19,Content,general,translated,,PASS,10,,,,,You Are Knocked Out,Bạn Đã Bị Hạ Gục,
lang_revive.db,Revive,Id,20,Content,general,translated,,PASS,10,,,,,"You are beginning to faint, please be more careful next time.","Bạn sắp ngất đi rồi, lần sau hãy cẩn thận hơn nhé.",
