database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_payshop.db,PayShop,Id,1,Content,ui,translated,,PASS,10,,,,,Top Picks,Lựa Chọn Hàng Đầu,
lang_payshop.db,PayShop,Id,2,Content,ui,translated,,PASS,10,,,,,Fashion Union,Liên Minh Thời Trang,
lang_payshop.db,PayShop,Id,3,Content,ui,translated,,PASS,10,,,,,Special Offers,Ưu Đãi Đặc Biệt,
lang_payshop.db,PayShop,Id,4,Content,ui,translated,,PASS,10,,,,,Public Office,Văn Phòng Công,
lang_payshop.db,PayShop,Id,5,Content,ui,translated,,PASS,10,,,,,Purchase,Mua,
lang_payshop.db,PayShopTab,Id,1,Content,ui,translated,,PASS,10,,,,,Fashion Union,Liên Minh Thời Trang,
lang_payshop.db,PayShopTab,Id,2,Content,ui,translated,,PASS,10,,,,,Monthly Membership,Gói Thành Viên Hàng Tháng,
lang_payshop.db,PayShopTab,Id,3,Content,ui,translated,,PASS,10,,,,,Aftershocked Shellhorn,Vỏ Sừng Dư Chấn,
lang_payshop.db,PayShopTab,Id,4,Content,ui,translated,,PASS,10,,,,,Oscillated Shellhorn,Sừng Vỏ Dao Động,
lang_payshop.db,PayShopTab,Id,5,Content,ui,translated,,PASS,10,,,,,Tacetreite Voucher,Phiếu Tacetreite,
