database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_detection.db,MonsterDetection,Id,1,Content,general,translated,,PASS,10,,,,,Vanguard Junrock,Tiền Phong Junrock,
lang_detection.db,MonsterDetection,Id,2,Content,general,translated,,PASS,10,,,,,"Tacet Discord commonly seen active within mines and mountainous areas, small in size, relatively low danger level.","Tacet Discord thường hoạt động trong các khu mỏ và vùng núi, kích thước nhỏ, mức độ nguy hiểm tương đối thấp.",
lang_detection.db,MonsterDetection,Id,3,Content,general,translated,,PASS,10,,,,,"Binomial name ""Resinacrustidum lapis"", member of the Resinacrustidum species. This Tacet Discord is often found active in packs within mines and mountainous areas, along with other Fission Junrocks, relatively low danger level.","Tên khoa học ""Resinacrustidum lapis"", thuộc loài Resinacrustidum. Tacet Discord này thường hoạt động theo bầy trong các khu mỏ và vùng núi, cùng với các Fission Junrock khác, cấp độ nguy hiểm tương đối thấp.",
lang_detection.db,MonsterDetection,Id,4,Content,general,translated,,REVIEW,6,same_as_source,,,,Fission Junrock,Fission Junrock,
lang_detection.db,MonsterDetection,Id,5,Content,general,translated,,PASS,10,,,,,"A Resinacrustidum species of small size Tacet Discords, often found active in packs. Mainly appears in areas with abundant rock masses. Danger level relatively low.","Loài Tacet Discord nhỏ thuộc giống Resinacrustidum, thường hoạt động theo bầy đàn. Chủ yếu xuất hiện ở khu vực có nhiều khối đá. Mức độ nguy hiểm tương đối thấp.",
lang_detection.db,MonsterDetection,Id,6,Content,general,translated,,PASS,10,,,,,"Binomial name ""Resinacrustidum lapis"", part of the Resinacrustidum species. This Tacet Discord is often found active, along with Vanguard Junrocks, relatively low danger level.","Tên khoa học ""Resinacrustidum lapis"", thuộc loài Resinacrustidum. Tacet Discord này thường hoạt động cùng với các Vanguard Junrock, cấp độ nguy hiểm tương đối thấp.",
lang_detection.db,MonsterDetection,Id,7,Content,general,translated,,PASS,10,,,,,Impulse Predator,Thú Dữ Dội,
lang_detection.db,MonsterDetection,Id,8,Content,general,translated,,PASS,10,,,,,"Tacet Discord whose appearance resembles that of a human, has specialized upper limbs that can use conductive energy for long-range attacks. According to witnesses, and is somewhat dangerous.","Tacet Discord có hình dạng giống con người, sở hữu chi trên chuyên biệt có thể sử dụng năng lượng dẫn điện để tấn công tầm xa. Theo lời nhân chứng, nó khá nguy hiểm.",
lang_detection.db,MonsterDetection,Id,10,Content,general,translated,,PASS,10,,,,,Fusion Warrior,Chiến Binh Fusion,
lang_detection.db,MonsterDetection,Id,11,Content,general,translated,,PASS,10,,,,,"The appearance of this Tacet Discord resembles a humanoid, widely distributed. The attacks are mainly at close range and are dangerous.","Hình dạng của Tacet Discord này giống hình người, phân bố rộng rãi. Các đòn tấn công chủ yếu ở tầm gần và rất nguy hiểm.",
lang_detection.db,MonsterDetection,Id,12,Content,general,translated,,PASS,10,,,,,"Binomial name ""Devorsonidum fusio"", a member of the genus Devorsonidum. Bilateral upper limbs resemble long and short spears respectively, and can attack by stabbing and chopping. Moderate danger level.","Tên nhị thức ""Devorsonidum fusio"", thuộc chi Devorsonidum. Hai chi trước có hình dạng giống giáo dài và ngắn, có thể tấn công bằng cách đâm và chém. Mức độ nguy hiểm trung bình.",
lang_detection.db,MonsterDetection,Id,13,Content,general,translated,,PASS,10,,,,,Rupture Warrior,Chiến Binh Đứt Gãy,
lang_detection.db,MonsterDetection,Id,14,Content,general,translated,,PASS,10,,,,,"A humanoid Tacet Discord with a wide distribution that mainly attacks at close range. Possesses unilateral idiosyncratic upper extremity, with some risk.","Một Tacet Discord hình người phân bố rộng rãi, chủ yếu tấn công ở cự ly gần. Có chi trên đặc biệt lệch lạc, mang một số rủi ro.",
lang_detection.db,MonsterDetection,Id,15,Content,general,translated,,PASS,10,,,,,"Binomial name ""Devorsonidum ruptura"", a member of the genus Disorder. Its appearance resembles that of a human, with a strong desire to attack and a certain degree of danger.","Tên nhị thức ""Devorsonidum ruptura"", thuộc chi Disorder. Ngoại hình giống con người, có ham muốn tấn công mạnh mẽ và mức độ nguy hiểm nhất định.",
