database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_forge.db,ForgeFormula,Id,1,Content,item,translated,,PASS,10,,,,,Ultrasonic Judgement,Phán Quyết Siêu Âm,
lang_forge.db,ForgeFormula,Id,3,Content,item,translated,,PASS,10,,,,,"A smith technique before the Lament is used, giving the blade a relatively light usability with its cumbersome-looking body.","Kỹ thuật rèn trước Lament, giúp lưỡi kiếm có độ sử dụng tương đối nhẹ nhàng dù vẻ ngoài có phần thô kệch.",
lang_forge.db,ForgeFormula,Id,4,Content,item,translated,,PASS,10,,,,,Ultrasonic Blade,Lưỡi Kiếm Siêu Âm,
lang_forge.db,ForgeFormula,Id,6,Content,item,translated,,PASS,10,,,,,A sword of recognized blessing since it accompanies multiple fighters' triumphs.,Thanh kiếm được công nhận là mang phước lành khi đồng hành cùng chiến thắng của nhiều chiến binh.,
lang_forge.db,ForgeFormula,Id,7,Content,item,translated,,PASS,10,,,,,Ultrasonic Hellen,Hellen Siêu Âm,
lang_forge.db,ForgeFormula,Id,9,Content,item,translated,,PASS,10,,,,,A gun known for its strong firepower. Impassioned convictions will rise when this gun is held on the battlefield.,"Một khẩu súng nổi tiếng với hỏa lực mạnh mẽ. Khi cầm khẩu súng này trên chiến trường, lòng nhiệt huyết sẽ dâng trào.",
lang_forge.db,ForgeFormula,Id,10,Content,item,translated,,PASS,10,,,,,Ultrasonic rockbreaker,Đá Phá Siêu Âm,
lang_forge.db,ForgeFormula,Id,12,Content,item,translated,,PASS,10,,,,,A pair of sound gauntlets with a brutal weight and ultimate reliability. It can unleash huge power enough to move mountains in the hands of proficient users.,"Một đôi găng tay âm thanh với trọng lượng khủng khiếp và độ tin cậy tối thượng. Trong tay người sử dụng thành thạo, nó có thể giải phóng sức mạnh đủ để dời núi lấp biển.",
lang_forge.db,ForgeFormula,Id,13,Content,item,translated,,PASS,10,,,,,Ultrasonic Matrix,Ma Trận Siêu Âm,
lang_forge.db,ForgeFormula,Id,15,Content,item,translated,,PASS,10,,,,,"Carrying relatively advanced matrix chain technology, it shall make perfect operations masterpieces worthy of appreciation.","Mang theo công nghệ chuỗi ma trận tiên tiến tương đối, nó sẽ tạo ra những tuyệt tác vận hành hoàn hảo đáng để chiêm ngưỡng.",
