database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_questtype.db,QuestType,Id,1,Content,quest,translated,,PASS,10,,,,,Missions,Nhiệm vụ,
lang_questtype.db,QuestType,Id,2,Content,quest,translated,,PASS,10,,,,,Missions,Nhiệm vụ,
lang_questtype.db,QuestType,Id,3,Content,quest,translated,,PASS,10,,,,,Trails of Waves,Dấu Vết Sóng,
lang_questtype.db,QuestType,Id,4,Content,quest,translated,,PASS,10,,,,,Trails of Waves,Dấu Vết Sóng,
lang_questtype.db,QuestType,Id,5,Content,quest,translated,,PASS,10,,,,,Untold Anecdotes,Chuyện Bên Lề Chưa Kể,
lang_questtype.db,QuestType,Id,6,Content,quest,translated,,PASS,10,,,,,Untold Anecdotes,Chuyện Bên Lề Chưa Kể,
lang_questtype.db,QuestType,Id,7,Content,quest,translated,,PASS,10,,,,,Solo Record,Kỷ Lục Solo,
lang_questtype.db,QuestType,Id,8,Content,quest,translated,,PASS,10,,,,,Solo Record,Kỷ Lục Solo,
lang_questtype.db,QuestType,Id,9,Content,quest,translated,,PASS,10,,,,,General Tasks,Nhiệm vụ chung,
lang_questtype.db,QuestType,Id,10,Content,quest,translated,,PASS,10,,,,,General Tasks,Nhiệm vụ chung,
