en_source,vn_translate,loi_du_doan
"Oriental Springs and Occidental Classics: Part I

Fella: friend, buddy.
Make yourself known: What's your name.
Hide the blade: not convenient to tell the name.
Big known: A man with a fame.
Emp: A fresh man who doesn't know the slang.
Gather Spring: Communicate with the slang.
Fat: an admired man.
Gourd Grip: the boss, the leader.
Deliver the water: take out your money.
Peeker: the eye.
Wind-taker: the ear.
Gold pole: the leg.
The green: weapon.
The stick: gun.
...","Suối Fangdong và Kinh Điển Phương Tây: Phần I

Fella: bạn bè, anh em.
Make yourself known: Malee cậu là gì.
Hide the blade: không tiện nói tên.
Big known: Người nổi tiếng.
Emp: Kẻ ngoại đạo không biết tiếng lóng.
Gather Spring: Giao tiếp bằng tiếng lóng.
Fat: Người được ngưỡng mộ.
Gourd Grip: Ông trùm, thủ lĩnh.
Deliver the water: Đưa tiền đây.
Peeker: Con mắt.
Wind-taker: Lỗ tai.
Gold pole: Cái chân.
The green: Weapons.
The stick: Súng.
...",C?n ti?ng Anh nghi v?n: Big; blade; Deliver; Emp; Fat; Fella; Gather; Gold; Gourd; green; Grip; Hide; I; known; Make; Peeker; pole; Spring; stick; taker; water; Wind; yourself | S? t?/c?m nghi v?n: 24 | T? l? nghi v?n: 0.649 | M?c ??: 64.49
"The data source that fell from the body of the Thousand Sins - The Obscured. Appears to store information about the Ji Ting Laboratory, which can be read after parsing. Old laboratory data sources.","Nguồn dữ liệu rơi ra từ xác Thousand Sins - The Obscured. Dường như lưu trữ thông tin về Phòng thí nghiệm Ji Ting, có thể đọc được sau khi giải mã. Old laboratory data sources.",C?n ti?ng Anh nghi v?n: data; Ji; laboratory; Obscured; Old; Sins; sources; Thousand; Ting | S? t?/c?m nghi v?n: 9 | T? l? nghi v?n: 0.643 | M?c ??: 36.43
"A special dish introduced by Huanglong served at the Threnodian War celebration banquet to commemorate the victory in the First Battle of the Tiger's Maw. The dish is made by carving a hole in the middle of the tofu and filling it with special minced meat. The dish is named Hukou Tofu because of its resemblance to the cliff face of Hukou, the Tiger's Maw.","Dish đặc biệt do Huanglong giới thiệu tại tiệc kỷ niệm chiến thắng Threnodian War, nhằm tưởng nhớ chiến thắng trong Trận Tiger's Maw lần thứ nhất. Dish được chế biến bằng cách khoét lỗ ở giữa đậu phụ rồi nhồi thịt băm đặc biệt. Dish có tên Hukou Tofu vì hình dáng giống vách đá Hukou ở Tiger's Maw.",C?n ti?ng Anh nghi v?n: Dish; Hukou; Maw; Tiger's; Tofu; War | S? t?/c?m nghi v?n: 11 | T? l? nghi v?n: 0.733 | M?c ??: 35.33
"A large phoebe of the genus Crested Phoebe, family Crested Phoebes, and is related to Crested Phoebe and Blue Phoebe. They are often found in dense vegetation areas in woodlands or other environments, and fly in pairs at high altitudes, feeding on nectar, and are not easily captured. It is not as adaptable to the environment as the skipper butterfly, and its population size is affected by changes in the environment and climate, so its number and rarity are in the middle of the three butterflies.","Một loài phoebe lớn thuộc chi Crested Phoebe, họ Crested Phoebes, có họ hàng với Crested Phoebe và Blue Phoebe. Chúng thường xuất hiện ở những khu vực cây cối rậm rạp trong rừng hoặc môi trường tương tự, bay theo cặp ở độ cao lớn, hút mật hoa và rất khó bắt. Khả năng thích nghi với môi trường của chúng không bằng bướm skipper, số lượng cá thể bị ảnh hưởng bởi biến đổi môi trường và khí hậu, do đó số lượng và độ hiếm của chúng ở mức trung bình trong ba loài bướm.",C?n ti?ng Anh nghi v?n: Blue; Crested; phoebe; Phoebe; Phoebes; skipper | S? t?/c?m nghi v?n: 10 | T? l? nghi v?n: 0.455 | M?c ??: 30.55
"In the Year 155, a new tofu dish was introduced at Panghua's Kitchen to commemorate the awarding of the four paragons of Huanglong. It has four flavors: tingly, spicy, fresh and fragrant, hence Paragon Tofu, and is one of the signature dishes of Panghua's Kitchen.","Enter Năm 155, một món đậu phụ mới được giới thiệu tại Panghua's Kitchen để kỷ niệm việc bốn bậc hiền tài của Huanglong được vinh danh. Dish có bốn hương vị: tê cay, cay nồng, thanh mát và thơm lừng, do đó có tên là Paragon Tofu, và trở thành một trong những món đặc sản của Panghua's Kitchen.",C?n ti?ng Anh nghi v?n: Dish; Enter; Kitchen; Panghua's; Paragon; Tofu | S? t?/c?m nghi v?n: 8 | T? l? nghi v?n: 0.5 | M?c ??: 29.0
"A large phoebe of the genus Crested Phoebe, family Crested Phoebes, and is related to Crested Phoebes and Red Phoebes. They are often found in dense vegetation in woodlands or other environments, flying in pairs at high altitudes, feeding on nectar, and are not easily captured. Most of the blue feather butterflies are male butterflies, and the number of female butterflies is scarce, resulting in low reproductive capacity, so the blue feather butterfly is the rarest and the least numerous of the three butterflies.","Một loài phoebe lớn thuộc chi Crested Phoebe, họ Crested Phoebes, có họ hàng với Crested Phoebe và Red Phoebe. Chúng thường sống trong các khu rừng có thảm thực vật dày đặc hoặc môi trường tương tự, bay theo cặp ở độ cao lớn, hút mật hoa và rất khó bắt. Phần lớn bướm lông xanh là bướm đực, số lượng bướm cái rất ít, dẫn đến khả năng sinh sản thấp, vì vậy bướm lông xanh là loài hiếm nhất và ít cá thể nhất trong ba loài bướm.",C?n ti?ng Anh nghi v?n: Crested; phoebe; Phoebe; Phoebes; Red | S? t?/c?m nghi v?n: 9 | T? l? nghi v?n: 0.429 | M?c ??: 27.29
"A medicinal dish inspired by Morricow. Yunzhi is considered not directly edible because of the spores it carries. However, a field worker happened to find a strange aroma of Yunzhi in a Morricow before regurgitation. Research showed that the spores of Yunzhi were thoroughly decomposed under the prolonged action of the higher body temperature in the cattle, and the strange aroma appeared. Using this as inspiration, a chef then worked on a strange hot pot of Morricow stew with Yunzhi.","Dish dược liệu lấy cảm hứng từ Morricow. Yunzhi được cho là không thể ăn trực tiếp do mang bào tử. Tuy nhiên, một công nhân nông trường tình cờ phát hiện mùi thơm lạ của Yunzhi trong dạ dày Morricow trước khi nó nhai lại. Nghiên cứu cho thấy bào tử Yunzhi bị phân hủy hoàn toàn dưới tác động kéo dài của nhiệt độ cơ thể cao ở gia súc, tạo ra mùi thơm kỳ lạ. Từ đó, một đầu bếp đã sáng tạo ra món lẩu Morricow hầm Yunzhi độc đáo.",C?n ti?ng Anh nghi v?n: Dish; Morricow; Yunzhi | S? t?/c?m nghi v?n: 8 | T? l? nghi v?n: 0.4 | M?c ??: 23.0
"A detailed written recipe on how to make ""Compressed Food Bar"".","Recipe chi tiết cách làm ""Compressed Food Bar"".",C?n ti?ng Anh nghi v?n: Bar; Compressed; Food; Recipe | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 0.8 | M?c ??: 23.0
Squeaky Express new site preparation environment sampling.,Get mẫu môi trường chuẩn bị địa điểm mới của Squeaky Express.,C?n ti?ng Anh nghi v?n: Express; Get; Squeaky | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
Squeaky Express new site preparation environment sampling.,Get mẫu môi trường chuẩn bị địa điểm mới của Squeaky Express.,C?n ti?ng Anh nghi v?n: Express; Get; Squeaky | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 21.0
