database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_influence.db,Influence,Id,1,Content,general,translated,,PASS,10,,,,,Random Forces.,Lực lượng ngẫu nhiên,
lang_influence.db,Influence,Id,2,Content,general,translated,,PASS,10,,,,,Pioneer Association,Hiệp Hội Tiên Phong,
lang_influence.db,Influence,Id,3,Content,general,translated,,PASS,10,,,,,"Pioneer Association was founded after the Wuthering War by human community. They sometimes go by PA for short.
Due to the trusting relationship between Resonators and regular people in Huanglong, PA got relatively huge scale in Huanglong, and take on more responsibility. Joining the PA is something worth being proud of in Huanglong.","Hiệp Hội Tiên Phong được thành lập sau Chiến Tranh Gió Hú bởi cộng đồng loài người. Họ thường được gọi tắt là PA.
Nhờ mối quan hệ tin tưởng giữa Resonator và người dân thường tại Hoàng Long, PA đã phát triển quy mô khá lớn ở đây và đảm nhận nhiều trách nhiệm hơn. Gia nhập PA là điều đáng tự hào tại Hoàng Long.",
lang_influence.db,Influence,Id,4,Content,general,translated,,PASS,10,,,,,Huanglong Branch,Chi Nhánh Huanglong,
lang_influence.db,Influence,Id,5,Content,general,translated,,PASS,10,,,,,Squeak Express,Tàu Squeak Tốc Hành,
lang_influence.db,Influence,Id,6,Content,general,translated,,PASS,10,,,,,"A transportation company with their business all over the world. They would commit to the most dangerous transportation task and were trusted by many forces. With the belief ""Peace brings fortune"", They always avoid any force situation.","Một công ty vận tải hoạt động trên toàn thế giới. Họ sẵn sàng đảm nhận những nhiệm vụ vận chuyển nguy hiểm nhất và được nhiều thế lực tin tưởng. Với niềm tin ""Hòa bình mang lại thịnh vượng"", họ luôn tránh mọi tình huống xung đột.",
lang_influence.db,Influence,Id,7,Content,general,translated,,PASS,10,,,,,Huanglong Branch,Chi Nhánh Huanglong,
lang_influence.db,Influence,Id,8,Content,general,translated,,PASS,10,,,,,The Sea Drake.,Rồng Biển.,
lang_influence.db,Influence,Id,9,Content,general,translated,,PASS,10,,,,,"They gather in the Serpent Repair Shop, and is a group of invention lovers from different places of Huanglong. They call themselves the Sea Drakes. While they're all trying to get investment, things always go south for them.","Họ tụ tập tại Xưởng Sửa Chữa Rắn, là một nhóm những người đam mê phát minh đến từ nhiều nơi ở Huanglong. Họ tự gọi mình là Hải Xà. Dù ai cũng cố gắng kêu gọi đầu tư, nhưng mọi chuyện luôn đổ bể.",
lang_influence.db,Influence,Id,10,Content,general,translated,,PASS,10,,,,,The Piggy.,Chú Lợn Con,
lang_influence.db,Influence,Id,11,Content,general,translated,,PASS,10,,,,,"Exile is a name for all the individuals and organizations who was tossed out of the city and committed crime and scavenge for a living. They follow no jurisdiction. The most powerful individuals of each camp will have the right to give orders. In Huanglong, they gather in Wasted Metropolis. They're divided into 2 different group cause of their believes. One of the gang seems to be quite welcoming when it comes to outsiders.","""Kẻ Lưu Đày"" là danh xưng dành cho tất cả cá nhân và tổ chức bị trục xuất khỏi thành phố, phạm tội và kiếm sống bằng nghề nhặt rác. Chúng không chịu sự quản thúc của bất kỳ pháp luật nào. Những cá nhân mạnh nhất trong mỗi băng nhóm sẽ có quyền ra lệnh. Tại Huanglong, chúng tụ tập ở Wasted Metropolis. Chúng chia thành 2 phe phái khác nhau do bất đồng về niềm tin. Một trong những băng đảng này có vẻ khá thân thiện với người ngoài.",
lang_influence.db,Influence,Id,12,Content,general,translated,,REVIEW,6,same_as_source,,,,Fractsidus,Fractsidus,
lang_influence.db,Influence,Id,13,Content,general,translated,,PASS,10,,,,,A secret association wandered around the world. Their members crave for only power and evolutions and all preserve weird looks. More info of them await for revealing.,"Một hội kín lang thang khắp thế giới. Các thành viên của họ chỉ khao khát quyền lực và sự tiến hóa, và đều mang ngoại hình kỳ lạ. Nhiều thông tin về họ vẫn đang chờ được tiết lộ.",
