en_source,vn_translate,loi_du_doan
"Binomial name ""Hoolock vexo"", a Mutant Organism the genus Hoolock. Hooscamps, though physically incomparable to the more adult Hoochiefs, but the intellectual development has been no different, the Hoochiefs tends to teach Hooscamps to hunt and ambush passers-by in the Dim Forest.","Tên khoa học ""Hoolock vexo"", một Mutant Organism thuộc chi Hoolock. Hooscamps, mặc dù về thể chất không thể so sánh với Hoochiefs trưởng thành hơn, nhưng sự phát triển trí tuệ không hề khác biệt, Hoochiefs thường dạy Hooscamps săn mồi và phục kích người đi đường trong Dim Forest.",C?n ti?ng Anh nghi v?n: Dim; Forest; Hoochiefs; Hoolock; Hooscamps; Mutant; Organism; vexo | S? t?/c?m nghi v?n: 11 | T? l? nghi v?n: 0.733 | M?c ??: 37.33
"A member of the Midnight Rangers.

The Midnight Rangers consist of three divisions: Outriders (reconnaissance), Vanguard (offensive operations), and Rearguard (defensive operations), all under the command of General Jiyan.","Thành viên của Midnight Rangers.

Midnight Rangers bao gồm ba bộ phận: Outriders (trinh sát), Vanguard (tác chiến tấn công) và Rearguard (tác chiến phòng thủ), tất cả đều dưới sự chỉ huy của Đại tướng Jiyan.",C?n ti?ng Anh nghi v?n: Jiyan; Midnight; Outriders; Rangers; Rearguard; Vanguard | S? t?/c?m nghi v?n: 8 | T? l? nghi v?n: 0.667 | M?c ??: 28.67
"A member of the Midnight Rangers.

The Midnight Rangers consist of three divisions: Outriders (reconnaissance), Vanguard (offensive operations), and Rearguard (defensive operations), all under the command of General Jiyan.","Thành viên của Midnight Rangers.

Midnight Rangers bao gồm ba bộ phận: Outriders (trinh sát), Vanguard (tác chiến tấn công) và Rearguard (tác chiến phòng thủ), tất cả đều dưới sự chỉ huy của Đại tướng Jiyan.",C?n ti?ng Anh nghi v?n: Jiyan; Midnight; Outriders; Rangers; Rearguard; Vanguard | S? t?/c?m nghi v?n: 8 | T? l? nghi v?n: 0.667 | M?c ??: 28.67
"A higher-dimensional being originated from Aleph-1, which shaped its body with Exoswarm devoured by the Void Storm and forged its spine with the Exostrider's remnants. To the inhabitants of Lahai-Roi, Voidworm and Void Storm are equally terrifying. Both are unpredictable natural disasters that devour everything in their paths.","Một sinh vật đến từ chiều không gian cao hơn, bắt nguồn từ Aleph-1, đã định hình cơ thể mình từ Exoswarm bị Void Storm nuốt chửng và rèn cột sống từ tàn tích của Exostrider. Đối với cư dân Lahai-Roi, Voidworm và Void Storm đều đáng sợ như nhau. Cả hai đều là những thảm họa tự nhiên khó lường, nuốt chửng mọi thứ trên đường đi.",C?n ti?ng Anh nghi v?n: Aleph; Exoswarm; Lahai; Storm; Void; Voidworm | S? t?/c?m nghi v?n: 8 | T? l? nghi v?n: 0.533 | M?c ??: 27.33
"Binomial name ""Agaricus mimetikos"", a Mutant Organism the genus Agaricus. In its immatured stage, the Roseshroom does not yet possess the ability to absorb nutrients from Tacetites, thus needing to gather nutrients from nearby matured Roseshrooms in order to survive.","Tên khoa học ""Agaricus mimetikos"", một Mutant Organism thuộc chi Agaricus. Ở giai đoạn chưa trưởng thành, Roseshroom chưa có khả năng hấp thụ chất dinh dưỡng từ Tacetites, do đó cần thu thập chất dinh dưỡng từ những Roseshroom trưởng thành gần đó để sinh tồn.",C?n ti?ng Anh nghi v?n: Agaricus; mimetikos; Mutant; Organism; Roseshroom; Tacetites | S? t?/c?m nghi v?n: 8 | T? l? nghi v?n: 0.5 | M?c ??: 27.0
"Trinomial name ""Chrysocyon brachyurus terreo"", a Mutant Organism the subspecies Chrysocyon brachyurus.","Tên khoa học ba phần ""Chrysocyon brachyurus terreo"", một Mutant Organism thuộc phân loài Chrysocyon brachyurus.",C?n ti?ng Anh nghi v?n: brachyurus; Chrysocyon; Mutant; Organism; terreo | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.778 | M?c ??: 26.78
"An avian Tacet Discord prowling the Penitent's End. In darkness, its form blends into shadow, leaving only its mask flickering like ignis fatuus.","Một Discord hình chim săn mồi tại Penitent's End. Trong bóng tối, hình dạng của nó hòa vào bóng đêm, chỉ còn chiếc mặt nạ lấp lánh như ignis fatuus.",C?n ti?ng Anh nghi v?n: Discord; End; fatuus; ignis; Penitent's | S? t?/c?m nghi v?n: 5 | T? l? nghi v?n: 0.714 | M?c ??: 25.14
"Terrestrial Mutant Organism, mostly found in the Gorges of Spirit. Some sightings have also been reported in places such as the Whining Aix's Mire, and the danger is not high.","Sinh vật đột biến trên cạn, chủ yếu được tìm thấy ở Gorges of Spirit. Một số trường hợp cũng được báo cáo tại những nơi như Whining Aix's Mire, và mức độ nguy hiểm không cao.",C?n ti?ng Anh nghi v?n: Aix's; Gorges; Mire; of; Spirit; Whining | S? t?/c?m nghi v?n: 6 | T? l? nghi v?n: 0.667 | M?c ??: 24.67
"The Roya who were cast out of their tribe for selling Exostrider cell remnants. They, however, view themselves as unfettered by the old ways. To mock tradition, they wear masks made from Exoswarm heads and use the Shepherd's Staff as a weapon, and thus become a force of unrestrained chaos in Lahai-Roi.","Những Roya bị bộ tộc trục xuất vì bán xác tế bào Exostrider. Tuy nhiên, họ tự coi mình không bị ràng buộc bởi những lề thói cũ. Để chế giễu truyền thống, họ đeo mặt nạ làm từ đầu Exoswarm và sử dụng Shepherd's Staff làm vũ khí, từ đó trở thành thế lực hỗn loạn không kiểm soát tại Lahai-Roi.",C?n ti?ng Anh nghi v?n: Exostrider; Exoswarm; Lahai; Roya; Shepherd's; Staff | S? t?/c?m nghi v?n: 6 | T? l? nghi v?n: 0.667 | M?c ??: 24.67
"Binomial name ""Resinacrustidum lapis"", part of the Resinacrustidum species. This Tacet Discord is often found active, along with Vanguard Junrocks, relatively low danger level.","Tên khoa học ""Resinacrustidum lapis"", thuộc loài Resinacrustidum. Discord này thường hoạt động cùng với Vanguard Junrocks, mức độ nguy hiểm tương đối thấp.",C?n ti?ng Anh nghi v?n: Discord; Junrocks; lapis; Resinacrustidum; Vanguard | S? t?/c?m nghi v?n: 6 | T? l? nghi v?n: 0.75 | M?c ??: 24.5
