database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_explore_progress.db,ExploreProgress,Id,3,Content,general,translated,,PASS,10,,,,,Audio Casket,Rương Âm Thanh,
lang_explore_progress.db,ExploreProgress,Id,6,Content,general,translated,,PASS,10,,,,,Audio Casket,Rương Âm Thanh,
lang_explore_progress.db,ExploreProgress,Id,9,Content,general,translated,,PASS,10,,,,,Audio Casket,Rương Âm Thanh,
lang_explore_progress.db,ExploreProgress,Id,12,Content,general,translated,,PASS,10,,,,,Audio Casket,Rương Âm Thanh,
lang_explore_progress.db,ExploreProgress,Id,15,Content,general,translated,,PASS,10,,,,,Audio Casket,Rương Âm Thanh,
lang_explore_progress.db,ExploreProgress,Id,18,Content,general,translated,,PASS,10,,,,,Audio Casket,Rương Âm Thanh,
lang_explore_progress.db,ExploreProgress,Id,21,Content,general,translated,,PASS,10,,,,,Audio Casket,Rương Âm Thanh,
lang_explore_progress.db,ExploreProgress,Id,24,Content,general,translated,,PASS,10,,,,,Audio Casket,Rương Âm Thanh,
lang_explore_progress.db,ExploreProgress,Id,27,Content,general,translated,,PASS,10,,,,,Audio Casket,Rương Âm Thanh,
lang_explore_progress.db,ExploreProgress,Id,30,Content,general,translated,,PASS,10,,,,,Audio Casket,Rương Âm Thanh,
lang_explore_progress.db,ExploreProgress,Id,33,Content,general,translated,,PASS,10,,,,,Audio Casket,Rương Âm Thanh,
lang_explore_progress.db,ExploreProgress,Id,36,Content,general,translated,,PASS,10,,,,,Audio Casket,Rương Âm Thanh,
