database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_element_info.db,ElementInfo,Id,1,Content,general,translated,,PASS,10,,,,,Ability to cool down and freeze.,Ability to cool down and freeze.,
lang_element_info.db,ElementInfo,Id,2,Content,general,translated,,PASS,10,,,,,Frozen,Frozen,
lang_element_info.db,ElementInfo,Id,3,Content,general,translated,,PASS,10,,,,,Ability to apply heat and ignite.,Ability to apply heat and ignite.,
lang_element_info.db,ElementInfo,Id,4,Content,general,translated,,PASS,10,,,,,Smelt,Smelt,
lang_element_info.db,ElementInfo,Id,5,Content,general,translated,,PASS,10,,,,,Ability to displace charges.,Ability to displace charges.,
lang_element_info.db,ElementInfo,Id,6,Content,general,translated,,PASS,10,,,,,Conduction,Conduction,
lang_element_info.db,ElementInfo,Id,7,Content,general,translated,,PASS,10,,,,,Ability to manipulate airflow,Ability to manipulate airflow,
lang_element_info.db,ElementInfo,Id,8,Content,general,translated,,PASS,10,,,,,Aerodynamic,Aerodynamic,
lang_element_info.db,ElementInfo,Id,9,Content,general,translated,,PASS,10,,,,,Ability to bind photons,Ability to bind photons,
lang_element_info.db,ElementInfo,Id,10,Content,general,translated,,PASS,10,,,,,Diffusion,Diffusion,
lang_element_info.db,ElementInfo,Id,11,Content,general,translated,,PASS,10,,,,,Ability to annihilate matter,Ability to annihilate matter,
lang_element_info.db,ElementInfo,Id,12,Content,general,translated,,PASS,10,,,,,Dissociation,Dissociation,
lang_element_info.db,ElementInfo,Id,13,Content,general,translated,,PASS,10,,,,,test/No description needed,test/No description needed,
lang_element_info.db,ElementInfo,Id,14,Content,general,translated,,PASS,10,,,,,Physical,Physical,
lang_element_info.db,ElementalReaction,Id,1,Content,general,translated,,PASS,10,,,,,Dissociation polymerization,Dissociation polymerization,
lang_element_info.db,ElementalReaction,Id,2,Content,general,translated,,PASS,10,,,,,Dissociation damage done by the whole team increase for 12 seconds. The character that triggers the effect gains resonance energy.,Dissociation damage done by the whole team increase for 12 seconds. The character that triggers the effect gains resonance energy.,
lang_element_info.db,ElementalReaction,Id,3,Content,general,translated,,PASS,10,,,,,Phase 2 Concerto,Phase 2 Concerto,
lang_element_info.db,ElementalReaction,Id,4,Content,general,translated,,PASS,10,,,,,"Upon dealing Diffusion and Dissociation DMG, reduces the target's Diffusion RES. by <color=#1398ef>30%</color> for <color=#1398ef>10s</color>","Upon dealing Diffusion and Dissociation DMG, reduces the target's Diffusion RES. by <color=#1398ef>30%</color> for <color=#1398ef>10s</color>",
lang_element_info.db,ElementalReaction,Id,5,Content,general,translated,,PASS,10,,,,,Vaporize Concerto,Vaporize Concerto,
lang_element_info.db,ElementalReaction,Id,6,Content,general,translated,,PASS,10,,,,,"Upon dealing Aerodynamic and Dissociation DMG, reduces the target's Aerodynamic RES. by <color=#1398ef>30%</color> for <color=#1398ef>10s</color>","Upon dealing Aerodynamic and Dissociation DMG, reduces the target's Aerodynamic RES. by <color=#1398ef>30%</color> for <color=#1398ef>10s</color>",
lang_element_info.db,ElementalReaction,Id,7,Content,general,translated,,PASS,10,,,,,Electrolysis Concerto,Electrolysis Concerto,
lang_element_info.db,ElementalReaction,Id,8,Content,general,translated,,PASS,10,,,,,"Upon dealing Conduction and Dissociation DMG, reduces the target's Conduction RES. by <color=#1398ef>30%</color> for <color=#1398ef>10s</color>","Upon dealing Conduction and Dissociation DMG, reduces the target's Conduction RES. by <color=#1398ef>30%</color> for <color=#1398ef>10s</color>",
lang_element_info.db,ElementalReaction,Id,9,Content,general,translated,,REVIEW,6,same_as_source,,,,Pyrolysis Concerto,Pyrolysis Concerto,
