database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_mapping.db,Mapping,Id,1,Content,general,translated,,PASS,10,,,,,Frozen,Đóng Băng,
lang_mapping.db,Mapping,Id,2,Content,general,translated,,PASS,10,,,,,Smelt,Cá Trích,
lang_mapping.db,Mapping,Id,3,Content,general,translated,,PASS,10,,,,,Conduction,Dẫn truyền,
lang_mapping.db,Mapping,Id,4,Content,general,translated,,PASS,10,,,,,Aerodynamic,Khí Động Học,
lang_mapping.db,Mapping,Id,5,Content,general,translated,,PASS,10,,,,,Diffusion,Khuếch Tán,
lang_mapping.db,Mapping,Id,6,Content,general,translated,,PASS,10,,,,,Dissociation,Phân Ly,
lang_mapping.db,Mapping,Id,10,Content,general,translated,,PASS,10,,,,,Broadblade,Đại kiếm,
lang_mapping.db,Mapping,Id,11,Content,general,translated,,PASS,10,,,,,Rapier,Kiếm Đơn,
lang_mapping.db,Mapping,Id,12,Content,general,translated,,PASS,10,,,,,Pistol,Súng Ngắn,
lang_mapping.db,Mapping,Id,13,Content,general,translated,,PASS,10,,,,,Gauntlet,Găng Tay,
lang_mapping.db,Mapping,Id,14,Content,general,translated,,PASS,10,,,,,Demodulator,Pháp khí,
