domain,records,severity_ge_100_records,file
name_title,41485,6,mistral_translate_work/reports/mixed_language_record_audit/by_domain/name_title.csv
story_dialogue,31342,1,mistral_translate_work/reports/mixed_language_record_audit/by_domain/story_dialogue.csv
skill_description,11411,329,mistral_translate_work/reports/mixed_language_record_audit/by_domain/skill_description.csv
quest,7769,0,mistral_translate_work/reports/mixed_language_record_audit/by_domain/quest.csv
ui,6329,0,mistral_translate_work/reports/mixed_language_record_audit/by_domain/ui.csv
lore,5899,18,mistral_translate_work/reports/mixed_language_record_audit/by_domain/lore.csv
item,763,0,mistral_translate_work/reports/mixed_language_record_audit/by_domain/item.csv
phantom_skill,700,0,mistral_translate_work/reports/mixed_language_record_audit/by_domain/phantom_skill.csv
rc_description,291,17,mistral_translate_work/reports/mixed_language_record_audit/by_domain/rc_description.csv
monster_description,290,0,mistral_translate_work/reports/mixed_language_record_audit/by_domain/monster_description.csv
system_text,171,0,mistral_translate_work/reports/mixed_language_record_audit/by_domain/system_text.csv
weapon,40,0,mistral_translate_work/reports/mixed_language_record_audit/by_domain/weapon.csv
echo_set,35,0,mistral_translate_work/reports/mixed_language_record_audit/by_domain/echo_set.csv
