en_source,vn_translate,loi_du_doan
"Resonator <color=#b72924ff>max HP is reduced to 10%</color>. While Symphony Rank is at or above <color=#5cc96aff>S</color>, Resonator <color=#5cc96aff>HP will not drop below 1%</color>.","<color=#b72924ff>max HP is reduced to 10%</color>. Khi Cấp Giao Hưởng đạt từ <color=#5cc96aff>S</color> trở lên, <color=#5cc96aff>HP will not drop below 1%</color>.",C?n ti?ng Anh nghi v?n: below; drop; is; max; not; reduced; S; to; will | S? t?/c?m nghi v?n: 9 | T? l? nghi v?n: 0.692 | M?c ??: 48.92
"Evaluation Basis: [Resonance Assessment 2190-G]

Resonator Baizhi experienced her Awakening four years ago, after being exposed to a strong <te href=850076>Remnant Energy</te> source one year prior. This exposure caused the activation of the corresponding Remnant frequencies within her. According to Baizhi's recounts, she experienced a strong urge to revive a teammate during her Awakening. As a result, the aforementioned frequencies manifested as a Remnant Creature that now serves as her companion.

Resonator Baizhi's <te href=850072>Tacet Mark</te> is located on the anterior side of her right thigh. No significant physical alterations after Awakening have been observed. 

However, when exerting her Forte, the Tacet Mark emits a faint white glow with the advent of the above Remnant Creature. The creature is translucent white in color and resembles the petals of Epiphyllum. It is unable to vocalize in human language, but can communicate with Baizhi through telepathy.

Resonator Baizhi cannot directly utilize her Forte, but she can leverage the extremely low temperature and her Remnant Creature's healing abilities to treat injuries in her vicinity.

Resonator Baizhi's Resonance Spectrum Pattern does not resemble any known frequencies. However, it shows a certain level of similarity with the fluctuations of Remnant Energy, and it possesses a strong Syntony Response with ""<te href=850140>You'tan</te>,"" her Remnant Creature. Despite these connections, the cause of Baizhi's Awakening remains unclear without adequate theoretical evidence.

Analysis of test samples has revealed a non-convergent <te href=850067>Rabelle's Curve</te> with a gradual increase followed by a steep rise in its middle section. Resonator Baizhi is thus classified as a <te href=850069>Mutant Resonator</te> with a Dormant Period.","Tiêu chí đánh giá: [Đánh Giá Resonance 2190-G]

Resonator Baizhi trải qua Sự Thức Tỉnh cách đây bốn năm, sau khi tiếp xúc với nguồn <te href=850076>Remnant Energy</te> mạnh một năm trước đó. Sự tiếp xúc này đã kích hoạt các tần số Tàn Dư tương ứng bên trong cô. Theo lời kể của Baizhi, trong quá trình Thức Tỉnh, cô cảm thấy một xung động mãnh liệt muốn hồi sinh đồng đội. Kết quả là, các tần số trên đã hiện thân thành một Sinh Vật Tàn Dư, giờ đây trở thành người bạn đồng hành của cô.

<te href=850072>Tacet Mark</te> của Resonator Baizhi nằm ở mặt trước đùi phải. Không có thay đổi vật lý đáng kể nào sau Thức Tỉnh được ghi nhận.

Tuy nhiên, khi sử dụng Forte, Tacet Mark phát ra ánh sáng trắng mờ nhạt cùng với sự xuất hiện của Sinh Vật Tàn Dư trên. Sinh vật này có màu trắng trong suốt, hình dáng giống cánh hoa Epiphyllum. Nó không thể phát ra tiếng người, nhưng có thể giao tiếp với Baizhi bằng thần giao cách cảm.

Resonator Baizhi không thể trực tiếp sử dụng Forte của mình, nhưng cô có thể tận dụng nhiệt độ cực thấp và khả năng chữa lành của Sinh Vật Tàn Dư để điều trị vết thương trong phạm vi gần.

Mô hình Phổ Resonance của Baizhi không giống bất kỳ tần số nào đã biết. Tuy nhiên, nó cho thấy mức độ tương đồng nhất định với sự dao động của Năng Lượng Tàn Dư, và có Phản Ứng Đồng Điệu mạnh với ""<te href=850140>You'tan</te>"", Sinh Vật Tàn Dư của cô. Dù có những mối liên hệ này, nguyên nhân Thức Tỉnh của Baizhi vẫn chưa rõ ràng do thiếu bằng chứng lý thuyết đầy đủ.

Phân tích mẫu thử cho thấy <te href=850067>Rabelle's Curve</te> không hội tụ, với sự tăng dần rồi đột ngột tăng mạnh ở đoạn giữa. Do đó, Resonator Baizhi được phân loại là <te href=850069>Mutant Resonator</te> với Giai Đoạn Tiềm Tàng.",C?n ti?ng Anh nghi v?n: Baizhi; Curve; Energy; Epiphyllum; Mark; Mutant; Rabelle's; Remnant; You'tan | S? t?/c?m nghi v?n: 17 | T? l? nghi v?n: 0.283 | M?c ??: 48.83
"This enemy has a <color=HighlightB>higher RES</color> to <color=Ice>Glacio DMG</color>.
While in combat, Glommoth gains Frost Armor, which increases its All-Attribute RES.
The Frost Armor is removed when the Fusion Burst on it reaches 3 stacks.

Weakness: Breaking Glommoth's left tusk causes it to lose part of its skill set.

Among the Exoswarm, none stand taller nor command greater reverence than these towering figures. Shaped in the likeness of the long-extinct mammoth, they are seen as reliable guides in leading their kin back to the Exostrider.
Glommoth, the male, advances with ferocity, often carving paths through frozen earth with its long, jagged tusks.
While Glommotha, the female, moves with care, guiding and healing the Exoswarm with its trunk as they return along the paths to the Exostrider.","Kẻ địch này có <color=HighlightB>higher RES</color> <color=Ice>Glacio DMG</color> cao hơn.
Trong chiến đấu, Glommoth sẽ nhận được Frost Armor, làm tăng Kháng toàn thuộc tính.
Frost Armor sẽ bị loại bỏ khi Fusion Burst trên nó đạt 3 tầng.

Điểm yếu: Phá vỡ ngà trái của Glommoth sẽ khiến nó mất một phần bộ kỹ năng.

Trong số Exoswarm, không có kẻ nào cao lớn hơn hay nhận được sự tôn kính hơn những sinh vật khổng lồ này. Được tạo hình theo hình dáng loài voi ma mút đã tuyệt chủng từ lâu, chúng được coi là những người dẫn đường đáng tin cậy, dẫn dắt đồng loại trở về Exostrider.
Glommoth, con đực, tiến lên với sự hung dữ, thường xuyên cày xới mặt đất băng giá bằng đôi ngà dài và sắc nhọn.
Trong khi Glommotha, con cái, di chuyển cẩn trọng hơn, dẫn dắt và chữa lành cho Exoswarm bằng chiếc vòi của mình khi chúng quay về con đường dẫn tới Exostrider.",C?n ti?ng Anh nghi v?n: Armor; Burst; Exostrider; Exoswarm; Frost; Glommoth; Glommotha; higher; RES | S? t?/c?m nghi v?n: 15 | T? l? nghi v?n: 0.375 | M?c ??: 48.75
"Increases ATK by {0}. Every time Basic Attack or Intro Skill is cast, Heavy Attack DMG Bonus increases by {1} for {2}s.","Tăng Attack thêm {0}. Mỗi lần sử dụng Basic Attack hoặc Intro Skill, Sát Thương Heavy Attack sẽ tăng thêm {1} trong {2} giây.",C?n ti?ng Anh nghi v?n: Attack; Basic; Heavy; Intro; Skill | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.875 | M?c ??: 48.75
"{Cus:Ipt,Touch=Tap PC=Press Gamepad=Press} Normal Attack consecutively to cast <color=Highlight>Basic Attack</color>, <color=Highlight>Rending Lunge</color>, <color=Highlight>Death Snip</color>, and <color=Highlight>Thread Withdrawn</color> in sequence, dealing <color=Dark>Havoc DMG</color>.","Nhấn {Cus:Ipt,Touch=Ấn PC=press Gamepad=press} Normal Attack liên tiếp để thực hiện <color=Highlight>Basic Attack</color>, <color=Highlight>Rending Lunge</color>, <color=Highlight>Death Snip</color> và <color=Highlight>Thread Withdrawn</color> theo thứ tự, gây <color=Dark>Havoc DMG</color>.",C?n ti?ng Anh nghi v?n: Attack; Basic; Death; Lunge; Normal; Rending; Snip; Thread; Withdrawn | S? t?/c?m nghi v?n: 10 | T? l? nghi v?n: 0.769 | M?c ??: 48.69
"This enemy has a <color=HighlightB>higher RES</color> to <color=Dark>Havoc DMG</color>.

When Sabercat Prowler is in a state of Invisibility, its all All-Attribute RES is increased by 30%.

Hitting Sabercat Prowler with Tune Break forces it out of Invisibility.

When Sabercat Prowler is under Tune Rupture - Shifting and hit by Tune Break, it takes additional DMG equal to 25% of its Max HP, triggered only once.

A machine capable of camouflage, its parts are badly corrupted by Voidmatter, causing severe degradation to its vision and hearing. Yet this also heightens its other sensory perceptions. It tracks enemy movements by using the detector on its tail to sense changes in frequency.","Kẻ địch này có <color=HighlightB>higher RES</color> với <color=Dark>Havoc DMG</color>.

Khi Sabercat Prowler ở trạng thái Tàng Hình, toàn bộ Kháng Thuộc Tính của nó tăng thêm 30%.

Tấn công bằng Tune Break sẽ buộc nó phải rời khỏi trạng thái Tàng Hình.

Khi Sabercat Prowler chịu hiệu ứng Tune Rupture - Shifting và bị tấn công bằng Tune Break, nó sẽ nhận thêm sát thương bằng 25% HP tối đa, chỉ kích hoạt một lần.

Một cỗ máy có khả năng ngụy trang, nhưng các bộ phận đã bị Voidmatter ăn mòn nặng, khiến thị giác và thính giác bị suy giảm nghiêm trọng. Tuy nhiên, điều này lại làm tăng cường các giác quan khác. Nó theo dõi chuyển động của kẻ địch bằng cách sử dụng cảm biến trên đuôi để phát hiện sự thay đổi tần số.",C?n ti?ng Anh nghi v?n: Break; higher; Prowler; RES; Rupture; Sabercat; Shifting; Tune; Voidmatter | S? t?/c?m nghi v?n: 14 | T? l? nghi v?n: 0.56 | M?c ??: 48.6
The mud <color=#ffd12f>blocks the mechanisms and grants the enemies special Mud Shields</color>. The Water Vortex released by an Ultrasonic Pulse Chip and the Swamp Vortex can remove the mud and the shield it grants.,Mud <color=#ffd12f>blocks the mechanisms and grants the enemies special Mud Shields</color>. Xoáy Nước từ Ultrasonic Pulse Chip và Xoáy Đầm Lầy có thể cuốn trôi bùn và phá bỏ khiên.,C?n ti?ng Anh nghi v?n: and; blocks; Chip; enemies; grants; mechanisms; Mud; Pulse; Shields; special; Ultrasonic | S? t?/c?m nghi v?n: 12 | T? l? nghi v?n: 0.857 | M?c ??: 48.57
"Summon a Tambourinist that generates music notes for {0}s. Each note collected by a party member <color=#ffd12f>increases ATK by {1}</color>, recovers {2} HP, boosts Movement Speed by {3}, and rescovers {4} STA for them. It also increases their Basic Attack and Heavy Attack DMG to Immobilized targets by {5}. The effect lasts for {6}s. Throughout the battle, all Resonators' ATK is increased by {7} for each music note collected. Cooldown: {8}s.","Summon Nhạc Công Trống trong {0} giây, tạo ra các nốt nhạc. Mỗi nốt nhạc đồng đội nhặt được sẽ <color=#ffd12f>increases ATK by {1}</color>, hồi {2} HP, tăng Movement Speed {3} và hồi {4} Thể Lực. Ngoài ra, tăng Sát Thương Basic Attack và Heavy Attack lên mục tiêu Bất Động thêm {5}. Hiệu ứng kéo dài {6} giây. Trong suốt trận đấu, Attack của tất cả Resonators sẽ tăng {7} cho mỗi nốt nhạc đã nhặt.
Hồi chiêu: {8} giây.",C?n ti?ng Anh nghi v?n: Attack; Basic; by; Heavy; increases; Movement; Speed; Summon | S? t?/c?m nghi v?n: 10 | T? l? nghi v?n: 0.556 | M?c ??: 48.56
"When Zani is in the team and a nearby Resonator inflicts <color=Highlight>Spectro Frazzle</color> upon a target, immediately consume all Spectro Frazzle stacks and trigger the corresponding DMG, then convert Spectro Frazzle into equal stacks of Heliacal Ember. Every time the conversion happens, Zani obtains Blaze based on the stacks of Heliacal Ember inflicted. Heliacal Ember is capped at 60 stacks, with each stack lasting for 6s. Heliacal Ember stacks are counted toward the Spectro Frazzle stacks for the Eternal Radiance Sonata Effect.","Khi Zani có mặt trong đội và một Resonator gần đó gây <color=Highlight>Spectro Frazzle</color> lên mục tiêu, ngay lập tức tiêu thụ toàn bộ tầng Spectro Frazzle, kích hoạt sát thương tương ứng, rồi chuyển đổi thành số tầng Heliacal Ember tương đương. Mỗi lần chuyển đổi, Zani nhận được Blaze dựa trên số tầng Heliacal Ember đã gây ra. Heliacal Ember tối đa 60 tầng, mỗi tầng kéo dài 6 giây. Số tầng Heliacal Ember được tính vào tầng Spectro Frazzle cho hiệu ứng Sonata *Eternal Radiance*.",C?n ti?ng Anh nghi v?n: Blaze; Ember; Eternal; Frazzle; Heliacal; Radiance; Sonata; Zani | S? t?/c?m nghi v?n: 17 | T? l? nghi v?n: 0.654 | M?c ??: 48.54
"<color=#c49e55>[Resonance Liberation]</color> Glacier generated by Resonance Liberation: Glacial Gaze will detonate directly and enhance the next 3 Basic Attacks, generating an additional Subzero Prism. This increases Crit. DMG by {0} for {1}s, stacking up to {2} times.
Basic Attack 4 can detonate Ice Thorns, Ice Prisms, and Glaciers within the attack range once.","<color=#c49e55>[Resonance Liberation]</color> Băng hà tạo ra từ Resonance Liberation: Ánh Mắt Băng Giá sẽ kích nổ trực tiếp và tăng cường 3 đòn Basic Attack tiếp theo, tạo thêm một Ice Prism Giá. Điều này làm tăng Crit. DMG thêm {0} trong {1} giây, có thể chồng chất lên đến {2} lần.
Basic Attack 4 có thể kích nổ Ice Thorn, Ice Prism và Glacier trong phạm vi tấn công một lần.",C?n ti?ng Anh nghi v?n: Attack; Basic; Glacier; Ice; Liberation; Prism | S? t?/c?m nghi v?n: 11 | T? l? nghi v?n: 0.55 | M?c ??: 48.5
