phrase,count,sample_file,sample_key,sample_translation,sample_source
ta,23772,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,232,"Vũ khí đặc biệt được chế tạo cho Midnight Rangers để tưởng nhớ sự cống hiến của họ. Một bài thơ ca ngợi họ: ""Nếu thân ta được thắp sáng, ngọn lửa sẽ thiêu rụi cái ác.""","A weapon specially made for the Midnight Rangers, to commemorate their dedication. A poem appreciates them: ""should my body be lit, the flame will burn evil."""
trong,16927,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,8,"Tăng ATK {2}%. Mỗi khi gây DMG lên mục tiêu, cộng dồn 1 tầng trong 5 giây, tối đa 10 tầng. Chỉ cộng dồn 1 tầng mỗi 0.4 giây. Mỗi tầng tăng ATK {0}%. Khi đạt 10 tầng, ATK được tăng thêm {1}%.","Increases ATK by {2}%. Each time you deal damage to a target, a stack is accumulated for 5 seconds, 10 stacks max.. Only 1 stack every 0.4 seconds. Each stack increases ATK by {0}%. When there are 10 stacks, ATK is increased by an additional {1}%."
cho,11205,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,88,"Với âm giai giảm, hãy trang bị vũ khí này để tìm ra chiến thuật với tầm nhìn sâu sắc. Cao độ sẽ được điều chỉnh cho bản concerto.","With descending scale, equip this to find a tactic with insightful vision. Pitch will be shifted for the concerto."
ra,10823,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,28,"Sản phẩm của công nghệ, được tạo ra để bảo vệ lý tưởng. Với hỏa lực mạnh và tầm bắn xa, nó tiết lộ và bảo vệ chân lý mà nó tin tưởng.","A creation of technology, made for the defense of idea. With strong firepower and range, it reveals and defends the truth that it believes."
khi,9382,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,8,"Tăng ATK {2}%. Mỗi khi gây DMG lên mục tiêu, cộng dồn 1 tầng trong 5 giây, tối đa 10 tầng. Chỉ cộng dồn 1 tầng mỗi 0.4 giây. Mỗi tầng tăng ATK {0}%. Khi đạt 10 tầng, ATK được tăng thêm {1}%.","Increases ATK by {2}%. Each time you deal damage to a target, a stack is accumulated for 5 seconds, 10 stacks max.. Only 1 stack every 0.4 seconds. Each stack increases ATK by {0}%. When there are 10 stacks, ATK is increased by an additional {1}%."
sao,6740,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,220,"Vũ khí đặc biệt được chế tạo cho Midnight Rangers để tưởng nhớ sự sẵn sàng thường trực của họ. Một bài thơ ca ngợi họ: ""Thu tàn trong đêm vô tận, ánh sao sẵn sàng đứng canh.""","A weapon specially made for the Midnight Rangers to commemorate their constant preparedness. A poem appreciates them: ""autumn dims in endless nights, starry spots stand ready."""
theo,5222,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,16,Khẩu súng được chế tạo đặc biệt để trừng phạt tội ác. Những người sử dụng nó trong lịch sử đều vô cùng trung thành với công lý. Có lẽ... vũ khí tự chọn chủ nhân theo cách của riêng chúng.,"A gun specially made for crime sanction. Its historic users are all extraordinarily faithful to justice. Maybe... weapons pick their users, in their way."
con,5214,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,82,"Với âm giai giảm, hãy trang bị đôi găng tay này để gầm thét và cuồng nộ cùng âm thanh của những con sóng khổng lồ, tạo nên bản giao hưởng cao vút.","With a descending scale, equip this gauntlet to roar and rage with the sound of huge waves and forge high-pitched symphony."
qua,4578,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,6,"Lưỡi đao rộng chứa đựng ý chí tập thể. Bất cứ nơi nào nó đi qua, sức mạnh đoàn kết bất khả chiến bại đều được hiện thực hóa.","A broadblade that hosts the collective will. Wherever it passes, it manifests an unbreakable power of unity."
gian,4385,mistral_translate_work\split_by_prompt\json\ui\lang_generic_tips\lang_generic_tips__ui__part_0001.json,65,Hoàn thành nhiều lượt luyện bắn trong thời gian giới hạn.,Complete multiple shooting practice in limited time.
tin,3629,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,28,"Sản phẩm của công nghệ, được tạo ra để bảo vệ lý tưởng. Với hỏa lực mạnh và tầm bắn xa, nó tiết lộ và bảo vệ chân lý mà nó tin tưởng.","A creation of technology, made for the defense of idea. With strong firepower and range, it reveals and defends the truth that it believes."
bao,3569,mistral_translate_work\split_by_prompt\json\weapon\lang_weapon\lang_weapon__weapon__part_0001.json,64,"Với âm giai giảm, hãy trang bị lưỡi kiếm này để thống trị trận chiến bằng những âm thanh kỳ lạ. Màn trình diễn không bao giờ kết thúc.","With descending scale, equip this blade to dominate the battle with strange sounds. Curtain never falls."
tao,3503,mistral_translate_work\split_by_prompt\json\story_dialogue\lang_multi_text\lang_multi_text__story_dialogue__part_0005.json,SMC_Sign_2,"Ta luôn có thể bắt đầu lại mà. Iuno, lần này đừng quên tao nhé.","We can always start over. Iuno, don't forget me this time."
