en_source,vn_translate,loi_du_doan
You remember...? Did the Black Shores tell you this?,Cậu nhớ... à? Có phải Black Shores đã nói cho cậu biết không?,C?n ti?ng Anh nghi v?n: Black; Shores | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
That's why it returned to Upphaf Forest…,Chính vì thế mà nó mới quay về Upphaf Forest…,C?n ti?ng Anh nghi v?n: Forest; Upphaf | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"As a Shepherd, I have come to the frostlands countless times to guide Exoswarm back to the Exostrider.","Là một Người Chăn Cừu, ta đã đến vùng đất băng giá này vô số lần để dẫn dắt Exoswarm trở về với Exostrider.",C?n ti?ng Anh nghi v?n: Exostrider; Exoswarm | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Startorch Academy teaches people how Frostbiter populations were dwindling because of climate change.,Học viện Startorch từng dạy rằng số lượng Frostbiter đang giảm dần do biến đổi khí hậu.,C?n ti?ng Anh nghi v?n: Frostbiter; Startorch | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
This place looks exactly like the Soliseed Plains.,Nơi này trông y hệt Soliseed Plains.,C?n ti?ng Anh nghi v?n: Plains; Soliseed | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Never thought the Giant Soliskin would live somewhere this cold!,Chưa bao giờ nghĩ Giant Soliskin lại sống ở nơi lạnh lẽo thế này!,C?n ti?ng Anh nghi v?n: Giant; Soliskin | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Like trampolining on a Hearthbear and sliding up and down a Glommoth.,Như nhảy bungee trên lưng Hearthbear rồi trượt lên trượt xuống trên Glommoth vậy.,C?n ti?ng Anh nghi v?n: Glommoth; Hearthbear | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
(Aemeath can't fully control the Exostrider. She needs my help!),(Aemeath không thể điều khiển hoàn toàn Exostrider. Cô ấy cần sự giúp đỡ của ta!),C?n ti?ng Anh nghi v?n: Aemeath; Exostrider | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
(It's like Aemeath is doing everything she can to keep Sigillum away from me.),Có vẻ như Aemeath đang cố hết sức để giữ Sigillum tránh xa khỏi tôi.,C?n ti?ng Anh nghi v?n: Aemeath; Sigillum | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Is that the student rep from Rabelle College? That's one bold speech…,Đó có phải là đại diện học sinh của Rabelle College không? Bài phát biểu ấy thật táo bạo…,C?n ti?ng Anh nghi v?n: College; Rabelle | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
I hope it helps more people come to love Fleet Snowfluff—just like I did.,Hy vọng nó sẽ giúp nhiều người yêu mến Fleet Snowfluff như tớ đã từng.,C?n ti?ng Anh nghi v?n: Fleet; Snowfluff | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"""Not long ago."" You mean when the Reactor Drive fell?","""Không lâu trước đây thôi."" Ý cậu là khi Reactor Drive rơi xuống à?",C?n ti?ng Anh nghi v?n: Drive; Reactor | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Anyway! Back to business. The Reactor Core is tied to Sigillum—that's the mech that attacked you.,Thôi nào! Quay lại vấn đề chính. Lõi Phản Ứng Liên kết với Sigillum—cái mech đã tấn công cậu đấy.,C?n ti?ng Anh nghi v?n: mech; Sigillum | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Why is the Spacetrek Collective pushing this so hard?,Sao Spacetrek Collective lại thúc đẩy chuyện này dữ vậy?,C?n ti?ng Anh nghi v?n: Collective; Spacetrek | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
"You should know. You have a past in Lahai-Roi, and you have some kind of connection with the Exostrider.","Cậu nên biết đi. Cậu có quá khứ ở Lahai-Roi, và có mối liên hệ nào đó với Exostrider.",C?n ti?ng Anh nghi v?n: Exostrider; Lahai | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
The Court of Savantae conducts research here at <te href=750039>SkyArk</te> to seek answers to these questions.,Tòa án Savantae tiến hành nghiên cứu tại <te href=750039>SkyArk</te> này để tìm câu trả lời cho những câu hỏi đó.,C?n ti?ng Anh nghi v?n: Savantae; SkyArk | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
Aemeath from Rabelle College. She's been missing for years. Why would she be here?,Aemeath từ Học viện Rabelle. Cô ấy đã mất tích nhiều năm rồi. Sao giờ lại xuất hiện ở đây?,C?n ti?ng Anh nghi v?n: Aemeath; Rabelle | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.667 | M?c ??: 12.67
