database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_guide_new.db,GuideTips,Id,1,Content,quest,translated,,PASS,10,,,,,"Hold {0}, {1} to move back and forth.
Hold {2}, {3} to move left and right.","Giữ {0}, {1} để di chuyển tiến/lùi.
Giữ {2}, {3} để di chuyển trái/phải.",
lang_guide_new.db,GuideTips,Id,2,Content,quest,translated,,PASS,10,,,,,Tap {0} to jump.,Nhấn {0} để nhảy.,
lang_guide_new.db,GuideTips,Id,3,Content,quest,translated,,PASS,10,,,,,"Hold {0} and {1}/{2}
Start to sprint.","Giữ {0} và {1}/{2}
Bắt đầu chạy nước rút.",
lang_guide_new.db,GuideTips,Id,4,Content,quest,translated,,PASS,10,,,,,"Hold (Joystick) and (Evade)
Start to sprint.","Giữ (Joystick) và (Né Tránh)
Bắt đầu chạy nước rút.",
lang_guide_new.db,GuideTips,Id,5,Content,quest,translated,,PASS,10,,,,,Stand beside the walls and hold {0} to climb.,Đứng cạnh tường và giữ {0} để leo lên.,
lang_guide_new.db,GuideTips,Id,6,Content,quest,translated,,PASS,10,,,,,Tap {0} to use Normal Attack.,Nhấn {0} để sử dụng Kỹ Năng Tấn Công Cơ Bản.,
lang_guide_new.db,GuideTips,Id,7,Content,quest,translated,,PASS,10,,,,,Tap {0} to use Resonance Skill.,Nhấn {0} để sử dụng Resonance Skill.,
lang_guide_new.db,GuideTips,Id,8,Content,quest,translated,,PASS,10,,,,,Stand next to Echo and tap {0} while the interface shows up to absorb the Echo.,Đứng cạnh Echo và chạm {0} khi giao diện hiện lên để hấp thụ Echo.,
lang_guide_new.db,GuideTips,Id,9,Content,quest,translated,,PASS,10,,,,,Tap {0} to use Echo Skill.,Nhấn {0} để sử dụng Kỹ Năng Echo.,
lang_guide_new.db,GuideTips,Id,10,Content,quest,translated,,PASS,10,,,,,Tap {0} to use Resonance Liberation.,Nhấn {0} để sử dụng Resonance Liberation.,
lang_guide_new.db,GuideTips,Id,11,Content,quest,translated,,PASS,10,,,,,Tap {0} while in the air to glide.,Nhấn {0} khi đang ở trên không để lướt.,
lang_guide_new.db,GuideTips,Id,12,Content,quest,translated,,PASS,10,,,,,Tap {0} to aim.,Nhấn {0} để ngắm.,
lang_guide_new.db,GuideTips,Id,13,Content,quest,translated,,PASS,10,,,,,Tap {0}/{1} now to trigger extreme evasion.,Nhấn {0}/{1} ngay bây giờ để kích hoạt né tránh cực hạn.,
lang_guide_new.db,GuideTips,Id,14,Content,quest,translated,,PASS,10,,,,,Tap {0} now to fend the attack.,Nhấn {0} ngay để chống đỡ đòn tấn công.,
lang_guide_new.db,GuideTips,Id,15,Content,quest,translated,,PASS,10,,,,,"Time Setting Guide.
Tap {0} to open the System Menu.","Hướng dẫn Cài đặt Thời Gian.
Nhấn {0} để mở Menu Hệ thống.",
lang_guide_new.db,GuideTips,Id,16,Content,quest,translated,,PASS,10,,,,,Hold {0} to move to the edge of the cliff.,Giữ {0} để di chuyển đến mép vách đá.,
lang_guide_new.db,GuideTips,Id,17,Content,quest,translated,,PASS,10,,,,,Hold (Joystick) to move to the edge of the cliff.,Giữ (Joystick) để di chuyển đến mép vách đá.,
lang_guide_new.db,GuideTips,Id,18,Content,quest,translated,,PASS,10,,,,,Gain full [Chilling Vein],Nhận đầy [Mạch Lạnh],
lang_guide_new.db,GuideTips,Id,19,Content,quest,translated,,PASS,10,,,,,Gain full [Chilling Vein],Nhận đầy [Mạch Lạnh],
