database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_advice.db,AdviceWord,Id,2,Content,general,translated,,PASS,10,,,,,Resonance Liberation,Resonance Liberation,
lang_advice.db,AdviceWord,Id,3,Content,general,translated,,PASS,10,,,,,Resonance energy,Resonance Energy,
lang_advice.db,AdviceWord,Id,9,Content,general,translated,,PASS,10,,,,,Scanner,Máy Quét,
lang_advice.db,AdviceWord,Id,10,Content,general,translated,,PASS,10,,,,,Grapple Point,Điểm Neo Bám,
lang_advice.db,AdviceWord,Id,11,Content,general,translated,,PASS,10,,,,,Concerto Effect,Hiệu ứng Concerto,
lang_advice.db,AdviceWord,Id,14,Content,general,translated,,PASS,10,,,,,Counter-Attack,Phản Công,
lang_advice.db,AdviceWord,Id,18,Content,general,translated,,PASS,10,,,,,Material,Vật liệu,
lang_advice.db,AdviceWord,Id,21,Content,general,translated,,PASS,10,,,,,Gravity Stream,Dòng Trọng Lực,
lang_advice.db,AdviceWord,Id,23,Content,general,translated,,PASS,10,,,,,Choral Beacon,Đèn Hợp Ca,
lang_advice.db,AdviceWord,Id,31,Content,general,translated,,PASS,10,,,,,Exile Commoner,Dân Lưu Đày Thường,
lang_advice.db,AdviceWord,Id,33,Content,general,translated,,PASS,10,,,,,Tacet Field,Tổ Tacet,
lang_advice.db,AdviceWord,Id,34,Content,general,translated,,PASS,10,,,,,Calamity Class,Hạng Thảm Họa,
lang_advice.db,AdviceWord,Id,35,Content,general,translated,,PASS,10,,,,,Overlord Class,Hạng Overlord,
lang_advice.db,AdviceWord,Id,36,Content,general,translated,,PASS,10,,,,,Elite Class,Hạng Cao Cấp,
lang_advice.db,AdviceWord,Id,37,Content,general,translated,,PASS,10,,,,,Standard Class,Hạng Chuẩn,
lang_advice.db,AdviceWord,Id,55,Content,general,translated,,PASS,10,,,,,Jump,Nhảy,
lang_advice.db,AdviceWord,Id,61,Content,general,translated,,PASS,10,,,,,Hand Glider,Dù Lượn Tay,
lang_advice.db,AdviceWord,Id,64,Content,general,translated,,PASS,10,,,,,Cooking,Nấu ăn,
lang_advice.db,AdviceWord,Id,66,Content,general,translated,,PASS,10,,,,,Pioneer Association,Hiệp Hội Tiên Phong,
lang_advice.db,AdviceWord,Id,67,Content,general,translated,,PASS,10,,,,,Squeak Express,Tàu Squeak Tốc Hành,
