en_source,vn_translate,loi_du_doan
Science Gone Mad III,Khoa học điên rồ III,C?n ti?ng Anh nghi v?n: III | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Science Gone Mad IV,Khoa học điên rồ IV,C?n ti?ng Anh nghi v?n: IV | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Science Gone Mad V,Khoa học điên rồ V,C?n ti?ng Anh nghi v?n: V | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Unlock Sticker slots in Preparations,Mở khóa ô Sticker trong Chuẩn bị,C?n ti?ng Anh nghi v?n: Sticker | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Complete By Moon's Grace event quest: ""Wish Upon the Moon I: Cry of the Soul"" for optimal experience.","Hoàn thành nhiệm vụ sự kiện Ân Điển Của Ánh Trăng: ""Ước Dưới Trăng I: Tiếng Thét Của Linh Hồn"" để có trải nghiệm tối ưu.",C?n ti?ng Anh nghi v?n: I | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Complete the Phase Ascension Trial,Hoàn thành Trial Thăng Tiến Pha,C?n ti?ng Anh nghi v?n: Trial | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Head to the Nexus Beacon in Jinzhou,Hãy đến Điểm Nexus ở Jinzhou,C?n ti?ng Anh nghi v?n: Nexus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Complete the Phase Ascension Trial,Hoàn thành Trial Thăng Tiến Pha,C?n ti?ng Anh nghi v?n: Trial | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Complete the Phase Ascension Trial,Hoàn thành Trial Thăng Tiến Pha,C?n ti?ng Anh nghi v?n: Trial | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Head to the Nexus Beacon in Jinzhou,Hãy đến Điểm Nexus ở Jinzhou,C?n ti?ng Anh nghi v?n: Nexus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Complete the Phase Ascension Trial,Hoàn thành Trial Thăng Tiến Pha,C?n ti?ng Anh nghi v?n: Trial | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Complete the Phase Ascension Trial,Hoàn thành Trial Thăng Tiến Pha,C?n ti?ng Anh nghi v?n: Trial | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Head to the Nexus Beacon in Jinzhou,Hãy đến Điểm Nexus ở Jinzhou,C?n ti?ng Anh nghi v?n: Nexus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Complete the Phase Ascension Trial,Hoàn thành Trial Thăng Tiến Pha,C?n ti?ng Anh nghi v?n: Trial | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Arrive at KU-Key's location,Đến vị trí của KU-Key,C?n ti?ng Anh nghi v?n: KU | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Arrive at KU-Key's location,Đến vị trí của KU-Key,C?n ti?ng Anh nghi v?n: KU | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Arrive at KU-Key's location,Đến vị trí của KU-Key,C?n ti?ng Anh nghi v?n: KU | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Head to KU-Key's location,Đến vị trí của KU-Key,C?n ti?ng Anh nghi v?n: KU | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Check in on Finella,Kiểm tra tình trạng Finella,C?n ti?ng Anh nghi v?n: Finella | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"""Wind whistles, water purls, bird chirps, all echoed in the melodies of the past."" Deliver the Windchimers you collect to Xian'ge and obtain various rewards. Collect the Windchimers scattered in Mt. Firmament and make the music play again.","""Gió rít, nước róc rách, chim hót, tất cả đều vang vọng trong những giai điệu của quá khứ."" Mang những chiếc Kèn Gió bạn thu thập được đến cho Xian'ge và nhận nhiều phần thưởng khác nhau. Hãy thu thập những chiếc Kèn Gió rải rác trên Núi Firmament và khiến âm nhạc trở lại.",C?n ti?ng Anh nghi v?n: Firmament; Xian'ge | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 0.182 | M?c ??: 7.82
