database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_menu.db,MenuConfig,Id,1,Content,ui,translated,,PASS,10,,,,,Audio,Âm thanh,
lang_menu.db,MenuConfig,Id,2,Content,ui,translated,,PASS,10,,,,,Master Volume,Âm lượng tổng,
lang_menu.db,MenuConfig,Id,3,Content,ui,translated,,PASS,10,,,,,Audio,Âm thanh,
lang_menu.db,MenuConfig,Id,4,Content,ui,translated,,PASS,10,,,,,Dialog Volume,Âm lượng Lời thoại,
lang_menu.db,MenuConfig,Id,5,Content,ui,translated,,PASS,10,,,,,Audio,Âm thanh,
lang_menu.db,MenuConfig,Id,6,Content,ui,translated,,PASS,10,,,,,Music Volume,Âm lượng nhạc,
lang_menu.db,MenuConfig,Id,7,Content,ui,translated,,PASS,10,,,,,Audio,Âm thanh,
lang_menu.db,MenuConfig,Id,8,Content,ui,translated,,PASS,10,,,,,Sound Effects Volume,Âm Lượng Hiệu Ứng,
lang_menu.db,MenuConfig,Id,9,Content,ui,translated,,PASS,10,,,,,General,Chung,
lang_menu.db,MenuConfig,Id,10,Content,ui,translated,,PASS,10,,,,,Texture Quality,Chất Lượng Họa Tiết,
lang_menu.db,MenuConfig,Id,11,Content,ui,translated,,PASS,10,,,,,Low,Thấp,
lang_menu.db,MenuConfig,Id,12,Content,ui,translated,,PASS,10,,,,,Medium,Trung bình,
lang_menu.db,MenuConfig,Id,13,Content,ui,translated,,PASS,10,,,,,High,Cao,
lang_menu.db,MenuConfig,Id,14,Content,ui,translated,,PASS,10,,,,,General,Chung,
lang_menu.db,MenuConfig,Id,15,Content,ui,translated,,PASS,10,,,,,Display Mode,Chế độ Hiển thị,
lang_menu.db,MenuConfig,Id,16,Content,ui,translated,,PASS,10,,,,,Fullscreen,Toàn màn hình,
lang_menu.db,MenuConfig,Id,17,Content,ui,translated,,PASS,10,,,,,Windowed,Cửa Sổ,
lang_menu.db,MenuConfig,Id,18,Content,ui,translated,,PASS,10,,,,,General,Chung,
lang_menu.db,MenuConfig,Id,19,Content,ui,translated,,PASS,10,,,,,Display Resolution,Độ phân giải Màn hình,
lang_menu.db,MenuConfig,Id,29,Content,ui,translated,,PASS,10,,,,,General,Chung,
lang_menu.db,MenuConfig,Id,30,Content,ui,translated,,PASS,10,,,,,Display Resolution,Độ phân giải Màn hình,
lang_menu.db,MenuConfig,Id,35,Content,ui,translated,,PASS,10,,,,,General,Chung,
lang_menu.db,MenuConfig,Id,37,Content,ui,translated,,PASS,10,,,,,Setup,Thiết Lập,
lang_menu.db,MenuConfig,Id,38,Content,ui,translated,,PASS,10,,,,,Custom,Tùy chỉnh,
lang_menu.db,MenuConfig,Id,39,Content,ui,translated,,PASS,10,,,,,Maximum Frame Rate,Tốc độ khung hình tối đa,
lang_menu.db,MenuConfig,Id,40,Content,ui,translated,,PASS,10,,,,,30fps,30 FPS,
lang_menu.db,MenuConfig,Id,41,Content,ui,translated,,PASS,10,,,,,60fps,60 FPS,
lang_menu.db,MenuConfig,Id,42,Content,ui,translated,,PASS,10,,,,,Custom,Tùy chỉnh,
lang_menu.db,MenuConfig,Id,44,Content,ui,translated,,PASS,10,,,,,On,Bật,
lang_menu.db,MenuConfig,Id,45,Content,ui,translated,,PASS,10,,,,,Off,Tắt,
lang_menu.db,MenuConfig,Id,46,Content,ui,translated,,PASS,10,,,,,Custom,Tùy chỉnh,
lang_menu.db,MenuConfig,Id,47,Content,ui,translated,,PASS,10,,,,,Shadow Quality,Chất Lượng Bóng,
lang_menu.db,MenuConfig,Id,48,Content,ui,translated,,PASS,10,,,,,Low,Thấp,
lang_menu.db,MenuConfig,Id,49,Content,ui,translated,,PASS,10,,,,,Medium,Trung bình,
lang_menu.db,MenuConfig,Id,50,Content,ui,translated,,PASS,10,,,,,High,Cao,
lang_menu.db,MenuConfig,Id,51,Content,ui,translated,,PASS,10,,,,,Custom,Tùy chỉnh,
lang_menu.db,MenuConfig,Id,52,Content,ui,translated,,PASS,10,,,,,Special Effects,Hiệu Ứng Đặc Biệt,
lang_menu.db,MenuConfig,Id,53,Content,ui,translated,,PASS,10,,,,,Low,Thấp,
lang_menu.db,MenuConfig,Id,54,Content,ui,translated,,PASS,10,,,,,High,Cao,
lang_menu.db,MenuConfig,Id,55,Content,ui,translated,,PASS,10,,,,,Custom,Tùy chỉnh,
lang_menu.db,MenuConfig,Id,56,Content,ui,translated,,PASS,10,,,,,Texture Details,Chi Tiết Họa Tiết,
lang_menu.db,MenuConfig,Id,57,Content,ui,translated,,PASS,10,,,,,Low,Thấp,
lang_menu.db,MenuConfig,Id,58,Content,ui,translated,,PASS,10,,,,,Medium,Trung bình,
lang_menu.db,MenuConfig,Id,59,Content,ui,translated,,PASS,10,,,,,High,Cao,
lang_menu.db,MenuConfig,Id,60,Content,ui,translated,,PASS,10,,,,,Custom,Tùy chỉnh,
lang_menu.db,MenuConfig,Id,61,Content,ui,translated,,PASS,10,,,,,Anti-Aliasing,Khử răng cưa,
lang_menu.db,MenuConfig,Id,62,Content,ui,translated,,PASS,10,,,,,On,Bật,
lang_menu.db,MenuConfig,Id,63,Content,ui,translated,,PASS,10,,,,,Off,Tắt,
lang_menu.db,MenuConfig,Id,64,Content,ui,translated,,PASS,10,,,,,Custom,Tùy chỉnh,
lang_menu.db,MenuConfig,Id,65,Content,ui,translated,,REVIEW,6,same_as_source,,,,AO,AO,
lang_menu.db,MenuConfig,Id,66,Content,ui,translated,,PASS,10,,,,,On,Bật,
lang_menu.db,MenuConfig,Id,67,Content,ui,translated,,PASS,10,,,,,Off,Tắt,
lang_menu.db,MenuConfig,Id,68,Content,ui,translated,,PASS,10,,,,,Custom,Tùy chỉnh,
lang_menu.db,MenuConfig,Id,70,Content,ui,translated,,PASS,10,,,,,On,Bật,
lang_menu.db,MenuConfig,Id,71,Content,ui,translated,,PASS,10,,,,,Off,Tắt,
lang_menu.db,MenuConfig,Id,72,Content,ui,translated,,PASS,10,,,,,Custom,Tùy chỉnh,
lang_menu.db,MenuConfig,Id,74,Content,ui,translated,,PASS,10,,,,,On,Bật,
lang_menu.db,MenuConfig,Id,75,Content,ui,translated,,PASS,10,,,,,Off,Tắt,
lang_menu.db,MenuConfig,Id,76,Content,ui,translated,,PASS,10,,,,,Custom,Tùy chỉnh,
lang_menu.db,MenuConfig,Id,78,Content,ui,translated,,PASS,10,,,,,On,Bật,
lang_menu.db,MenuConfig,Id,79,Content,ui,translated,,PASS,10,,,,,Off,Tắt,
lang_menu.db,MenuConfig,Id,80,Content,ui,translated,,PASS,10,,,,,Operate,Thao Tác,
lang_menu.db,MenuConfig,Id,81,Content,ui,translated,,PASS,10,,,,,Move Forwards,Tiến,
lang_menu.db,MenuConfig,Id,82,Content,ui,translated,,REVIEW,6,same_as_source,,,,W,W,
lang_menu.db,MenuConfig,Id,83,Content,ui,translated,,PASS,10,,,,,Operate,Thao Tác,
