domain,records,files,folder
echo_set,35,1,mistral_translate_work/reports/mixed_language_record_audit/by_domain_simplified_split/echo_set
item,763,1,mistral_translate_work/reports/mixed_language_record_audit/by_domain_simplified_split/item
lore,5899,6,mistral_translate_work/reports/mixed_language_record_audit/by_domain_simplified_split/lore
monster_description,290,1,mistral_translate_work/reports/mixed_language_record_audit/by_domain_simplified_split/monster_description
name_title,41485,42,mistral_translate_work/reports/mixed_language_record_audit/by_domain_simplified_split/name_title
phantom_skill,700,1,mistral_translate_work/reports/mixed_language_record_audit/by_domain_simplified_split/phantom_skill
quest,7769,8,mistral_translate_work/reports/mixed_language_record_audit/by_domain_simplified_split/quest
rc_description,291,1,mistral_translate_work/reports/mixed_language_record_audit/by_domain_simplified_split/rc_description
skill_description,11411,12,mistral_translate_work/reports/mixed_language_record_audit/by_domain_simplified_split/skill_description
story_dialogue,31342,32,mistral_translate_work/reports/mixed_language_record_audit/by_domain_simplified_split/story_dialogue
system_text,171,1,mistral_translate_work/reports/mixed_language_record_audit/by_domain_simplified_split/system_text
ui,6329,7,mistral_translate_work/reports/mixed_language_record_audit/by_domain_simplified_split/ui
weapon,40,1,mistral_translate_work/reports/mixed_language_record_audit/by_domain_simplified_split/weapon
