database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_cgVideo.db,VideoCaption,Id,1,Content,dialogue,translated,,PASS,10,,,,,Rage on and on……,Hãy tiếp tục cuồng nộ……,
lang_cgVideo.db,VideoCaption,Id,2,Content,dialogue,translated,,PASS,10,,,,,Rage on and on……,Hãy tiếp tục cuồng nộ……,
lang_cgVideo.db,VideoCaption,Id,3,Content,dialogue,translated,,PASS,10,,,,,Rage on and on……,Hãy tiếp tục cuồng nộ……,
lang_cgVideo.db,VideoCaption,Id,4,Content,dialogue,translated,,PASS,10,,,,,Rage on and on……,Hãy tiếp tục cuồng nộ……,
lang_cgVideo.db,VideoCaption,Id,5,Content,dialogue,translated,,PASS,10,,,,,Rage on and on……,Hãy tiếp tục cuồng nộ……,
lang_cgVideo.db,VideoCaption,Id,6,Content,dialogue,translated,,PASS,10,,,,,Rage on and on……,Hãy tiếp tục cuồng nộ……,
lang_cgVideo.db,VideoCaption,Id,7,Content,dialogue,translated,,PASS,10,,,,,Rage on and on……,Hãy tiếp tục cuồng nộ……,
lang_cgVideo.db,VideoCaption,Id,8,Content,dialogue,translated,,PASS,10,,,,,Rage on and on……,Hãy tiếp tục cuồng nộ……,
lang_cgVideo.db,VideoCaption,Id,9,Content,dialogue,translated,,PASS,10,,,,,Rage on and on……,Hãy cuồng nộ không ngừng……,
lang_cgVideo.db,VideoCaption,Id,10,Content,dialogue,translated,,PASS,10,,,,,The story I am about to tell you happened a long long time ago……,Câu chuyện ta sắp kể cho ngươi xảy ra từ rất rất lâu rồi……,
lang_cgVideo.db,VideoCaption,Id,11,Content,dialogue,translated,,PASS,10,,,,,"The catastrophe by the name of ""Lament"" permeates the world in a disjointed manner.","Thảm họa mang tên ""Lament"" lan tỏa khắp thế giới một cách rời rạc.",
lang_cgVideo.db,VideoCaption,Id,12,Content,dialogue,translated,,PASS,10,,,,,"Mankind is lost in despair,",Loài người chìm trong tuyệt vọng.,
lang_cgVideo.db,VideoCaption,Id,13,Content,dialogue,translated,,PASS,10,,,,,But is also reborn in the silence.,Nhưng cũng được tái sinh trong sự tĩnh lặng.,
lang_cgVideo.db,VideoCaption,Id,14,Content,dialogue,translated,,PASS,10,,,,,A newborn accompanied by risk and hope.,Một sinh mệnh mới ra đời cùng hiểm nguy và hy vọng.,
lang_cgVideo.db,VideoCaption,Id,15,Content,dialogue,translated,,PASS,10,,,,,The Calamons ravaged the lands.,Những Calamons tàn phá khắp các vùng đất.,
lang_cgVideo.db,VideoCaption,Id,16,Content,dialogue,translated,,PASS,10,,,,,Mankind thirsts for the light on top of the ruins of chaos and strife.,Loài người khao khát ánh sáng trên đống đổ nát của hỗn loạn và xung đột.,
lang_cgVideo.db,VideoCaption,Id,17,Content,dialogue,translated,,PASS,10,,,,,"The shimmering light that pierces the dark tides,","Ánh sáng lấp lánh xuyên qua những dòng thủy triều đen tối,",
lang_cgVideo.db,VideoCaption,Id,18,Content,dialogue,translated,,PASS,10,,,,,connecting to the resonance of life.,kết nối với sự cộng hưởng của sinh mệnh.,
lang_cgVideo.db,VideoCaption,Id,19,Content,dialogue,translated,,PASS,10,,,,,"Thus, they were born.","Và từ đó, họ đã ra đời.",
lang_cgVideo.db,VideoCaption,Id,20,Content,dialogue,translated,,PASS,10,,,,,"""Resonators"" tasked with a mission,","""Resonator"" – những người mang trên mình một sứ mệnh.",
lang_cgVideo.db,VideoCaption,Id,21,Content,dialogue,translated,,PASS,10,,,,,Grasping a dim light of hope.,Nắm bắt tia hy vọng mong manh.,
lang_cgVideo.db,VideoCaption,Id,22,Content,dialogue,translated,,PASS,10,,,,,Waving off the prolonging gloom.,Xua tan đi bóng tối u ám kéo dài.,
lang_cgVideo.db,VideoCaption,Id,23,Content,dialogue,translated,,PASS,10,,,,,Attempting to shatter the hotbed of disasters.,Nỗ lực đập vỡ ổ tai họa.,
lang_cgVideo.db,VideoCaption,Id,24,Content,dialogue,translated,,PASS,10,,,,,"Only the whistling winter wind,",Chỉ còn tiếng gió đông vi vu thổi.,
lang_cgVideo.db,VideoCaption,Id,25,Content,dialogue,translated,,PASS,10,,,,,Is the song of their victories.,Đó là khúc ca chiến thắng của họ.,
lang_cgVideo.db,VideoCaption,Id,26,Content,dialogue,translated,,PASS,10,,,,,"Yet, the flames of destruction has been rekindled.",Nhưng ngọn lửa hủy diệt đã được nhen nhóm trở lại.,
lang_cgVideo.db,VideoCaption,Id,27,Content,dialogue,translated,,PASS,10,,,,,The devastated land wails again.,Vùng đất điêu tàn lại cất lên tiếng than khóc.,
lang_cgVideo.db,VideoCaption,Id,28,Content,dialogue,translated,,PASS,10,,,,,"The dark tides that lurk within the world,",Những đợt thủy triều đen tối vẫn ẩn nấp trong thế giới này.,
lang_cgVideo.db,VideoCaption,Id,29,Content,dialogue,translated,,PASS,10,,,,,A new storm is brewing.,Một cơn bão mới đang dần hình thành.,
lang_cgVideo.db,VideoCaption,Id,30,Content,dialogue,translated,,PASS,10,,,,,"The remnants of those shrouded under the mist,","Những tàn tích của những kẻ bị che phủ trong sương mù,",
lang_cgVideo.db,VideoCaption,Id,31,Content,dialogue,translated,,PASS,10,,,,,Rage on and on……,Vẫn tiếp tục gầm thét không ngừng……,
lang_cgVideo.db,VideoCaption,Id,32,Content,dialogue,translated,,PASS,10,,,,,Look out!,Cẩn thận!,
lang_cgVideo.db,VideoCaption,Id,33,Content,dialogue,translated,,PASS,10,,,,,The Clarea……Its resurging!,Clarea… Nó đang trỗi dậy!,
lang_cgVideo.db,VideoCaption,Id,34,Content,dialogue,translated,,PASS,10,,,,,Have you seen my crown?,Ngươi có thấy vương miện của ta không?,
lang_cgVideo.db,VideoCaption,Id,35,Content,dialogue,translated,,PASS,10,,,,,"A high class Calamon? No, wait……","Một Calamon thượng đẳng? Không, khoan đã…",
lang_cgVideo.db,VideoCaption,Id,36,Content,dialogue,translated,,PASS,10,,,,,I won't……Let you hurt anyone!,Ta sẽ không… để ngươi làm hại ai cả!,
lang_cgVideo.db,VideoCaption,Id,37,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,"Yang, Yangyang!","Yang, Yangyang!",
lang_cgVideo.db,VideoCaption,Id,38,Content,dialogue,translated,,PASS,10,,,,,"Everyone……Run, hurry……","Mọi người……Chạy đi, nhanh lên……",
lang_cgVideo.db,VideoCaption,Id,39,Content,dialogue,translated,,PASS,10,,,,,Is there where the wind fades……,Nơi đây có phải là chốn gió tắt lịm……,
lang_cgVideo.db,VideoCaption,Id,40,Content,dialogue,translated,,PASS,10,,,,,Yang……Yangyang!,Yang……Yangyang!,
lang_cgVideo.db,VideoCaption,Id,41,Content,dialogue,translated,,PASS,10,,,,,This is getting rather dull.,Chán thật đấy.,
lang_cgVideo.db,VideoCaption,Id,42,Content,dialogue,translated,,PASS,10,,,,,"Take it easy, you will feel nothing soon!","Thư giãn đi, cậu sẽ chẳng cảm thấy gì sớm thôi!",
