database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_error_code.db,ErrorCode,Id,128,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,129,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,131,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,133,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,135,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,416,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,420,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,421,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,422,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,423,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,428,Content,general,translated,,PASS,10,,,,,This Rover is in your Blocklist,Vận Mệnh Giả này đang trong danh sách chặn của bạn,
lang_error_code.db,ErrorCode,Id,430,Content,general,translated,,PASS,10,,,,,Blocklist is full,Danh sách chặn đã đầy,
lang_error_code.db,ErrorCode,Id,435,Content,general,translated,,PASS,10,,,,,Application record unfound.,Không tìm thấy hồ sơ ứng dụng.,
lang_error_code.db,ErrorCode,Id,436,Content,general,translated,,PASS,10,,,,,Friend list is full,Danh sách bạn bè đã đầy,
lang_error_code.db,ErrorCode,Id,437,Content,general,translated,,PASS,10,,,,,Your friend list is full,Danh sách bạn bè của bạn đã đầy,
lang_error_code.db,ErrorCode,Id,438,Content,general,translated,,PASS,10,,,,,This Rover's friend list is full.,Danh sách bạn bè của Vận Mệnh Giả này đã đầy.,
lang_error_code.db,ErrorCode,Id,511,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,512,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,513,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,514,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,515,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,516,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,517,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,518,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,557,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,558,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,560,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,561,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,562,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,563,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,564,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,565,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,566,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,567,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,568,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,569,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,570,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,571,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,572,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_error_code.db,ErrorCode,Id,573,Content,general,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
