en_source,vn_translate,loi_du_doan
"Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds","Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây",C?n ti?ng Anh nghi v?n: Cooldown; Energy; Prism; Summon; Thermo; Vibrancy | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.538 | M?c ??: 31.38
"Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds","Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây",C?n ti?ng Anh nghi v?n: Cooldown; Energy; Prism; Summon; Thermo; Vibrancy | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.538 | M?c ??: 31.38
"Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds","Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây",C?n ti?ng Anh nghi v?n: Cooldown; Energy; Prism; Summon; Thermo; Vibrancy | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.538 | M?c ??: 31.38
"Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds","Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây",C?n ti?ng Anh nghi v?n: Cooldown; Energy; Prism; Summon; Thermo; Vibrancy | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.538 | M?c ??: 31.38
"Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds","Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây",C?n ti?ng Anh nghi v?n: Cooldown; Energy; Prism; Summon; Thermo; Vibrancy | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.538 | M?c ??: 31.38
"Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds","Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây",C?n ti?ng Anh nghi v?n: Cooldown; Energy; Prism; Summon; Thermo; Vibrancy | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.538 | M?c ??: 31.38
"Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds","Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây",C?n ti?ng Anh nghi v?n: Cooldown; Energy; Prism; Summon; Thermo; Vibrancy | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.538 | M?c ??: 31.38
"Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds","Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây",C?n ti?ng Anh nghi v?n: Cooldown; Energy; Prism; Summon; Thermo; Vibrancy | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.538 | M?c ??: 31.38
"Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds","Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây",C?n ti?ng Anh nghi v?n: Cooldown; Energy; Prism; Summon; Thermo; Vibrancy | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.538 | M?c ??: 31.38
"Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds","Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây",C?n ti?ng Anh nghi v?n: Cooldown; Energy; Prism; Summon; Thermo; Vibrancy | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.538 | M?c ??: 31.38
"Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds","Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây",C?n ti?ng Anh nghi v?n: Cooldown; Energy; Prism; Summon; Thermo; Vibrancy | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.538 | M?c ??: 31.38
"Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds","Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây",C?n ti?ng Anh nghi v?n: Cooldown; Energy; Prism; Summon; Thermo; Vibrancy | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.538 | M?c ??: 31.38
"Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds","Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây",C?n ti?ng Anh nghi v?n: Cooldown; Energy; Prism; Summon; Thermo; Vibrancy | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.538 | M?c ??: 31.38
"Summon a Thermo Prism that lasts for 7 seconds. It will constantly restore Resonance Energy to characters with Thermo in its effective area at a rate of {0} units every 0.2 second.
Concerto Vibrancy: {1}
Cooldown: {2} seconds","Summon một Thermo Prism tồn tại trong 7 giây. Nó sẽ liên tục phục hồi Resonance Energy cho các nhân vật có thuộc tính Thermo trong phạm vi hiệu quả với tốc độ {0} đơn vị mỗi 0.2 giây.
Concerto Vibrancy: {1}
Cooldown: {2} giây",C?n ti?ng Anh nghi v?n: Cooldown; Energy; Prism; Summon; Thermo; Vibrancy | S? t?/c?m nghi v?n: 7 | T? l? nghi v?n: 0.538 | M?c ??: 31.38
