database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_item.db,ItemInfo,Id,1,Content,item,translated,,PASS,10,,,,,Union EXP,Kinh Nghiệm Liên Minh,
lang_item.db,ItemInfo,Id,2,Content,item,translated,,PASS,10,,,,,The various experiences and insights accumulated by Resonators. Used to raise Union Level.,Những trải nghiệm và hiểu biết tích lũy được của Resonator. Dùng để tăng Cấp Liên Minh.,
lang_item.db,ItemInfo,Id,3,Content,item,translated,,PASS,10,,,,,A wealth of experience helps to adapt to the laws of survival in this world.,Kinh nghiệm dồi dào giúp thích nghi với quy luật sinh tồn nơi thế giới này.,
lang_item.db,ItemInfo,Id,4,Content,item,translated,,PASS,10,,,,,A wealth of experience helps to adapt to the laws of survival in this world.,Kinh nghiệm dồi dào giúp thích nghi với quy luật sinh tồn nơi thế giới này.,
lang_item.db,ItemInfo,Id,5,Content,item,translated,,PASS,10,,,,,Tacetite Coin,Đồng Tacetite,
lang_item.db,ItemInfo,Id,6,Content,item,translated,,PASS,10,,,,,Used to purchase a variety of items.,Dùng để mua nhiều loại vật phẩm khác nhau.,
lang_item.db,ItemInfo,Id,7,Content,item,translated,,PASS,10,,,,,"The digital currency, common to six countries, is used in a wide variety of transactions, dominating in the current economic system.
To encourage Resonators to clean up Tacet Discords in the field, mutant creatures, anf purify Tacet Fields, Huanglong will monitor the combat results simultaneously through their Resonance Terminal and distribute Tacetite Coins.","Đồng tiền kỹ thuật số phổ biến ở sáu quốc gia, được sử dụng trong nhiều loại giao dịch, thống trị hệ thống kinh tế hiện tại.
Để khuyến khích Resonator dọn dẹp Tacet Discord trên chiến trường, tiêu diệt quái đột biến và thanh lọc Tổ Tacet, Huanglong sẽ giám sát kết quả chiến đấu thông qua Thiết bị đầu cuối Cộng hưởng và phân phối Tacetite Coin.",
lang_item.db,ItemInfo,Id,8,Content,item,translated,,PASS,10,,,,,"The digital currency, common to six countries, used in a wide variety of transactions.","Đồng tiền kỹ thuật số phổ biến ở sáu quốc gia, được sử dụng trong nhiều loại giao dịch.",
lang_item.db,ItemInfo,Id,9,Content,item,translated,,PASS,10,,,,,Tacetreite Voucher,Phiếu Tacetreite,
lang_item.db,ItemInfo,Id,10,Content,item,translated,,PASS,10,,,,,Can be used to obtain Modulation licenses and some resupply packs.,Có thể dùng để nhận Giấy phép Điều Chỉnh và một số gói tiếp tế.,
lang_item.db,ItemInfo,Id,11,Content,item,translated,,PASS,10,,,,,"A rare currency note issued jointly by the officials of the six countries on the basis of the total number of acceptance privileges, backed by their own credit, mixed with Tacetite related products in its casting, can be used to trade or exchange some rare materials within the six countries or exchange the Modulation license of the first contract.","Tiền giấy hiếm được các quan chức sáu quốc gia cùng phát hành dựa trên tổng số đặc quyền chấp nhận, được đảm bảo bằng uy tín của chính họ, có pha trộn sản phẩm liên quan đến Tacetite trong quá trình đúc. Có thể dùng để giao dịch hoặc đổi lấy một số nguyên liệu quý trong sáu quốc gia hoặc đổi giấy phép Điều Tần của hợp đồng đầu tiên.",
lang_item.db,ItemInfo,Id,12,Content,item,translated,,PASS,10,,,,,"A rare currency note issued jointly by the officials of the six countries on the basis of the total number of acceptance privileges, backed by their own credit.","Tiền giấy hiếm được các quan chức sáu quốc gia cùng phát hành dựa trên tổng số đặc quyền chấp nhận, được đảm bảo bằng uy tín của chính họ.",
lang_item.db,ItemInfo,Id,13,Content,item,translated,,PASS,10,,,,,Acceptance Privileges,Đặc Quyền Chấp Nhận,
lang_item.db,ItemInfo,Id,14,Content,item,translated,,PASS,10,,,,,Obtained by anchor purchase and can be used to redeem Tacetreite Vouchers.,Nhận được khi mua từ Neo và có thể dùng để đổi Phiếu Tacetreite.,
lang_item.db,ItemInfo,Id,15,Content,item,translated,,PASS,10,,,,,"The highest value credentials issued jointly by the officials of the six countries exist as an anchor in the monetary system. It has the property of unlimited legal tender.
The original purpose of issuing the acceptance privilege is to maintain the stability of the monetary system, and the total number of acceptance privileges is regularly negotiated and regulated by the officials of the six countries","Giấy ủy nhiệm có giá trị cao nhất do các quan chức sáu quốc gia cùng ban hành, đóng vai trò mỏ neo trong hệ thống tiền tệ. Nó có đặc tính là phương tiện thanh toán hợp pháp không giới hạn.
Mục đích ban đầu của việc phát hành đặc quyền chấp nhận là để duy trì sự ổn định của hệ thống tiền tệ, và tổng số đặc quyền chấp nhận được các quan chức sáu quốc gia thường xuyên thương lượng và điều chỉnh.",
lang_item.db,ItemInfo,Id,16,Content,item,translated,,PASS,10,,,,,The highest value credentials issued jointly by the officials of the six countries exist as an anchor in the monetary system.,"Giấy ủy nhiệm có giá trị cao nhất do các quan chức sáu quốc gia cùng ban hành, đóng vai trò mỏ neo trong hệ thống tiền tệ.",
lang_item.db,ItemInfo,Id,17,Content,item,translated,,PASS,10,,,,,Crystallized Wave Fragment,Mảnh Sóng Kết Tinh,
lang_item.db,ItemInfo,Id,18,Content,item,translated,,PASS,10,,,,,"The status data value of Resonators, and the Crystallized Wave Fragments will be lowered when the activity is carried out by using the other ability. Reduced to a certain level Resonators will appear unable to perform special actions.","Giá trị dữ liệu trạng thái của Resonator và Mảnh Sóng Kết Tinh sẽ bị giảm khi thực hiện hoạt động bằng kỹ năng khác. Khi giảm đến một mức nhất định, Resonator sẽ không thể thực hiện các hành động đặc biệt.",
lang_item.db,ItemInfo,Id,19,Content,item,translated,,PASS,10,,,,,Variable Star EXP,EXP Sao Biến Quang,
lang_item.db,ItemInfo,Id,20,Content,item,translated,,PASS,10,,,,,Crystallized Solvent,Dung Môi Kết Tinh,
lang_item.db,ItemInfo,Id,21,Content,item,translated,,PASS,10,,,,,Use to add 60 Crystallized Wave Fragments.,Dùng để thêm 60 Mảnh Sóng Tinh Thể.,
lang_item.db,ItemInfo,Id,22,Content,item,translated,,PASS,10,,,,,"A special item that restores vitality, specifically designed for Resonators.","Vật phẩm đặc biệt giúp phục hồi sinh lực, được thiết kế riêng cho Resonator.",
lang_item.db,ItemInfo,Id,23,Content,item,translated,,PASS,10,,,,,"A special item that restores vitality, specifically designed for Resonators.","Vật phẩm đặc biệt giúp phục hồi sinh lực, được thiết kế riêng cho Resonator.",
