en_source,vn_translate,loi_du_doan
Immobilize Pilgrim's Shell: {挑战2统计}/1,Immobilize Pilgrim's Shell: {挑战2统计}/1,C?n ti?ng Anh nghi v?n: Immobilize; Pilgrim's; Shell | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Group of Outcasts,Group of Outcasts,C?n ti?ng Anh nghi v?n: Group; of; Outcasts | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Ride the Aurora Kronaclaw,Ride Aurora Kronaclaw,C?n ti?ng Anh nghi v?n: Aurora; Kronaclaw; Ride | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Let Cartethyia help clear the Dark Tide remnants,Để Cartethyia giúp quét dọn tàn tích của Dark Tide,C?n ti?ng Anh nghi v?n: Cartethyia; Dark; Tide | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Murmurstown Sonoro Sphere,Murmurstown Sonoro Sphere,C?n ti?ng Anh nghi v?n: Murmurstown; Sonoro; Sphere | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Ace Wing: I,Ace Wing: I,C?n ti?ng Anh nghi v?n: Ace; I; Wing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Ace Wing: III,Ace Wing: III,C?n ti?ng Anh nghi v?n: Ace; III; Wing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Ace Wing: II,Ace Wing: II,C?n ti?ng Anh nghi v?n: Ace; II; Wing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Ace Wing: IV,Ace Wing: IV,C?n ti?ng Anh nghi v?n: Ace; IV; Wing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Boat Racing I,Boat Racing I,C?n ti?ng Anh nghi v?n: Boat; I; Racing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Boat Racing II,Boat Racing II,C?n ti?ng Anh nghi v?n: Boat; II; Racing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Boat Racing III,Boat Racing III,C?n ti?ng Anh nghi v?n: Boat; III; Racing | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Stunt Track - I,Stunt Track - I,C?n ti?ng Anh nghi v?n: I; Stunt; Track | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Select Transport Unit XE-01,Chọn Transport Unit XE-01,C?n ti?ng Anh nghi v?n: Transport; Unit; XE | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Select Transport Unit XE-01,Chọn Transport Unit XE-01,C?n ti?ng Anh nghi v?n: Transport; Unit; XE | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Best result unlocked,Best result unlocked,C?n ti?ng Anh nghi v?n: Best; result; unlocked | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Knights of Twilight,Knights of Twilight,C?n ti?ng Anh nghi v?n: Knights; of; Twilight | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Knights of Twilight,Knights of Twilight,C?n ti?ng Anh nghi v?n: Knights; of; Twilight | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Drakes of Welkin,Drakes of Welkin,C?n ti?ng Anh nghi v?n: Drakes; of; Welkin | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Drakes of Welkin,Drakes of Welkin,C?n ti?ng Anh nghi v?n: Drakes; of; Welkin | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Ram Dynamics Tutorial,Ram Dynamics Tutorial,C?n ti?ng Anh nghi v?n: Dynamics; Ram; Tutorial | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Full speed ahead,Full speed ahead,C?n ti?ng Anh nghi v?n: ahead; Full; speed | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Full speed ahead,Full speed ahead,C?n ti?ng Anh nghi v?n: ahead; Full; speed | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Full speed ahead,Full speed ahead,C?n ti?ng Anh nghi v?n: ahead; Full; speed | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Enable Force Settlement,Enable Force Settlement,C?n ti?ng Anh nghi v?n: Enable; Force; Settlement | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Enable Force Settlement,Enable Force Settlement,C?n ti?ng Anh nghi v?n: Enable; Force; Settlement | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Enable Force Settlement,Enable Force Settlement,C?n ti?ng Anh nghi v?n: Enable; Force; Settlement | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Enable Force Settlement,Enable Force Settlement,C?n ti?ng Anh nghi v?n: Enable; Force; Settlement | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Enable Force Settlement,Enable Force Settlement,C?n ti?ng Anh nghi v?n: Enable; Force; Settlement | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Enable Force Settlement,Enable Force Settlement,C?n ti?ng Anh nghi v?n: Enable; Force; Settlement | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Light Builder Fable,Light Builder Fable,C?n ti?ng Anh nghi v?n: Builder; Fable; Light | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Light Builder Fable,Light Builder Fable,C?n ti?ng Anh nghi v?n: Builder; Fable; Light | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Light Builder Fable,Light Builder Fable,C?n ti?ng Anh nghi v?n: Builder; Fable; Light | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Light Builder Fable,Light Builder Fable,C?n ti?ng Anh nghi v?n: Builder; Fable; Light | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Light Builder Fable,Light Builder Fable,C?n ti?ng Anh nghi v?n: Builder; Fable; Light | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Giant Viscum Berry,Giant Viscum Berry,C?n ti?ng Anh nghi v?n: Berry; Giant; Viscum | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Utterance of Marvels,Utterance of Marvels,C?n ti?ng Anh nghi v?n: Marvels; of; Utterance | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Utterance of Marvels,Utterance of Marvels,C?n ti?ng Anh nghi v?n: Marvels; of; Utterance | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Until No One Listens,Until Không One Listens,C?n ti?ng Anh nghi v?n: Listens; One; Until | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black Shores I,Black Shores I,C?n ti?ng Anh nghi v?n: Black; I; Shores | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Moon-Chasing Festival,Moon-Chasing Festival,C?n ti?ng Anh nghi v?n: Chasing; Festival; Moon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
By Moon's Grace,By Moon's Grace,C?n ti?ng Anh nghi v?n: By; Grace; Moon's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
