database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_generic_tips.db,GenericPrompt,Id,1,Content,lore,translated,,PASS,10,,,,,Defeat all enemies within {0} secs.,Tiêu diệt tất cả kẻ địch trong vòng {0} giây.,
lang_generic_tips.db,GenericPrompt,Id,2,Content,lore,translated,,PASS,10,,,,,Complete Time {0},Thời Gian Hoàn Thành {0},
lang_generic_tips.db,GenericPrompt,Id,3,Content,lore,translated,,PASS,10,,,,,Exit in {0} secs,Thoát trong {0} giây,
lang_generic_tips.db,GenericPrompt,Id,4,Content,lore,translated,,PASS,10,,,,,Challenge Complete,Hoàn thành Thử thách,
lang_generic_tips.db,GenericPrompt,Id,5,Content,lore,translated,,PASS,10,,,,,Challenge Failed,Thử thách Thất bại,
lang_generic_tips.db,GenericPrompt,Id,6,Content,lore,translated,,PASS,10,,,,,Challenge Complete,Hoàn thành Thử thách,
lang_generic_tips.db,GenericPrompt,Id,7,Content,lore,translated,,PASS,10,,,,,Extra Mission,Nhiệm Vụ Phụ,
lang_generic_tips.db,GenericPrompt,Id,8,Content,lore,translated,,PASS,10,,,,,Commision Start,Bắt đầu Nhiệm vụ,
lang_generic_tips.db,GenericPrompt,Id,9,Content,lore,translated,,PASS,10,,,,,Mission Complete,Nhiệm Vụ Hoàn Thành,
lang_generic_tips.db,GenericPrompt,Id,10,Content,lore,translated,,PASS,10,,,,,Countdown,Đếm Ngược,
lang_generic_tips.db,GenericPrompt,Id,13,Content,lore,translated,,PASS,10,,,,,Cannot Open Map,Không thể mở Bản đồ,
lang_generic_tips.db,GenericPrompt,Id,14,Content,lore,translated,,PASS,10,,,,,Defend target from enemies,Bảo vệ mục tiêu khỏi kẻ địch,
lang_generic_tips.db,GenericPrompt,Id,16,Content,lore,translated,,PASS,10,,,,,Rage on and on……,Thịnh nộ không ngừng……,
lang_generic_tips.db,GenericPrompt,Id,17,Content,lore,translated,,PASS,10,,,,,Defending Target HP 100%,HP mục tiêu bảo vệ: 100%,
lang_generic_tips.db,GenericPrompt,Id,18,Content,lore,translated,,PASS,10,,,,,Current: 0/100,Hiện Tại: 0/100,
