database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_quest_chapter.db,QuestChapter,Id,1,Content,quest,translated,,PASS,10,,,,,Chapter 1,Chương 1,
lang_quest_chapter.db,QuestChapter,Id,2,Content,quest,translated,,PASS,10,,,,,Act 1,Hồi 1,
lang_quest_chapter.db,QuestChapter,Id,3,Content,quest,translated,,PASS,10,,,,,Residual Overture,Khúc Dạo Đầu Dư Âm,
lang_quest_chapter.db,QuestChapter,Id,4,Content,quest,translated,,PASS,10,,,,,Chapter 1,"Chương 1
```",
lang_quest_chapter.db,QuestChapter,Id,5,Content,quest,translated,,PASS,10,,,,,Act 2,Hồi 2,
lang_quest_chapter.db,QuestChapter,Id,6,Content,quest,translated,,PASS,10,,,,,Strolls of Twilight Bell,Những bước chân dưới Twilight Bell,
lang_quest_chapter.db,QuestChapter,Id,7,Content,quest,translated,,PASS,10,,,,,Chapter 2,Chương 2,
lang_quest_chapter.db,QuestChapter,Id,8,Content,quest,translated,,PASS,10,,,,,Act 1,"Hồi 1
```",
lang_quest_chapter.db,QuestChapter,Id,9,Content,quest,translated,,PASS,10,,,,,Voices Within the Fog,Tiếng Gọi Trong Sương Mù,
lang_quest_chapter.db,QuestChapter,Id,10,Content,quest,translated,,PASS,10,,,,,Chapter 2,Chương 2,
lang_quest_chapter.db,QuestChapter,Id,11,Content,quest,translated,,PASS,10,,,,,Act 2,Hồi 2,
lang_quest_chapter.db,QuestChapter,Id,12,Content,quest,translated,,PASS,10,,,,,Inferno Let Loose,"Hỏa Ngục Thả Rông
```",
lang_quest_chapter.db,QuestChapter,Id,13,Content,quest,translated,,PASS,10,,,,,Chapter 3,Chương 3,
lang_quest_chapter.db,QuestChapter,Id,14,Content,quest,translated,,PASS,10,,,,,Act 1,Hồi 1,
lang_quest_chapter.db,QuestChapter,Id,15,Content,quest,translated,,PASS,10,,,,,Darkness Incept,Hắc Ám Khởi Nguyên,
lang_quest_chapter.db,QuestChapter,Id,16,Content,quest,translated,,PASS,10,,,,,Chapter 4,"Chương 4
```",
lang_quest_chapter.db,QuestChapter,Id,17,Content,quest,translated,,PASS,10,,,,,Act 1,Hồi 1,
lang_quest_chapter.db,QuestChapter,Id,18,Content,quest,translated,,PASS,10,,,,,Uneasy Bindings,Những Ràng Buộc Bất An,
lang_quest_chapter.db,QuestChapter,Id,19,Content,quest,translated,,PASS,10,,,,,Chapter 4,Chương 4,
lang_quest_chapter.db,QuestChapter,Id,20,Content,quest,translated,,PASS,10,,,,,Act 2,Hồi 2,
lang_quest_chapter.db,QuestChapter,Id,21,Content,quest,translated,,PASS,10,,,,,Harmonious Threnodies,Khúc Bi Ca Hài Hòa,
lang_quest_chapter.db,QuestChapter,Id,22,Content,quest,translated,,PASS,10,,,,,Chapter 5,Chương 5,
lang_quest_chapter.db,QuestChapter,Id,23,Content,quest,translated,,PASS,10,,,,,Act 1,Hồi 1,
lang_quest_chapter.db,QuestChapter,Id,24,Content,quest,translated,,PASS,10,,,,,Of Wind and Spark,"Gió và Tia Lửa
```",
