severity,suspicious_count,ratio,words,domain,file,primary_key,translation,source_en
31.0,5,1.0,details; Failed; get; to; update,system_text,mistral_translate_work\split_by_prompt\json\system_text\lang_hot_patch\lang_hot_patch__system_text__part_0001.json,GetUpdateInfoFail,Failed to get update details,Failed to get update details
31.0,5,1.0,Failed; load; patch; to; type,system_text,mistral_translate_work\split_by_prompt\json\system_text\lang_hot_patch\lang_hot_patch__system_text__part_0001.json,GetResourceInfoFailed,Failed to load patch type,Failed to load patch type
31.0,5,1.0,code; DNS; error; Error; resolution,system_text,mistral_translate_work\split_by_prompt\json\system_text\lang_hot_patch\lang_hot_patch__system_text__part_0001.json,NetworkDetection_Domain_Wrong,DNS resolution error. Error code:,DNS resolution error. Error code:
31.0,5,1.0,access; code; error; Error; Web,system_text,mistral_translate_work\split_by_prompt\json\system_text\lang_hot_patch\lang_hot_patch__system_text__part_0001.json,NetworkDetection_Http_Wrong,Web access error. Error code:,Web access error. Error code:
28.0,5,1.0,apply; Configuration; Failed; Remote; to,system_text,mistral_translate_work\split_by_prompt\json\system_text\lang_hot_patch\lang_hot_patch__system_text__part_0001.json,GetRemoteVersionFailed,Failed to apply Remote Configuration,Failed to apply Remote Configuration
28.0,5,1.0,and; areas; Frostlands; other; Roya,system_text,mistral_translate_work\split_by_prompt\json\system_text\lang_hot_patch\lang_hot_patch__system_text__part_0001.json,Source_Title_Land_3,Roya Frostlands and other areas,Roya Frostlands and other areas
28.0,3,1.0,continue; Press; to,system_text,mistral_translate_work\split_by_prompt\json\system_text\lang_hot_patch\lang_hot_patch__system_text__part_0001.json,Ps5_Cilck_Continue,Press {0} to continue,Press {0} to continue
25.0,4,1.0,app; Checking; for; updates,system_text,mistral_translate_work\split_by_prompt\json\system_text\lang_hot_patch\lang_hot_patch__system_text__part_0001.json,CheckAppUpdate,Checking for app updates...,Checking for app updates...
25.0,4,1.0,Failed; files; store; to,system_text,mistral_translate_work\split_by_prompt\json\system_text\lang_hot_patch\lang_hot_patch__system_text__part_0001.json,DownloadStateOpenToWriteError,Failed to store files,Failed to store files
25.0,4,1.0,Failed; file; move; to,system_text,mistral_translate_work\split_by_prompt\json\system_text\lang_hot_patch\lang_hot_patch__system_text__part_0001.json,MoveFilesFailed,Failed to move file.,Failed to move file.
