database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_property.db,PropertyIndex,Id,1,Content,item,translated,,PASS,10,,,,,Level,Level,
lang_property.db,PropertyIndex,Id,2,Content,item,translated,,PASS,10,,,,,A Level,A Level,
lang_property.db,PropertyIndex,Id,3,Content,item,translated,,REVIEW,6,same_as_source,,,,HP,HP,
lang_property.db,PropertyIndex,Id,4,Content,item,translated,,REVIEW,6,same_as_source,,,,HP,HP,
lang_property.db,PropertyIndex,Id,5,Content,item,translated,,PASS,10,,,,,Shield,Shield,
lang_property.db,PropertyIndex,Id,6,Content,item,translated,,PASS,10,,,,,DEF Down Multiplier,DEF Down Multiplier,
lang_property.db,PropertyIndex,Id,7,Content,item,translated,,PASS,10,,,,,Passive DEF Down Multiplier,Passive DEF Down Multiplier,
lang_property.db,PropertyIndex,Id,8,Content,item,translated,,PASS,10,,,,,Attack,Attack,
lang_property.db,PropertyIndex,Id,9,Content,item,translated,,PASS,10,,,,,Crit. Rate,Crit. Rate,
lang_property.db,PropertyIndex,Id,10,Content,item,translated,,PASS,10,,,,,The chance of triggering a critical hit when dealing damage.,The chance of triggering a critical hit when dealing damage.,
lang_property.db,PropertyIndex,Id,11,Content,item,translated,,PASS,10,,,,,Critical DMG,Critical DMG,
lang_property.db,PropertyIndex,Id,12,Content,item,translated,,PASS,10,,,,,The DMG Multiplier when dealing a critical hit.,The DMG Multiplier when dealing a critical hit.,
lang_property.db,PropertyIndex,Id,13,Content,item,translated,,PASS,10,,,,,Defense,Defense,
lang_property.db,PropertyIndex,Id,14,Content,item,translated,,PASS,10,,,,,Resonance Efficiency,Resonance Efficiency,
lang_property.db,PropertyIndex,Id,15,Content,item,translated,,PASS,10,,,,,"Increases the amount of resonance liberation energy gained per use of Punch, Resonance Skill, Combat Ability, and Resonance Energy.","Increases the amount of resonance liberation energy gained per use of Punch, Resonance Skill, Combat Ability, and Resonance Energy.",
lang_property.db,PropertyIndex,Id,16,Content,item,translated,,PASS,10,,,,,Cooldown Reduction,Cooldown Reduction,
lang_property.db,PropertyIndex,Id,17,Content,item,translated,,PASS,10,,,,,Concerto Sublimation,Concerto Sublimation,
lang_property.db,PropertyIndex,Id,18,Content,item,translated,,PASS,10,,,,,Boosts the effect of resonant energy.,Boosts the effect of resonant energy.,
lang_property.db,PropertyIndex,Id,19,Content,item,translated,,PASS,10,,,,,Resonance skill damage bonus,Resonance skill damage bonus,
lang_property.db,PropertyIndex,Id,20,Content,item,translated,,PASS,10,,,,,General DMG bonus,General DMG bonus,
lang_property.db,PropertyIndex,Id,21,Content,item,translated,,PASS,10,,,,,General Injury Reduction,General Injury Reduction,
lang_property.db,PropertyIndex,Id,22,Content,item,translated,,PASS,10,,,,,Normal Attack bonus,Normal Attack bonus,
lang_property.db,PropertyIndex,Id,23,Content,item,translated,,PASS,10,,,,,Charged Attack bonus,Charged Attack bonus,
lang_property.db,PropertyIndex,Id,24,Content,item,translated,,PASS,10,,,,,Resonance liberation DMG bonus,Resonance liberation DMG bonus,
lang_property.db,PropertyIndex,Id,25,Content,item,translated,,PASS,10,,,,,Combo skill DMG bonus,Combo skill DMG bonus,
lang_property.db,PropertyIndex,Id,26,Content,item,translated,,PASS,10,,,,,Physical DMG bonus,Physical DMG bonus,
lang_property.db,PropertyIndex,Id,27,Content,item,translated,,PASS,10,,,,,Frozen DMG bonus,Frozen DMG bonus,
lang_property.db,PropertyIndex,Id,28,Content,item,translated,,PASS,10,,,,,Smelt DMG bonus,Smelt DMG bonus,
lang_property.db,PropertyIndex,Id,29,Content,item,translated,,PASS,10,,,,,Conduction DMG bonus,Conduction DMG bonus,
lang_property.db,PropertyIndex,Id,30,Content,item,translated,,PASS,10,,,,,Aerodynamic DMG bonus,Aerodynamic DMG bonus,
lang_property.db,PropertyIndex,Id,31,Content,item,translated,,PASS,10,,,,,Diffusion DMG bonus,Diffusion DMG bonus,
lang_property.db,PropertyIndex,Id,32,Content,item,translated,,PASS,10,,,,,Dissociation DMG bonus,Dissociation DMG bonus,
lang_property.db,PropertyIndex,Id,33,Content,item,translated,,PASS,10,,,,,Physical DMG Resistance,Physical DMG Resistance,
lang_property.db,PropertyIndex,Id,34,Content,item,translated,,PASS,10,,,,,Frozen DMG Resistance,Frozen DMG Resistance,
lang_property.db,PropertyIndex,Id,35,Content,item,translated,,PASS,10,,,,,Smelt DMG Resistance,Smelt DMG Resistance,
lang_property.db,PropertyIndex,Id,36,Content,item,translated,,PASS,10,,,,,Conduction DMG Resistance,Conduction DMG Resistance,
lang_property.db,PropertyIndex,Id,37,Content,item,translated,,PASS,10,,,,,Aerodynamic DMG Resistance,Aerodynamic DMG Resistance,
lang_property.db,PropertyIndex,Id,38,Content,item,translated,,PASS,10,,,,,Diffusion DMG Resistance,Diffusion DMG Resistance,
lang_property.db,PropertyIndex,Id,39,Content,item,translated,,PASS,10,,,,,Dissociation DMG Resistance,Dissociation DMG Resistance,
lang_property.db,PropertyIndex,Id,40,Content,item,translated,,PASS,10,,,,,Healing Effect bonus,Healing Effect bonus,
lang_property.db,PropertyIndex,Id,41,Content,item,translated,,PASS,10,,,,,Recovery Effect bonus,Recovery Effect bonus,
lang_property.db,PropertyIndex,Id,42,Content,item,translated,,PASS,10,,,,,Physical DMG Immunity,Physical DMG Immunity,
lang_property.db,PropertyIndex,Id,43,Content,item,translated,,PASS,10,,,,,Element 1 DMG Immunity,Element 1 DMG Immunity,
lang_property.db,PropertyIndex,Id,44,Content,item,translated,,PASS,10,,,,,Element 2 DMG Immunity,Element 2 DMG Immunity,
lang_property.db,PropertyIndex,Id,45,Content,item,translated,,PASS,10,,,,,Element 3 DMG Immunity,Element 3 DMG Immunity,
lang_property.db,PropertyIndex,Id,46,Content,item,translated,,PASS,10,,,,,Element 4 DMG Immunity,Element 4 DMG Immunity,
lang_property.db,PropertyIndex,Id,47,Content,item,translated,,PASS,10,,,,,Element 5 DMG Immunity,Element 5 DMG Immunity,
lang_property.db,PropertyIndex,Id,48,Content,item,translated,,PASS,10,,,,,Element 6 DMG Immunity,Element 6 DMG Immunity,
lang_property.db,PropertyIndex,Id,49,Content,item,translated,,PASS,10,,,,,Reaction increase factor 1,Reaction increase factor 1,
lang_property.db,PropertyIndex,Id,50,Content,item,translated,,PASS,10,,,,,Reaction increase factor 2,Reaction increase factor 2,
lang_property.db,PropertyIndex,Id,51,Content,item,translated,,PASS,10,,,,,Reaction increase factor 3,Reaction increase factor 3,
lang_property.db,PropertyIndex,Id,52,Content,item,translated,,PASS,10,,,,,Reaction increase factor 4,Reaction increase factor 4,
lang_property.db,PropertyIndex,Id,53,Content,item,translated,,PASS,10,,,,,Reaction increase factor 5,Reaction increase factor 5,
lang_property.db,PropertyIndex,Id,54,Content,item,translated,,PASS,10,,,,,Reaction increase factor 6,Reaction increase factor 6,
lang_property.db,PropertyIndex,Id,55,Content,item,translated,,PASS,10,,,,,Reaction increase factor 7,Reaction increase factor 7,
lang_property.db,PropertyIndex,Id,56,Content,item,translated,,PASS,10,,,,,Reaction increase factor 8,Reaction increase factor 8,
lang_property.db,PropertyIndex,Id,57,Content,item,translated,,PASS,10,,,,,Reaction increase factor 9,Reaction increase factor 9,
lang_property.db,PropertyIndex,Id,58,Content,item,translated,,PASS,10,,,,,Reaction increase factor 10,Reaction increase factor 10,
lang_property.db,PropertyIndex,Id,59,Content,item,translated,,PASS,10,,,,,Reaction increase factor 11,Reaction increase factor 11,
lang_property.db,PropertyIndex,Id,60,Content,item,translated,,PASS,10,,,,,Reaction increase factor 12,Reaction increase factor 12,
lang_property.db,PropertyIndex,Id,61,Content,item,translated,,PASS,10,,,,,Reaction increase factor 13,Reaction increase factor 13,
lang_property.db,PropertyIndex,Id,62,Content,item,translated,,PASS,10,,,,,Reaction increase factor 14,Reaction increase factor 14,
lang_property.db,PropertyIndex,Id,63,Content,item,translated,,PASS,10,,,,,Reaction increase factor 15,Reaction increase factor 15,
lang_property.db,PropertyIndex,Id,64,Content,item,translated,,PASS,10,,,,,Resonance energy limit,Resonance energy limit,
lang_property.db,PropertyIndex,Id,65,Content,item,translated,,PASS,10,,,,,Resonance energy,Resonance energy,
lang_property.db,PropertyIndex,Id,66,Content,item,translated,,PASS,10,,,,,Special energy 1 limit,Special energy 1 limit,
lang_property.db,PropertyIndex,Id,67,Content,item,translated,,PASS,10,,,,,Special energy 1,Special energy 1,
lang_property.db,PropertyIndex,Id,68,Content,item,translated,,PASS,10,,,,,Special energy 2 limit,Special energy 2 limit,
lang_property.db,PropertyIndex,Id,69,Content,item,translated,,PASS,10,,,,,Special energy 2,Special energy 2,
lang_property.db,PropertyIndex,Id,70,Content,item,translated,,PASS,10,,,,,Special energy 3 limit,Special energy 3 limit,
lang_property.db,PropertyIndex,Id,71,Content,item,translated,,PASS,10,,,,,Special energy 3,Special energy 3,
lang_property.db,PropertyIndex,Id,72,Content,item,translated,,PASS,10,,,,,Special energy 4 limit,Special energy 4 limit,
lang_property.db,PropertyIndex,Id,73,Content,item,translated,,PASS,10,,,,,Special energy 4,Special energy 4,
lang_property.db,PropertyIndex,Id,74,Content,item,translated,,PASS,10,,,,,Stamina Limit,Stamina Limit,
lang_property.db,PropertyIndex,Id,75,Content,item,translated,,PASS,10,,,,,Stamina,Stamina,
lang_property.db,PropertyIndex,Id,76,Content,item,translated,,PASS,10,,,,,Stamina Recovery,Stamina Recovery,
lang_property.db,PropertyIndex,Id,77,Content,item,translated,,PASS,10,,,,,Zero stamina penalty time,Zero stamina penalty time,
lang_property.db,PropertyIndex,Id,83,Content,item,translated,,PASS,10,,,,,Max Plangency,Max Plangency,
lang_property.db,PropertyIndex,Id,84,Content,item,translated,,PASS,10,,,,,Max Plangency,Max Plangency,
lang_property.db,PropertyIndex,Id,85,Content,item,translated,,PASS,10,,,,,Plangency Recovery Rate,Plangency Recovery Rate,
lang_property.db,PropertyIndex,Id,86,Content,item,translated,,PASS,10,,,,,Extra zero Plangency time,Extra zero Plangency time,
lang_property.db,PropertyIndex,Id,87,Content,item,translated,,PASS,10,,,,,Plangency Reduction multiplier,Plangency Reduction multiplier,
lang_property.db,PropertyIndex,Id,88,Content,item,translated,,PASS,10,,,,,Passive Plangency Reduction multiplier,Passive Plangency Reduction multiplier,
lang_property.db,PropertyIndex,Id,89,Content,item,translated,,PASS,10,,,,,Max Toughness,Max Toughness,
lang_property.db,PropertyIndex,Id,90,Content,item,translated,,PASS,10,,,,,Toughness,Toughness,
lang_property.db,PropertyIndex,Id,91,Content,item,translated,,PASS,10,,,,,Toughness Recovery Speed,Toughness Recovery Speed,
