en_source,vn_translate,loi_du_doan
Even if you don't... the Primus will be there... You'll never get the Gem...,Dù cậu có không làm gì... Primus vẫn sẽ ở đó... Cậu sẽ chẳng bao giờ lấy được Viên Ngọc đâu...,C?n ti?ng Anh nghi v?n: Primus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Spare me the commentary. Fenrico wants the Gem, and I intend to stop him. That's all that matters. Now, lead the way.","Đừng nói thêm nữa. Fenrico muốn lấy Viên Ngọc, và ta sẽ ngăn hắn. Chỉ thế thôi. Dẫn đường đi.",C?n ti?ng Anh nghi v?n: Fenrico | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
The frequencies of these Order Echoes feel unnatural.,Tần số của những Order Echoes này có gì đó bất thường.,C?n ti?ng Anh nghi v?n: Order | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
It is where the Order of the Deep crafts Common Echoes.,Đó là nơi Hội Deep chế tác những Echo Thông Thường.,C?n ti?ng Anh nghi v?n: Deep | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
<te href=851022>Echo Brooders</te>.,<te href=851022>Echo Brooders</te>.,C?n ti?ng Anh nghi v?n: Brooders | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Phrolova, you're back.","Phrolova, con đã về.",C?n ti?ng Anh nghi v?n: Phrolova | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Oh, not this nonsense again, Triss! Come on, dinner's ready!","Ôi, lại cái trò vớ vẩn này nữa hả Triss! Thôi nào, cơm nước xong hết rồi!",C?n ti?ng Anh nghi v?n: Triss | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Phrolova, it's happening again...","Phrolova, lại xảy ra nữa rồi...",C?n ti?ng Anh nghi v?n: Phrolova | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
(This feels a lot like what Cantarella described before.),Cảm giác này giống y như những gì Cantarella đã mô tả trước đây.,C?n ti?ng Anh nghi v?n: Cantarella | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
The foundation of the Paradise is complete. It is time to purge those who have strayed.,Nền móng của Paradise đã hoàn thành. Đã đến lúc thanh tẩy những kẻ lạc lối.,C?n ti?ng Anh nghi v?n: Paradise | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Primus? Should I continue the recording?,Primus? Tôi có nên tiếp tục ghi hình không?,C?n ti?ng Anh nghi v?n: Primus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
It seems the chaos has seeped into every corner of the Fabricatorium…,Có vẻ như sự hỗn loạn đã lan tỏa khắp mọi ngóc ngách của Fabricatorium…,C?n ti?ng Anh nghi v?n: Fabricatorium | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Then we should be able to stabilize it through Orchestration.,Vậy thì chúng ta có thể ổn định nó bằng Orchestration.,C?n ti?ng Anh nghi v?n: Orchestration | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
So all this chaos was caused by Fenrico disrupting the composition?,Vậy tất cả sự hỗn loạn này là do Fenrico phá vỡ bản nhạc à?,C?n ti?ng Anh nghi v?n: Fenrico | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
I bet Fenrico never imagined these pipelines would end up making our lives easier.,Tôi cá là Fenrico cũng không ngờ những đường ống này lại giúp cuộc sống của chúng ta dễ dàng hơn thế.,C?n ti?ng Anh nghi v?n: Fenrico | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Fenrico wanted to keep this place under wraps. There may be more to it than meets the eye.,Fenrico muốn giữ bí mật về nơi này. Có lẽ còn nhiều điều hơn ta tưởng.,C?n ti?ng Anh nghi v?n: Fenrico | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Echo interpreter Abby, you're up.","Abby, phiên dịch viên Echo, đến lượt cậu rồi.",C?n ti?ng Anh nghi v?n: Abby | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
That's odd. Didn't know Wootters could become ghosts. Initiating interpreting mode…,Lạ thật. Không ngờ Wootters cũng có thể biến thành ma được. Khởi động chế độ giải mã…,C?n ti?ng Anh nghi v?n: Wootters | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Yes. The shrines let Wootters stay. In this way.,Đúng. Những ngôi đền cho phép Wootters ở lại. Bằng cách này.,C?n ti?ng Anh nghi v?n: Wootters | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
This is my first request from Wootters.,Đây là yêu cầu đầu tiên của ta từ Wootters.,C?n ti?ng Anh nghi v?n: Wootters | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Is it… Wootter friends' party? The last one is not long ago, ta?","Có phải... tiệc của hội Wootter không? Lần trước mới diễn ra cách đây không lâu mà, phải không?",C?n ti?ng Anh nghi v?n: Wootter | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
It's okay. Woona knows best. Me will ask her about him at the party.,Không sao. Woona biết rõ nhất mà. Tớ sẽ hỏi cô ấy về cậu ấy ở bữa tiệc.,C?n ti?ng Anh nghi v?n: Woona | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
The Wootter slowly fades away in front of you.,Wootter từ từ tan biến trước mắt cậu.,C?n ti?ng Anh nghi v?n: Wootter | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"You've kept me waiting so long, Acis.","Acis, cậu để ta đợi lâu quá rồi đấy.",C?n ti?ng Anh nghi v?n: Acis | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"I'm back, Misha.","Ta về rồi, Misha.",C?n ti?ng Anh nghi v?n: Misha | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
(You hand over the necklaces and photos to Ina.),Bạn đưa những chiếc vòng cổ và bức ảnh cho Ina.,C?n ti?ng Anh nghi v?n: Ina | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Why did he choose to be a Gladiator at all?,Sao hắn lại chọn trở thành một Gladiator chứ?,C?n ti?ng Anh nghi v?n: Gladiator | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
It is. Misery followed Acis all the way to the end.,Đúng vậy. Nỗi thống khổ đã theo chân Acis đến tận cuối cùng.,C?n ti?ng Anh nghi v?n: Acis | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
So Acis had an unfulfilled wish too?,Vậy Acis cũng có một ước nguyện chưa thành sao?,C?n ti?ng Anh nghi v?n: Acis | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"…Sorry, Acis, for leaving you to face this mission alone.","…Xin lỗi, Acis, vì đã để cậu một mình đối mặt với nhiệm vụ này.",C?n ti?ng Anh nghi v?n: Acis | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
I'm so sorry. Acis and I only found your weapons...,Xin lỗi cậu... Tớ với Acis chỉ tìm thấy vũ khí của cậu thôi...,C?n ti?ng Anh nghi v?n: Acis | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Ever since you became a Gladiator, you've come home covered in bruises every single day. Look at the spot I patched up last time… You've hurt it again!","Từ ngày con trở thành Gladiator, ngày nào về nhà cũng đầy vết bầm. Nhìn chỗ mẹ vá lần trước này... lại bị thương nữa rồi!",C?n ti?ng Anh nghi v?n: Gladiator | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"I don't know all the details. But try to stay in camp if you can, Misha.","Tôi không biết hết chi tiết đâu. Nhưng nếu có thể, hãy ở lại trại nhé, Misha.",C?n ti?ng Anh nghi v?n: Misha | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Watch your tongue, Kamron! Show some respect, or you'll disgrace your mentor!","Kín mồm lại, Kamron! Hãy tỏ ra tôn trọng, nếu không ngươi sẽ làm nhục sư phụ của mình!",C?n ti?ng Anh nghi v?n: Kamron | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
I could even help deal with that Corrosaurus.,Tôi thậm chí có thể giúp xử lý con Corrosaurus đó.,C?n ti?ng Anh nghi v?n: Corrosaurus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
An illusive realm that often appears after the High Tide. Some say it's a fragment of a certain type of Sonoro.,Một cõi hư ảo thường xuất hiện sau Đại Triều. Có người nói đó là mảnh vỡ của một loại Sonoro nào đó.,C?n ti?ng Anh nghi v?n: Sonoro | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Ha... I...,Ha... Ta...,C?n ti?ng Anh nghi v?n: Ha | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"It belonged to Master Cato, Augusta's coach. He once wielded it against the Dark Tide creations here alone. Even now, his valorous frequency lingers on it.","Nó từng thuộc về Huấn luyện viên Cato của Augusta. Ông đã một mình sử dụng nó chống lại bọn Sóng Hắc Ám ở đây. Đến giờ, tần số dũng mãnh của ông vẫn còn vương vấn trên đó.",C?n ti?ng Anh nghi v?n: Cato | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"How long are you going to cling to this obsession, Aeolus?","Ngươi còn níu kéo cái ám ảnh này đến bao giờ nữa, Aeolus?",C?n ti?ng Anh nghi v?n: Aeolus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Just look at yourself. You're old, Aeolus. One swipe of that Kerasaur's tail could snap your bones in half.","Nhìn ông kìa, Aeolus. Ông già rồi. Một cái quất đuôi của Kerasaur thôi là gãy đôi người ông như chơi.",C?n ti?ng Anh nghi v?n: Aeolus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Who are Gren and his team, anyway?",Gren và đội của hắn rốt cuộc là ai?,C?n ti?ng Anh nghi v?n: Gren | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
But what does this have to do with Aeolus?,Nhưng chuyện này liên quan gì đến Aeolus?,C?n ti?ng Anh nghi v?n: Aeolus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Hey, Champion! Thanks for convincing Aeolus to quit. It's time we headed out too.","Này, Quán quân! Cảm ơn đã thuyết phục Aeolus nghỉ việc. Đến lúc chúng ta cũng nên rời đi thôi.",C?n ti?ng Anh nghi v?n: Aeolus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Augusta wouldn't let a warrior like you go to waste.,Augusta sẽ không để một chiến binh như cậu bị lãng phí đâu.,C?n ti?ng Anh nghi v?n: Augusta | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Aeolus, you old fool... You think I'd find this funny?!","Aeolus, lão già ngốc nghếch... Lão tưởng ta thấy chuyện này buồn cười à?!",C?n ti?ng Anh nghi v?n: Aeolus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Uncle Gren helped too. He's probably off slaying more Dark Tide creations. Been cursing nonstop.,Chú Ngạn cũng giúp đỡ nữa. Giờ chắc ông ấy lại đi tiêu diệt thêm mấy con quái Tide Hắc Ám rồi. Chửi thề suốt ngày ấy.,C?n ti?ng Anh nghi v?n: Tide | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"…You really are a mood killer, Rolla. Can't you tell I was trying to lighten the mood?","…Đúng là cậu chẳng biết chiều chuộng tí nào, Rolla. Không thấy ta đang cố gắng làm không khí bớt nặng nề à?",C?n ti?ng Anh nghi v?n: Rolla | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Seriously? And I thought that Lupa girl was already something. Now there's another one?,"Thật luôn à? Tưởng cô gái Lupa kia đã là đỉnh rồi, giờ lại còn một đứa nữa cơ à?",C?n ti?ng Anh nghi v?n: Lupa | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
No kidding! Ask Aeolus!,Nói thật đấy! Hỏi Aeolus mà xem!,C?n ti?ng Anh nghi v?n: Aeolus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"So, should I take this as your official acceptance to join our team, Aeolus?","Vậy, tôi có thể hiểu đây là lời đồng ý chính thức gia nhập đội của chúng tôi, Aeolus chứ?",C?n ti?ng Anh nghi v?n: Aeolus | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
I'm going to deal with the Kerasaur. That's all.,Tớ sẽ giải quyết con Kerasaur thôi. Chỉ vậy thôi.,C?n ti?ng Anh nghi v?n: Kerasaur | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
Then take Rolla with you. It's about time she fights one herself.,Vậy thì dẫn Rolla theo đi. Đến lúc cô ấy phải tự mình chiến đấu rồi.,C?n ti?ng Anh nghi v?n: Rolla | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"…Don't think this earns you my thanks, Gren.","…Đừng nghĩ chuyện này sẽ khiến ta cảm ơn ngươi đâu, Gren.",C?n ti?ng Anh nghi v?n: Gren | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
I can take a Kerasaur with just one finger.,Tôi chỉ cần một ngón tay cũng đủ hạ gục Kerasaur.,C?n ti?ng Anh nghi v?n: Kerasaur | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
I added the feather Chunkie left behind to the Hornett's tail.,Tớ đã gắn chiếc lông Chunkie để lại vào đuôi Hornett.,C?n ti?ng Anh nghi v?n: Chunkie | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
That's what Chunkie would've wanted.,Đó là điều Chunkie mong muốn mà.,C?n ti?ng Anh nghi v?n: Chunkie | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Teeny wheezes softly, clearly injured. But its wounds don't dampen its spirit. It looks ready to charge forward again.","Teeny thở hổn hển, rõ ràng là bị thương. Nhưng vết thương không làm nó nhụt chí. Nó vẫn sẵn sàng lao về phía trước.",C?n ti?ng Anh nghi v?n: Teeny | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
The new Hornett sounds amazing! It really gets the blood pumping!,Cái Hornett mới nghe tuyệt quá! Nó khiến máu sôi lên đấy!,C?n ti?ng Anh nghi v?n: Hornett | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Abby, Echo interpretation service, please.","Abby, dịch vụ phiên dịch tiếng Echo đây.",C?n ti?ng Anh nghi v?n: Abby | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
The Wootter plucks some fur from its body and offers it to you.,Wootter nhổ một ít lông từ người mình và đưa cho cậu.,C?n ti?ng Anh nghi v?n: Wootter | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
"Interpret that, please, Abby.","Giải thích giùm ta, Abby.",C?n ti?ng Anh nghi v?n: Abby | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.5 | M?c ??: 8.0
