database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_text.db,Text,Id,56,Content,general,translated,,PASS,10,,,,,Exit in {0} secs,Thoát trong {0} giây,
lang_text.db,Text,Id,78,Content,general,translated,,PASS,10,,,,,You need set at least one character in the team,Bạn cần đặt ít nhất một Cộng Hưởng Giả vào đội hình.,
lang_text.db,Text,Id,120,Content,general,translated,,PASS,10,,,,,Standard Class,Hạng Chuẩn,
lang_text.db,Text,Id,121,Content,general,translated,,PASS,10,,,,,Elite Class,Hạng Cao Cấp,
lang_text.db,Text,Id,122,Content,general,translated,,PASS,10,,,,,Overlord Class,Hạng Overlord,
lang_text.db,Text,Id,123,Content,general,translated,,PASS,10,,,,,Calamity Class,Hạng Thảm Họa,
lang_text.db,Text,Id,132,Content,general,translated,,PASS,10,,,,,Resonance Terminal,Thiết Bị Đầu Cuối Cộng Hưởng,
lang_text.db,Text,Id,148,Content,general,translated,,PASS,10,,,,,Insufficient materials.,Vật liệu không đủ,
lang_text.db,Text,Id,149,Content,general,translated,,PASS,10,,,,,Insufficient Tacetite,Không đủ Tacetite,
lang_text.db,Text,Id,242,Content,general,translated,,PASS,10,,,,,All,Tất cả,
lang_text.db,Text,Id,330,Content,general,translated,,PASS,10,,,,,Weapon,Vũ khí,
lang_text.db,Text,Id,347,Content,general,translated,,PASS,10,,,,,Fast Travel,D?ch chuy?n nhanh,
lang_text.db,Text,Id,366,Content,general,translated,,PASS,10,,,,,Next Day,Ngày tiếp theo,
lang_text.db,Text,Id,370,Content,general,translated,,PASS,10,,,,,Choral Rank,Hạng Hợp Ca,
lang_text.db,Text,Id,387,Content,general,translated,,PASS,10,,,,,Frozen,Frozen,
lang_text.db,Text,Id,388,Content,general,translated,,PASS,10,,,,,Smelt,Cá Trích,
lang_text.db,Text,Id,389,Content,general,translated,,PASS,10,,,,,Conduction,Dẫn truyền,
lang_text.db,Text,Id,390,Content,general,translated,,PASS,10,,,,,Aerodynamic,Khí Động Học,
lang_text.db,Text,Id,391,Content,general,translated,,PASS,10,,,,,Diffusion,Khuếch Tán,
lang_text.db,Text,Id,392,Content,general,translated,,PASS,10,,,,,Dissociation,Phân Ly,
lang_text.db,Text,Id,411,Content,general,translated,,PASS,10,,,,,Insufficient materials.,Vật liệu không đủ,
lang_text.db,Text,Id,447,Content,general,translated,,PASS,10,,,,,Friends,Bạn bè,
lang_text.db,Text,Id,512,Content,general,translated,,PASS,10,,,,,"Backed by the creditworthiness of the Exchange, it is agreed that the underlying assets will be traded on a monthly basis at a fixed price, and the price will be made up daily before the maturity date based on the difference, with compensation in the form of acceptance privileges or cast tide notes, and no physical delivery is involved.","Được đảm bảo bởi uy tín của Sàn Giao Dịch, các tài sản cơ sở sẽ được giao dịch hàng tháng với giá cố định, và giá sẽ được điều chỉnh hàng ngày trước ngày đáo hạn dựa trên chênh lệch, với khoản bồi thường dưới dạng đặc quyền chấp nhận hoặc phiếu ghi nợ cast tide, không có giao hàng vật lý.",
lang_text.db,Text,Id,522,Content,general,translated,,PASS,10,,,,,Weapon,Vũ khí,
lang_text.db,Text,Id,585,Content,general,translated,,PASS,10,,,,,Grapple Cord,Dây Móc,
lang_text.db,Text,Id,676,Content,general,translated,,PASS,10,,,,,Cooking,Nấu ăn,
lang_text.db,Text,Id,679,Content,general,translated,,PASS,10,,,,,Dish,Món ăn,
lang_text.db,Text,Id,686,Content,general,translated,,PASS,10,,,,,Recipe,Công thức,
lang_text.db,Text,Id,690,Content,general,translated,,PASS,10,,,,,Cooking,Nấu ăn,
lang_text.db,Text,Id,736,Content,general,translated,,PASS,10,,,,,Bond,Mối Liên Kết,
lang_text.db,Text,Id,795,Content,general,translated,,PASS,10,,,,,Challenge Complete,Hoàn thành Thử thách,
lang_text.db,Text,Id,796,Content,general,translated,,PASS,10,,,,,Challenge Complete,Hoàn thành Thử thách,
lang_text.db,Text,Id,805,Content,general,translated,,PASS,10,,,,,Insufficient materials.,Vật liệu không đủ,
lang_text.db,Text,Id,848,Content,general,translated,,PASS,10,,,,,Material,Vật liệu,
lang_text.db,Text,Id,862,Content,general,translated,,PASS,10,,,,,Reverberation waveband,Dải sóng Cộng Hưởng,
lang_text.db,Text,Id,863,Content,general,translated,,PASS,10,,,,,Details,Chi tiết,
lang_text.db,Text,Id,864,Content,general,translated,,PASS,10,,,,,Modulation,Modulation,
lang_text.db,Text,Id,869,Content,general,translated,,PASS,10,,,,,General Tasks,Nhiệm vụ chung,
lang_text.db,Text,Id,909,Content,general,translated,,PASS,10,,,,,Gallery,Bộ Sưu Tập,
