database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_cook.db,CookFormula,Id,1,Content,item,translated,,PASS,10,,,,,The Awu Special,Món Đặc Sản Của Awu,
lang_cook.db,CookFormula,Id,2,Content,item,translated,,PASS,10,,,,,A delicious cuisine ready to be served.,Một món ăn ngon đã sẵn sàng để phục vụ.,
lang_cook.db,CookFormula,Id,4,Content,item,translated,,PASS,10,,,,,Helmet Flatbread,Bánh mũ bảo hiểm,
lang_cook.db,CookFormula,Id,5,Content,item,translated,,PASS,10,,,,,A delicious cuisine ready to be served.,Một món ăn ngon đã sẵn sàng để phục vụ.,
lang_cook.db,CookFormula,Id,7,Content,item,translated,,PASS,10,,,,,Xiangsu Salad,Salad Xiangsu,
lang_cook.db,CookFormula,Id,8,Content,item,translated,,PASS,10,,,,,A delicious cuisine ready to be served.,Một món ăn ngon đã sẵn sàng để phục vụ.,
lang_cook.db,CookFormula,Id,10,Content,item,translated,,PASS,10,,,,,Shredded Crownless,Vương Miện Rách Nát,
lang_cook.db,CookFormula,Id,11,Content,item,translated,,PASS,10,,,,,A delicious cuisine ready to be served.,Một món ăn ngon đã sẵn sàng để phục vụ.,
lang_cook.db,CookFormula,Id,13,Content,item,translated,,PASS,10,,,,,Dragon Beard Crisp,Bánh Râu Rồng,
lang_cook.db,CookFormula,Id,14,Content,item,translated,,PASS,10,,,,,A delicious cuisine ready to be served.,Một món ăn ngon đã sẵn sàng để phục vụ.,
lang_cook.db,CookFormula,Id,15,Content,item,translated,,PASS,10,,,,,A dessert very popular within Huanglong as it is associated with the dragon and is considered to have a symbolic meaning of good luck and blessings.,Một món tráng miệng rất được ưa chuộng ở Huanglong vì gắn liền với hình tượng rồng và mang ý nghĩa tượng trưng cho may mắn và phước lành.,
lang_cook.db,CookFormula,Id,16,Content,item,translated,,PASS,10,,,,,Compressed Food Bar,Thanh Thực Phẩm Nén,
lang_cook.db,CookFormula,Id,17,Content,item,translated,,PASS,10,,,,,A delicious cuisine ready to be served.,Một món ăn ngon đã sẵn sàng để phục vụ.,
lang_cook.db,CookFormula,Id,19,Content,item,translated,,PASS,10,,,,,Honeysuckle Tea,Trà Kim Ngân,
lang_cook.db,CookFormula,Id,20,Content,item,translated,,PASS,10,,,,,A delicious cuisine ready to be served.,Một món ăn ngon đã sẵn sàng để phục vụ.,
lang_cook.db,CookFormula,Id,22,Content,item,translated,,PASS,10,,,,,Salted Milk Tea,Trà Sữa Muối,
lang_cook.db,CookFormula,Id,23,Content,item,translated,,PASS,10,,,,,A delicious cuisine ready to be served.,Một món ăn ngon đã sẵn sàng để phục vụ.,
lang_cook.db,CookFormula,Id,25,Content,item,translated,,PASS,10,,,,,Fragrant Tea,Trà Thơm,
lang_cook.db,CookFormula,Id,26,Content,item,translated,,PASS,10,,,,,A delicious cuisine ready to be served.,Một món ăn ngon đã sẵn sàng để phục vụ.,
lang_cook.db,CookFormula,Id,28,Content,item,translated,,PASS,10,,,,,Shuyun Herbal Tea,Trà Thảo Mộc Shuyun,
lang_cook.db,CookFormula,Id,29,Content,item,translated,,PASS,10,,,,,A delicious cuisine ready to be served.,Một món ăn ngon đã sẵn sàng để phục vụ.,
lang_cook.db,CookFormula,Id,31,Content,item,translated,,PASS,10,,,,,Garlic Sauce Bird,Chim Tỏi,
lang_cook.db,CookFormula,Id,32,Content,item,translated,,PASS,10,,,,,A delicious cuisine ready to be served.,Một món ăn ngon đã sẵn sàng để phục vụ.,
lang_cook.db,CookFormula,Id,34,Content,item,translated,,PASS,10,,,,,Chili Meat Slices,Thịt Xào Ớt,
lang_cook.db,CookFormula,Id,35,Content,item,translated,,PASS,10,,,,,A delicious cuisine ready to be served.,Một món ăn ngon đã sẵn sàng để phục vụ.,
lang_cook.db,CookFormula,Id,37,Content,item,translated,,PASS,10,,,,,Dragon Dumplings,Bánh Há Cảo Rồng,
lang_cook.db,CookFormula,Id,38,Content,item,translated,,PASS,10,,,,,A delicious cuisine ready to be served.,Một món ăn ngon đã sẵn sàng để phục vụ.,
