database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_hot_patch.db,HotPatchText,Id,NetworkConnect,Content,general,translated,,PASS,10,,,,,Connecting,Đang kết nối,
lang_hot_patch.db,HotPatchText,Id,PatchDown,Content,general,translated,,PASS,10,,,,,Downloading: {0} Speed: {1} Size: {2}/{3},Đang tải: {0} Tốc độ: {1} Dung lượng: {2}/{3},
lang_hot_patch.db,HotPatchText,Id,PatchDownTips,Content,general,translated,,PASS,10,,,,,You can minimize game client during download,Bạn có thể thu nhỏ cửa sổ trò chơi trong khi tải xuống,
lang_hot_patch.db,HotPatchText,Id,Install,Content,general,translated,,PASS,10,,,,,Installing Update Resources,Đang cài đặt tài nguyên cập nhật,
lang_hot_patch.db,HotPatchText,Id,InstallTips,Content,general,translated,,PASS,10,,,,,Please do not close the game during installation,Vui lòng không đóng trò chơi trong quá trình cài đặt,
lang_hot_patch.db,HotPatchText,Id,CheckIntegrity,Content,general,translated,,PASS,10,,,,,Verifying files integrity: {0}%,Đang xác minh tính toàn vẹn tệp: {0}%,
lang_hot_patch.db,HotPatchText,Id,NoNetwork,Content,general,translated,,PASS,10,,,,,No internet connection. Please check and try again,Không có kết nối internet. Vui lòng kiểm tra và thử lại.,
lang_hot_patch.db,HotPatchText,Id,GetUpdateInfoFail,Content,general,translated,,PASS,10,,,,,Failed to get update details,Không thể lấy chi tiết cập nhật,
lang_hot_patch.db,HotPatchText,Id,HotFixTipsTitle,Content,general,translated,,PASS,10,,,,,Notice,Thông báo,
lang_hot_patch.db,HotPatchText,Id,HotFixQuit,Content,general,translated,,PASS,10,,,,,Exit,Thoát,
lang_hot_patch.db,HotPatchText,Id,HotFixRetry,Content,general,translated,,PASS,10,,,,,Retry,Thử Lại,
lang_hot_patch.db,HotPatchText,Id,HotFixNewPatch,Content,general,translated,,PASS,10,,,,,A new update {0} is now available. You're using mobile data for download. Do you wish to proceed?,Bản cập nhật mới {0} đã có sẵn. Bạn đang sử dụng dữ liệu di động để tải xuống. Bạn có muốn tiếp tục không?,
lang_hot_patch.db,HotPatchText,Id,HotFixUseNetworkDownload,Content,general,translated,,PASS,10,,,,,Use Mobile Data,Sử dụng dữ liệu di động,
lang_hot_patch.db,HotPatchText,Id,HotFixRestartToCompleteHotFix,Content,general,translated,,PASS,10,,,,,Patching complete. Please restart the game.,Đã vá xong. Vui lòng khởi động lại trò chơi.,
lang_hot_patch.db,HotPatchText,Id,HotFixRestartToRepairFiles,Content,general,translated,,PASS,10,,,,,Repair complete. Please restart the game.,Sửa chữa hoàn tất. Vui lòng khởi động lại trò chơi.,
lang_hot_patch.db,HotPatchText,Id,HotFixWriteStorageTips,Content,general,translated,,PASS,10,,,,,Please allow storage access in Settings > Application and restart the game to save update resources.,Vui lòng cho phép truy cập bộ nhớ trong Cài đặt > Ứng dụng và khởi động lại trò chơi để lưu tài nguyên cập nhật.,
lang_hot_patch.db,HotPatchText,Id,HotFixNotEnoughSpace,Content,general,translated,,PASS,10,,,,,"Insufficient storage space for {0} update resources. Please remove files to free up space and tap on ""Continue"" to proceed with the download.","Không đủ dung lượng lưu trữ cho tài nguyên cập nhật {0}. Vui lòng xóa bớt tệp để giải phóng không gian và nhấn ""Tiếp tục"" để tiến hành tải xuống.",
lang_hot_patch.db,HotPatchText,Id,HotFixContinue,Content,general,translated,,PASS,10,,,,,Continue,Tiếp tục,
lang_hot_patch.db,HotPatchText,Id,HotFixCancel,Content,general,translated,,PASS,10,,,,,Cancel,Hủy,
lang_hot_patch.db,HotPatchText,Id,HotFixNetworkChange,Content,general,translated,,PASS,10,,,,,You've changed your network connection to mobile network. Do you wish to proceed with the download using mobile data?,Bạn đã chuyển sang kết nối mạng di động. Bạn có muốn tiếp tục tải xuống bằng dữ liệu di động không?,
lang_hot_patch.db,HotPatchText,Id,SplashCautionTitle,Content,general,translated,,PASS,10,,,,,Photosensitive Seizure Warning,Cảnh Báo Co Giật Do Nhạy Cảm Ánh Sáng,
lang_hot_patch.db,HotPatchText,Id,SplashCautionContent,Content,general,translated,,PASS,10,,,,,"When exposed to certain visual stimuli or flashing lights, a very small percentage of people (including those with epilepsy and some undiagnosed individuals) may experience seizures, with symptoms such as dizziness, facial discoloration, eye or face twitching, foaming at the mouth, confusion or loss of consciousness, or uncontrollable muscle spasms. If you, your family, or other household members experience similar symptoms, please consult a doctor before playing the game. If you experience any of the above symptoms while playing, immediately stop playing, seek medical attention as soon as possible, and follow your doctor's advice.","Khi tiếp xúc với một số kích thích hình ảnh hoặc ánh sáng nhấp nháy, một tỷ lệ rất nhỏ người chơi (bao gồm cả những người bị động kinh và một số trường hợp chưa được chẩn đoán) có thể bị co giật, với các triệu chứng như chóng mặt, mặt tái nhợt, co giật mắt hoặc mặt, sùi bọt mép, mất phương hướng hoặc bất tỉnh, hoặc co thắt cơ không kiểm soát. Nếu bạn, gia đình hoặc người thân có các triệu chứng tương tự, vui lòng tham khảo ý kiến bác sĩ trước khi chơi game. Nếu bạn gặp bất kỳ triệu chứng nào kể trên trong khi chơi, hãy dừng chơi ngay lập tức, tìm kiếm sự trợ giúp y tế càng sớm càng tốt và làm theo lời khuyên của bác sĩ.",
lang_hot_patch.db,HotPatchText,Id,SplashLoading,Content,general,translated,,PASS,10,,,,,Game loading...,Đang tải trò chơi...,
lang_hot_patch.db,HotPatchText,Id,SplashHealthyGamingAdvisory,Content,general,translated,,PASS,10,,,,,"Say no to inappropriate game content or pirated games.
Keep your personal information private to avoid scams.
Play responsibly for a safe and fun gaming experience.
Arrange your time reasonably for a healthy lifestyle.","Nói không với nội dung game không phù hợp hoặc game lậu.
Bảo vệ thông tin cá nhân để tránh lừa đảo.
Chơi game có trách nhiệm để có trải nghiệm an toàn và vui vẻ.
Sắp xếp thời gian hợp lý để duy trì lối sống lành mạnh.",
lang_hot_patch.db,HotPatchText,Id,SplashCopyrightInformation,Content,general,translated,,PASS,10,,,,,License & ISBN: 国新出审〔2023〕1802号 ISBN 978-7-498-12761-7 Publisher: 成都盈众九州网络科技有限公司 Copyright: 广州库洛科技有限公司,Giấy phép & ISBN: Quốc Tân Xuất Thẩm [2023] 1802号 ISBN 978-7-498-12761-7 Nhà xuất bản: Thành Đô Doanh Chúng Cửu Châu Mạng Lưới Khoa Học Kỹ Thuật Hữu Hạn Công Ty Bản quyền: Quảng Châu Khố Lạc Khoa Học Kỹ Thuật Hữu Hạn Công Ty,
lang_hot_patch.db,HotPatchText,Id,GetRemoteConfigFailed,Content,general,translated,,PASS,10,,,,,Failed to apply Remote Configuration. Please check your network connection and restart the game client.,Không thể áp dụng Cấu Hình Từ Xa. Vui lòng kiểm tra kết nối mạng và khởi động lại trò chơi.,
