en_source,vn_translate,loi_du_doan
Leave Sonoro Sphere,Rời khỏi Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Defeat the Reactor Husk,Đánh bại Reactor Husk,C?n ti?ng Anh nghi v?n: Husk; Reactor | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leave Sonoro Sphere,Rời khỏi Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Defeat Mourning Aix,Đánh bại Mourning Aix,C?n ti?ng Anh nghi v?n: Aix; Mourning | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leave Sonoro Sphere,Rời khỏi Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Defeat the Dragon of Dirge,Tiêu diệt Dragon Dirge,C?n ti?ng Anh nghi v?n: Dirge; Dragon | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leave Sonoro Sphere,Rời khỏi Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leave Sonoro Sphere,Rời khỏi Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Defeat Feilian Beringal,Đánh bại Feilian Beringal,C?n ti?ng Anh nghi v?n: Beringal; Feilian | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leave Sonoro Sphere,Rời khỏi Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Defeat the Lampylumen Myriad,Đánh bại Lampylumen Myriad,C?n ti?ng Anh nghi v?n: Lampylumen; Myriad | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leave Sonoro Sphere,Rời khỏi Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leave the Sonoro Sphere,Rời Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Defeat Sentry Construct,Đánh bại Sentry Construct,C?n ti?ng Anh nghi v?n: Construct; Sentry | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leave Sonoro Sphere,Rời khỏi Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Defeat Mech Abomination,Đánh bại Mech Abomination,C?n ti?ng Anh nghi v?n: Abomination; Mech | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leave Sonoro Sphere,Rời khỏi Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Defeat the Inferno Rider,Đánh bại Inferno Rider,C?n ti?ng Anh nghi v?n: Inferno; Rider | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leave Sonoro Sphere,Rời khỏi Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leave Sonoro Sphere,Rời khỏi Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leave Sonoro Sphere,Rời khỏi Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leave Sonoro Sphere,Rời khỏi Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Defeat Tempest Mephis,Đánh bại Tempest Mephis,C?n ti?ng Anh nghi v?n: Mephis; Tempest | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leave Sonoro Sphere,Rời khỏi Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leave Sonoro Sphere,Rời khỏi Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Defeat Nameless Explorer,Hạ gục Nameless Explorer,C?n ti?ng Anh nghi v?n: Explorer; Nameless | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Leave Sonoro Sphere,Rời khỏi Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Explore the Sonoro Sphere,Khám phá Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Enter the Sonoro Sphere,Vào Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Enter the Sonoro Sphere,Vào Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sphere | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Defeat Thundering Mephis,Đánh bại Thundering Mephis,C?n ti?ng Anh nghi v?n: Mephis; Thundering | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Inspect the Symphodai,Inspect Symphodai,C?n ti?ng Anh nghi v?n: Inspect; Symphodai | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Place Sonodisk: Yu,Đặt Sonodisk: Yu,C?n ti?ng Anh nghi v?n: Sonodisk; Yu | S? t?/c?m nghi v?n: 2 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
