severity,suspicious_count,ratio,words,domain,file,primary_key,translation,source_en
31.0,5,0.5,Attack; Heavy; Liberation; Normal,echo_set,mistral_translate_work\split_by_prompt\json\echo_set\lang_phantom\lang_phantom__echo_set__part_0001.json,8,"Sau khi sử dụng Resonance Liberation, DMG gây ra bởi Normal Attack và Heavy Attack tăng 50%. Hiệu ứng kéo dài 10 giây.","After Resonance Liberation is released, damage dealt by normal attacks and charged attacks are increased by 50%. Lasts 10 seconds."
29.33,7,0.333,Dodge; Electrified; Extreme; Hyper; Liberation; Skill,echo_set,mistral_translate_work\split_by_prompt\json\echo_set\lang_phantom\lang_phantom__echo_set__part_0001.json,2,"Sau khi sử dụng Resonance Skill, Electro DMG của bạn tăng 15%, và Electro DMG gây ra cho kẻ địch đang chịu Electrified hoặc Hyper-Electrified tăng 20% trong 12 giây. Trong 4 giây sau khi sử dụng Resonance Liberation hoặc thực hiện Extreme Dodge, các hiệu ứng trên tăng thêm 50%, tối đa 100%.","After Resonance Skill is released, your Electro damage is increased by 15%, and Electro damage you deal to enemies Electrified or Hyper-Electrified is increased by 20% for 12 seconds. In the 4 seconds after Resonance Liberation is released or Extreme Dodge is performed, the above effects are increased by 50%, up to 100%."
19.0,3,1.0,by; Health; increases,echo_set,mistral_translate_work\split_by_prompt\json\echo_set\lang_phantom\lang_phantom__echo_set__part_0001.json,53,Health increases by 12.8%.,Health increases by 12.8%.
19.0,2,1.0,Journey; test,echo_set,mistral_translate_work\split_by_prompt\json\echo_set\lang_phantom\lang_phantom__echo_set__part_0001.json,16,test/Journey Không. 5,test/Journey No. 5
19.0,2,1.0,Journey; test,echo_set,mistral_translate_work\split_by_prompt\json\echo_set\lang_phantom\lang_phantom__echo_set__part_0001.json,18,test/Journey Không. 5,test/Journey No. 5
19.0,2,1.0,Journey; test,echo_set,mistral_translate_work\split_by_prompt\json\echo_set\lang_phantom\lang_phantom__echo_set__part_0001.json,19,test/Journey Không. 4,test/Journey No. 4
19.0,2,1.0,Journey; test,echo_set,mistral_translate_work\split_by_prompt\json\echo_set\lang_phantom\lang_phantom__echo_set__part_0001.json,21,test/Journey Không. 4,test/Journey No. 4
19.0,2,1.0,Journey; test,echo_set,mistral_translate_work\split_by_prompt\json\echo_set\lang_phantom\lang_phantom__echo_set__part_0001.json,31,test/Journey Số 3,test/Journey No. 3
19.0,2,1.0,Journey; test,echo_set,mistral_translate_work\split_by_prompt\json\echo_set\lang_phantom\lang_phantom__echo_set__part_0001.json,33,test/Journey Số 3,test/Journey No. 3
18.9,4,0.19,Effect; Spirit; Spirits; Up,echo_set,mistral_translate_work\split_by_prompt\json\echo_set\lang_phantom\lang_phantom__echo_set__part_0001.json,65,"Mỗi 20 giây, khi Concerto Effect được kích hoạt, nhận 5 Glacio DMG Spirits tồn tại trong 20 giây. Trong thời gian này, mỗi khi gây Glacio DMG, tiêu hao 1 Glacio DMG Spirit để tăng Glacio DMG đó thêm 40%. DMG Up theo cách này chỉ có thể kích hoạt mỗi 0.5 giây một lần.","Once every 20 seconds, when Concerto Effect is triggered, gain 5 Ice Spirits that last for 20 seconds. During this period, every time Glacio damage is done, 1 Ice Spirit is consumed to raise that Glacio damage by 40%. Damage increase done in this way can be triggered only once in every 0.5 second."
