en_source,vn_translate,loi_du_doan
A Whispering Melody,A Whispering Melody,C?n ti?ng Anh nghi v?n: A; Melody; Whispering | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Pale Blue Dot,Pale Blue Dot,C?n ti?ng Anh nghi v?n: Blue; Dot; Pale | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"""Hey, KU-Roro""","""Hey, KU-Roro""",C?n ti?ng Anh nghi v?n: Hey; KU; Roro | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Yet Another Sunrise,Yet Another Sunrise,C?n ti?ng Anh nghi v?n: Another; Sunrise; Yet | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Bubble Bath Era,Bubble Bath Era,C?n ti?ng Anh nghi v?n: Bath; Bubble; Era | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Octopus Never Sleeps,Octopus Never Sleeps,C?n ti?ng Anh nghi v?n: Never; Octopus; Sleeps | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Special Grade Spirit,Special Grade Spirit,C?n ti?ng Anh nghi v?n: Grade; Special; Spirit | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Miss Golden Week,Miss Golden Week,C?n ti?ng Anh nghi v?n: Golden; Miss; Week | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Fus Ro Dah,Fus Ro Dah,C?n ti?ng Anh nghi v?n: Dah; Fus; Ro | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
I Barely Tried,I Barely Tried,C?n ti?ng Anh nghi v?n: Barely; I; Tried | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Plushie - Mega Evolution,Plushie - Mega Evolution,C?n ti?ng Anh nghi v?n: Evolution; Mega; Plushie | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Salvation Lies Within,Salvation Lies Within,C?n ti?ng Anh nghi v?n: Lies; Salvation; Within | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Enhanced Dragon Slave,Enhanced Dragon Slave,C?n ti?ng Anh nghi v?n: Dragon; Enhanced; Slave | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dragon Slayer Magic,Dragon Slayer Magic,C?n ti?ng Anh nghi v?n: Dragon; Magic; Slayer | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
One Hundred Shots,One Hundred Shots,C?n ti?ng Anh nghi v?n: Hundred; One; Shots | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"No Liz, But Strange Birds","Không Liz, Nhưng Strange Birds",C?n ti?ng Anh nghi v?n: Birds; Liz; Strange | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Recoil: Inferno Rider,Recoil: Inferno Rider,C?n ti?ng Anh nghi v?n: Inferno; Recoil; Rider | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Recoil: Mourning Aix,Recoil: Mourning Aix,C?n ti?ng Anh nghi v?n: Aix; Mourning; Recoil | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Recoil: Thundering Mephis,Recoil: Thundering Mephis,C?n ti?ng Anh nghi v?n: Mephis; Recoil; Thundering | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lush Garden's Keeper,Lush Garden's Keeper,C?n ti?ng Anh nghi v?n: Garden's; Keeper; Lush | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Mild Combat,A Mild Combat,C?n ti?ng Anh nghi v?n: A; Combat; Mild | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Warm Yet Solitary,Warm Yet Solitary,C?n ti?ng Anh nghi v?n: Solitary; Warm; Yet | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
