database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_condition.db,Condition,Id,656,Content,general,translated,,PASS,10,,,,,Crownless,Crownless,
lang_condition.db,Condition,Id,657,Content,general,translated,,PASS,10,,,,,Bell-Borne Geochelone,Bell-Borne Geochelone,
lang_condition.db,Condition,Id,658,Content,general,translated,,PASS,10,,,,,Seatrail Narwhal,Kỳ Lân Biển Seatrail,
lang_condition.db,Condition,Id,659,Content,general,translated,,PASS,10,,,,,Thunder Squama,Vảy Sấm Sét,
lang_condition.db,Condition,Id,660,Content,general,translated,,PASS,10,,,,,Inferno Rider,Inferno Rider,
lang_condition.db,Condition,Id,661,Content,general,translated,,PASS,10,,,,,Gleamtender,Ánh Sáng Dịu Dàng,
lang_condition.db,Condition,Id,662,Content,general,translated,,REVIEW,6,same_as_source,,,,Feilian Beringal,Feilian Beringal,
lang_condition.db,Condition,Id,663,Content,general,translated,,PASS,10,,,,,Impermanence Heron,Impermanence Heron,
lang_condition.db,Condition,Id,664,Content,general,translated,,PASS,10,,,,,Fusion Prism,Fusion Prism,
lang_condition.db,Condition,Id,665,Content,general,translated,,PASS,10,,,,,Glacio Prism,Glacio Prism,
lang_condition.db,Condition,Id,666,Content,general,translated,,PASS,10,,,,,Spectra Prism,Lăng Kính Phổ,
lang_condition.db,Condition,Id,667,Content,general,translated,,PASS,10,,,,,Rupture Prism,Lăng Kính Đột Phá,
lang_condition.db,Condition,Id,668,Content,general,translated,,PASS,10,,,,,Flute Instrumentalist,Nghệ Nhân Sáo,
lang_condition.db,Condition,Id,669,Content,general,translated,,PASS,10,,,,,Tambourine Instrumentalist,Nghệ Sĩ Trống Lắc,
lang_condition.db,Condition,Id,670,Content,general,translated,,PASS,10,,,,,Rocksteady Guardian,Rocksteady Guardian,
lang_condition.db,Condition,Id,671,Content,general,translated,,PASS,10,,,,,Chasm Guardian,Người Bảo Vệ Vực Sâu,
lang_condition.db,Condition,Id,672,Content,general,translated,,PASS,10,,,,,Stonewall Bracer,Băng Tay Đá Tảng,
lang_condition.db,Condition,Id,677,Content,general,translated,,PASS,10,,,,,Fusion Warrior,Chiến Binh Fusion,
lang_condition.db,Condition,Id,678,Content,general,translated,,PASS,10,,,,,Rupture Warrior,Chiến Binh Đứt Gãy,
lang_condition.db,Condition,Id,679,Content,general,translated,,PASS,10,,,,,Glacio Predator,Thú Dữ Glacio,
lang_condition.db,Condition,Id,680,Content,general,translated,,PASS,10,,,,,Pneuma Predator,Thú Dữ Pneuma,
lang_condition.db,Condition,Id,681,Content,general,translated,,PASS,10,,,,,Impulse Predator,Thú Dữ Dội,
lang_condition.db,Condition,Id,683,Content,general,translated,,REVIEW,6,same_as_source,,,,Excarat,Excarat,
lang_condition.db,Condition,Id,684,Content,general,translated,,REVIEW,6,same_as_source,,,,Gulpuff,Gulpuff,
lang_condition.db,Condition,Id,685,Content,general,translated,,REVIEW,6,same_as_source,,,,Chirpuff,Chirpuff,
lang_condition.db,Condition,Id,686,Content,general,translated,,PASS,10,,,,,Cyan-Feathered Heron,Cyan-Feathered Heron,
lang_condition.db,Condition,Id,687,Content,general,translated,,PASS,10,,,,,Violet-Feathered Heron,Violet-Feathered Heron,
lang_condition.db,Condition,Id,688,Content,general,translated,,REVIEW,6,same_as_source,,,,Lil Geohide Saurian,Lil Geohide Saurian,
lang_condition.db,Condition,Id,689,Content,general,translated,,PASS,10,,,,,Sabyr Boar,Lợn Rừng Sabyr,
lang_condition.db,Condition,Id,690,Content,general,translated,,PASS,10,,,,,Cruisewing,Cruisewing,
lang_condition.db,Condition,Id,691,Content,general,translated,,REVIEW,6,same_as_source,,,,Hoochief,Hoochief,
lang_condition.db,Condition,Id,692,Content,general,translated,,PASS,10,,,,,Spearback Ursa,Spearback Ursa,
lang_condition.db,Condition,Id,693,Content,general,translated,,PASS,10,,,,,Frostbite Tertoise,Rùa Băng Giá,
lang_condition.db,Condition,Id,694,Content,general,translated,,PASS,10,,,,,Cyrscorpion,Bọ Cạp Cyr,
lang_condition.db,Condition,Id,695,Content,general,translated,,PASS,10,,,,,Shadow Dreadmane,Ác Mộng Bóng Tối,
lang_condition.db,Condition,Id,696,Content,general,translated,,PASS,10,,,,,Exile Leader,Thủ Lĩnh Lưu Đày,
lang_condition.db,Condition,Id,697,Content,general,translated,,PASS,10,,,,,Resonator Exile,Lưu Đày Resonator,
lang_condition.db,Condition,Id,698,Content,general,translated,,PASS,10,,,,,Fractsidus Executioner,Đao Phủ Fractsidus,
lang_condition.db,Condition,Id,699,Content,general,translated,,PASS,10,,,,,Thermo Dreadmane,Quái Thú Nhiệt Dreadmane,
lang_condition.db,Condition,Id,710,Content,general,translated,,REVIEW,6,same_as_source,,,,Zig Zag,Zig Zag,
lang_condition.db,Condition,Id,711,Content,general,translated,,PASS,10,,,,,Whiff Whoosh,Whiff Whoosh,
lang_condition.db,Condition,Id,712,Content,general,translated,,REVIEW,6,same_as_source,,,,Tic Tac,Tic Tac,
lang_condition.db,Condition,Id,713,Content,general,translated,,REVIEW,6,same_as_source,,,,Fission Junrock,Fission Junrock,
lang_condition.db,Condition,Id,714,Content,general,translated,,REVIEW,6,same_as_source,,,,Chaserazor,Chaserazor,
lang_condition.db,Condition,Id,715,Content,general,translated,,PASS,10,,,,,Mourning Aix,Mourning Aix,
lang_condition.db,Condition,Id,716,Content,general,translated,,PASS,10,,,,,Cruisewing,Cruisewing,
lang_condition.db,Condition,Id,793,Content,general,translated,,PASS,10,,,,,Exploration Tools,Dụng Cụ Thám Hiểm,
lang_condition.db,Condition,Id,795,Content,general,translated,,PASS,10,,,,,Field Sampling,Lấy Mẫu Tại Chỗ,
lang_condition.db,Condition,Id,798,Content,general,translated,,PASS,10,,,,,Prestige,Uy Tín,
lang_condition.db,Condition,Id,799,Content,general,translated,,PASS,10,,,,,Cooking,Nấu ăn,
