database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_favor.db,FavorRoleInfo,Id,3,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,4,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,5,Content,general,translated,,PASS,10,,,,,"Member of the Obsecurers, a girl who has a special sense with the flow of wind, has the ability to listen to the sound of wind resonance. No matter what kind of difficult situation she is in, she always has a light smile on her face. If you want to protect your own beautiful existence, you also have the awareness to turn the gentleness into a sharp edge.","Là thành viên của Obsecurers, một cô gái có giác quan đặc biệt với luồng gió, có khả năng lắng nghe âm thanh cộng hưởng của gió. Dù ở trong tình huống khó khăn nào, nụ cười nhẹ nhàng vẫn luôn hiện trên môi cô. Nếu muốn bảo vệ những điều đẹp đẽ của riêng mình, cô cũng sẵn sàng mài dũa sự dịu dàng thành lưỡi dao sắc bén.",
lang_favor.db,FavorRoleInfo,Id,6,Content,general,translated,,PASS,10,,,,,Of Wind and Feathers,Gió và Lông Vũ,
lang_favor.db,FavorRoleInfo,Id,11,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,12,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,13,Content,general,translated,,PASS,10,,,,,"Member of the Ministry of Development, can turn enthusiasm into ammunition, her enthusiasm and her ammunition as never-ending self-proclaimed partner of justice, always full of energy shuttle in the streets of the city of heaven where there are people in need of help, where there will be her figure","Thành viên của Bộ Phát Triển, có thể biến nhiệt huyết thành đạn dược, sự nhiệt tình và kho đạn của cô ấy tự xưng là đồng minh của công lý, luôn tràn đầy năng lượng len lỏi trong những con phố của thành phố thiên đường nơi có người cần giúp đỡ, và cô ấy sẽ xuất hiện ở đó",
lang_favor.db,FavorRoleInfo,Id,14,Content,general,translated,,PASS,10,,,,,The Ever Burning Flame,Ngọn Lửa Cháy Bất Tận,
lang_favor.db,FavorRoleInfo,Id,19,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,20,Content,general,translated,,PASS,10,,,,,Huanglong Academy,Học viện Huanglong,
lang_favor.db,FavorRoleInfo,Id,25,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,27,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,"Huanglong
```",
lang_favor.db,FavorRoleInfo,Id,28,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,29,Content,general,translated,,PASS,10,,,,,"A Resonator, whose origin is unknown, has the power to absorb all sounds, and in order to find memories and embark on a journey to continuously establish links with others, so that the original empty heart is gradually filled with precious emotions and memories","Một Resonator với nguồn gốc không rõ ràng, có khả năng hấp thụ mọi âm thanh. Để tìm lại ký ức và bắt đầu hành trình kết nối không ngừng với những người khác, trái tim vốn trống rỗng của họ dần dần được lấp đầy bởi những cảm xúc và kỷ niệm quý giá.",
lang_favor.db,FavorRoleInfo,Id,30,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,31,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,32,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,35,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,36,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,37,Content,general,translated,,PASS,10,,,,,"Jin'xi's close guard, who had personally buried the sin under the snow, also infected with abnormal vision in the eyes of San'hua, everything in the world will be distorted into strange shapes, only Imaishi is normal and pure, not alienated reality","Người cận vệ thân tín của Jin'xi – người từng đích thân chôn vùi tội lỗi dưới lớp tuyết – cũng bị nhiễm ảo giác dị thường trong đôi mắt của San'hua. Mọi thứ trên thế giới đều méo mó thành những hình thù kỳ quái, duy chỉ có Imaishi là bình thường và thuần khiết, không bị thực tại tha hóa.",
lang_favor.db,FavorRoleInfo,Id,38,Content,general,translated,,PASS,10,,,,,Snow Dance Flora,Vũ Điệu Tuyết Hoa,
lang_favor.db,FavorRoleInfo,Id,43,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,44,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,45,Content,general,translated,,PASS,10,,,,,"Acting Chief of Ministry of Development, inherited the ""power of the Xuanwu"" leisurely nature, relaxed, seemingly lazy, but in fact very serious and responsible, understanding every detail of Heavenly Work, and then the complicated affairs can also be handled in an orderly manner","Quan Chức Quyền Hành Pháp tạm quyền của Bộ Phát Triển, thừa hưởng ""sức mạnh Huyền Vũ"" với tính cách thư thái, thoải mái, có vẻ lười biếng nhưng thực chất rất nghiêm túc và có trách nhiệm, am tường mọi chi tiết trong Thiên Công, từ đó có thể xử lý các công việc phức tạp một cách trật tự.
```",
lang_favor.db,FavorRoleInfo,Id,46,Content,general,translated,,PASS,10,,,,,Power of Xuanwu,Sức mạnh của Huyền Vũ,
lang_favor.db,FavorRoleInfo,Id,49,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,51,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,52,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,"Huanglong
```",
lang_favor.db,FavorRoleInfo,Id,53,Content,general,translated,,PASS,10,,,,,"A Resonator, whose origin is unknown, has the power to absorb all sounds, and in order to find memories and embark on a journey to continuously establish links with others, so that the original empty heart is gradually filled with precious emotions and memories","Một Resonator có nguồn gốc bí ẩn, sở hữu sức mạnh hấp thụ mọi âm thanh. Để tìm lại ký ức và bắt đầu hành trình kết nối không ngừng với những người khác, trái tim vốn trống rỗng của họ dần được lấp đầy bởi những cảm xúc và kỷ niệm quý giá.",
lang_favor.db,FavorRoleInfo,Id,54,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,55,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,56,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,59,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,60,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,61,Content,general,translated,,PASS,10,,,,,"An archaeologist at the Hwonglun, she is attached to a remnant creature called the ""You Tan"" and hates to get entangled with others, and pursues the extreme rational principle of ""self-responsibility"", often exploring ruins alone.","Một nhà khảo cổ học tại Hwonglun, gắn bó với sinh vật tàn tích gọi là ""You Tan"" và không thích bị vướng bận với người khác, theo đuổi nguyên tắc duy lý cực đoan ""tự chịu trách nhiệm"", thường xuyên một mình thám hiểm các tàn tích.",
lang_favor.db,FavorRoleInfo,Id,62,Content,general,translated,,PASS,10,,,,,Sadness Enshroud,Sadness Enshroud,
lang_favor.db,FavorRoleInfo,Id,67,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,68,Content,general,translated,,PASS,10,,,,,Black Shores,Bờ Biển Đen,
lang_favor.db,FavorRoleInfo,Id,69,Content,general,translated,,PASS,10,,,,,"Member of the Black Shores, the new federal origin was illegally transformed by the dark past into a black sheep, and the simple good nature of the white sheep wrestle with each other like the dawn piercing the night, An'ke's cheerfulness shines around, but few people know her fear of facing the darkness directly","Là một thành viên của Bờ Biển Đen, nguồn gốc liên bang mới của cô đã bị biến đổi bất hợp pháp bởi quá khứ đen tối, trở thành một ""con cừu đen"". Bản tính lương thiện giản dị của ""con cừu trắng"" bên trong cô giằng co nhau như ánh bình minh xuyên qua màn đêm. Niềm vui lạc quan của An'ke tỏa sáng xung quanh, nhưng ít ai biết được nỗi sợ hãi của cô khi phải đối diện trực tiếp với bóng tối.",
lang_favor.db,FavorRoleInfo,Id,70,Content,general,translated,,PASS,10,,,,,Yin Yang Sheep,Dương Âm Dương,
lang_favor.db,FavorRoleInfo,Id,75,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,76,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,77,Content,general,translated,,PASS,10,,,,,"Member of the Obsecurers, with strong psychic powers, while suffering from the pain of the withered kinship thirst for family love almost paranoid, if someone dares to hurt her ""family"", even if they do their best, will not tolerate","Là thành viên của Obsecurers, sở hữu năng lực tâm linh mạnh mẽ, nhưng lại phải chịu đựng nỗi đau từ mối quan hệ gia tộc khô héo. Khao khát tình cảm gia đình đến mức gần như hoang tưởng, nếu ai dám động đến ""gia đình"" của cô, dù cố gắng hết sức, cô cũng sẽ không tha thứ.",
lang_favor.db,FavorRoleInfo,Id,78,Content,general,translated,,PASS,10,,,,,Crimson Blades,Crimson Blades,
lang_favor.db,FavorRoleInfo,Id,83,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,84,Content,general,translated,,PASS,10,,,,,Black Shores,Bờ Biển Đen,
lang_favor.db,FavorRoleInfo,Id,91,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,92,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,"Huanglong
```",
lang_favor.db,FavorRoleInfo,Id,99,Content,general,translated,,REVIEW,6,same_as_source,,,,Huanglong,Huanglong,
lang_favor.db,FavorRoleInfo,Id,100,Content,general,translated,,PASS,10,,,,,Huanglong Academy,Học viện Huanglong,
