database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_speaker.db,Speaker,Id,10,Content,dialogue,translated,,PASS,10,,,,,Bailian,Bách Luyện,
lang_speaker.db,Speaker,Id,42,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,An'ke,An'ke,
lang_speaker.db,Speaker,Id,99,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Taoqi,Taoqi,
lang_speaker.db,Speaker,Id,101,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,San'hua,San'hua,
lang_speaker.db,Speaker,Id,105,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Taoqi,Taoqi,
lang_speaker.db,Speaker,Id,111,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Danjin,Danjin,
lang_speaker.db,Speaker,Id,115,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Chixia,Chixia,
lang_speaker.db,Speaker,Id,125,Content,dialogue,translated,,PASS,10,,,,,Exile Commoner,Dân Lưu Đày Thường,
lang_speaker.db,Speaker,Id,127,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Yangyang,Yangyang,
lang_speaker.db,Speaker,Id,149,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Aalto,Aalto,
lang_speaker.db,Speaker,Id,151,Content,dialogue,translated,,PASS,10,,,,,Exile Leader,Thủ Lĩnh Lưu Đày,
lang_speaker.db,Speaker,Id,181,Content,dialogue,translated,,PASS,10,,,,,Unknown signal,Tín hiệu lạ,
lang_speaker.db,Speaker,Id,209,Content,dialogue,translated,,PASS,10,,,,,Gleamtender,Ánh Sáng Dịu Dàng,
lang_speaker.db,Speaker,Id,215,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Yangyang,Yangyang,
lang_speaker.db,Speaker,Id,223,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,San'hua,San'hua,
lang_speaker.db,Speaker,Id,387,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Taoqi,Taoqi,
lang_speaker.db,Speaker,Id,427,Content,dialogue,translated,,PASS,10,,,,,An'ke?,An'ke à?,
lang_speaker.db,Speaker,Id,497,Content,dialogue,translated,,PASS,10,,,,,Rover,Vận Mệnh Giả,
lang_speaker.db,Speaker,Id,577,Content,dialogue,translated,,PASS,10,,,,,Black-Striped Frog,Ếch Sọc Đen,
lang_speaker.db,Speaker,Id,655,Content,dialogue,translated,,PASS,10,,,,,Environment assessment module,Mô-đun Đánh Giá Môi Trường,
lang_speaker.db,Speaker,Id,663,Content,dialogue,translated,,PASS,10,,,,,Scar,Vết Sẹo,
lang_speaker.db,Speaker,Id,669,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Yangyang,Yangyang,
lang_speaker.db,Speaker,Id,741,Content,dialogue,translated,,PASS,10,,,,,Young girl,Cô bé,
lang_speaker.db,Speaker,Id,889,Content,dialogue,translated,,PASS,10,,,,,Crownless,Vô Đỉnh,
lang_speaker.db,Speaker,Id,2916,Content,dialogue,translated,,PASS,10,,,,,Gleamtender,Ánh Sáng Dịu Dàng,
lang_speaker.db,Speaker,Id,2920,Content,dialogue,translated,,PASS,10,,,,,Gleamtender,Ánh Sáng Dịu Dàng,
lang_speaker.db,Speaker,Id,3424,Content,dialogue,translated,,PASS,10,,,,,Gleamtender,Ánh Sáng Dịu Dàng,
lang_speaker.db,Speaker,Id,3456,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Aalto,Aalto,
lang_speaker.db,Speaker,Id,4903,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,San'hua,San'hua,
lang_speaker.db,Speaker,Id,4906,Content,dialogue,translated,,REVIEW,6,same_as_source,,,,Taoqi,Taoqi,
