priority,phrase,count,sample_file,sample_key,sample_translation,sample_source
1,peaks of prestige,384,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0020.json,GuideFocusNew_20830_Content,"Duelist, chào mừng đến với Peaks of Prestige! Tôi sẽ hướng dẫn bạn các quy tắc cơ bản của trò chơi.","Duelist, welcome to the Peaks of Prestige! I'll be teaching you the basic rules of the game."
1,mid-air attack,362,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_8522_MonsterTips,"Trong thử thách này:
<color=Highlight>Changli</color> duy trì trạng thái <color=Highlight>True Sight</color>.
Chi phí STA khi bay được giảm.

Buff chính: <color=Highlight>Mid-air Attack</color> triệu hồi Thiên Thạch khi trúng đích, gây Fusion DMG.","In this challenge:
<color=Highlight>Changli</color> remains in the <color=Highlight>True Sight</color> state.
Flight STA cost is reduced.

Key Buff: <color=Highlight>Mid-air Attack</color> summons a Meteorite on hit, dealing Fusion DMG."
1,higher res,300,mistral_translate_work\split_by_prompt\json\skill_description\lang_multi_text\lang_multi_text__skill_description__part_0004.json,Morale_flagdesc_map_1,"Kẻ địch có <color=HighlightB>higher RES</color> đối với <color=Thunder>Electro DMG</color>.

<color=#767676>A humanoid Tacet Discord with a body assembled from shattered stained glass. Glittering lights beam from its body with each move. It exudes a resilient beauty born of rebirth through destruction.
The stained glasses that form the Vitreum Dancers are varied and unique, making each Vitreum Dancer a unique existence.</color>","The enemies have a <color=HighlightB>higher RES</color> against <color=Thunder>Electro DMG</color>.

<color=#767676> A humanoid Tacet Discord with a body assembled from shattered stained glass. Glittering lights beam from its body with each move. It exudes a resilient beauty born of rebirth through destruction.
The stained glasses that form the Vitreum Dancers are varied and unique, making each Vitreum Dancer a unique existence.</color>"
1,talk,277,mistral_translate_work\split_by_prompt\json\quest\lang_multi_text\lang_multi_text__quest__part_0001.json,Quest_139900000_InteractContent_139_1,Talk,Talk
1,test,212,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0001.json,PrefabTextItem_Default_Text,test/Văn bản kiểm thử. Vui lòng sửa cấu hình!,test/Testing text. Please modify the configuration!
1,attack,107,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0017.json,GuideFocusNew_1478_Content,Tiêu hao 50% Tỷ lệ Đồng bộ để tung đòn Attack Đồng bộ Nâng cao,Consume 50% Synchronization Rate to launch Enhanced Sync Attack
1,challenge,107,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0013.json,InstanceDungeon_93_MapName,test 子 Challenge 相关测试,test 子 Challenge 相关测试
1,basic attack stage,106,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0018.json,GuideFocusNew_1157_Content,"{0} Khi Jinhsi sử dụng <color=Highlight>Basic Attack Stage 4</color>, Resonance Skill của cô sẽ được thay thế bằng Resonance Skill: <color=Highlight>Overflowing Radiance</color>.","{0} When Jinhsi casts <color=Highlight>Basic Attack Stage 4</color>, her Resonance Skill is replaced with Resonance Skill: <color=Highlight>Overflowing Radiance</color>."
1,yes,106,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0014.json,Guide_YCHC_3_7,"Yes. Sau khi mỗi Faded Zone được khôi phục, chúng ta chỉ cần tìm một nghệ nhân đáng tin cậy để tô màu lên thôi.","Yes. After every Faded Zone is restored, finding a reliable artist to fill in the colors is all we need to do."
1,rate,101,mistral_translate_work\split_by_prompt\json\ui\lang_multi_text\lang_multi_text__ui__part_0001.json,PrefabTextItem_630318351_Text,Crit. Rate,Crit. Rate
