database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_phantom.db,PhantomItem,Id,1,Content,item,translated,,PASS,10,,,,,Vanguard Junrock,Vanguard Junrock,
lang_phantom.db,PhantomItem,Id,2,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,4,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,5,Content,item,translated,,PASS,10,,,,,Vanguard Junrock,Vanguard Junrock,
lang_phantom.db,PhantomItem,Id,6,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,8,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,9,Content,item,translated,,PASS,10,,,,,Vanguard Junrock,Vanguard Junrock,
lang_phantom.db,PhantomItem,Id,10,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,12,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,13,Content,item,translated,,PASS,10,,,,,Vanguard Junrock,Vanguard Junrock,
lang_phantom.db,PhantomItem,Id,14,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,16,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,17,Content,item,translated,,REVIEW,6,same_as_source,,,,Fission Junrock,Fission Junrock,
lang_phantom.db,PhantomItem,Id,18,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,20,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,21,Content,item,translated,,REVIEW,6,same_as_source,,,,Fission Junrock,Fission Junrock,
lang_phantom.db,PhantomItem,Id,22,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,24,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,25,Content,item,translated,,REVIEW,6,same_as_source,,,,Fission Junrock,Fission Junrock,
lang_phantom.db,PhantomItem,Id,26,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,28,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,29,Content,item,translated,,REVIEW,6,same_as_source,,,,Fission Junrock,Fission Junrock,
lang_phantom.db,PhantomItem,Id,30,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,32,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,33,Content,item,translated,,PASS,10,,,,,Impulse Predator,Impulse Predator,
lang_phantom.db,PhantomItem,Id,34,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,36,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,37,Content,item,translated,,PASS,10,,,,,Impulse Predator,Impulse Predator,
lang_phantom.db,PhantomItem,Id,38,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,40,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,41,Content,item,translated,,PASS,10,,,,,Impulse Predator,Impulse Predator,
lang_phantom.db,PhantomItem,Id,42,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,44,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,45,Content,item,translated,,PASS,10,,,,,Impulse Predator,Impulse Predator,
lang_phantom.db,PhantomItem,Id,46,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,48,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,49,Content,item,translated,,PASS,10,,,,,Fusion Warrior,Fusion Warrior,
lang_phantom.db,PhantomItem,Id,50,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,52,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,53,Content,item,translated,,PASS,10,,,,,Fusion Warrior,Fusion Warrior,
lang_phantom.db,PhantomItem,Id,54,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,56,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,57,Content,item,translated,,PASS,10,,,,,Fusion Warrior,Fusion Warrior,
lang_phantom.db,PhantomItem,Id,58,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,60,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,61,Content,item,translated,,PASS,10,,,,,Fusion Warrior,Fusion Warrior,
lang_phantom.db,PhantomItem,Id,62,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,64,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,65,Content,item,translated,,PASS,10,,,,,Rupture Warrior,Rupture Warrior,
lang_phantom.db,PhantomItem,Id,66,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,68,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,69,Content,item,translated,,PASS,10,,,,,Rupture Warrior,Rupture Warrior,
lang_phantom.db,PhantomItem,Id,70,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,72,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,73,Content,item,translated,,PASS,10,,,,,Rupture Warrior,Rupture Warrior,
lang_phantom.db,PhantomItem,Id,74,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,76,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,77,Content,item,translated,,PASS,10,,,,,Rupture Warrior,Rupture Warrior,
lang_phantom.db,PhantomItem,Id,78,Content,item,translated,,PASS,10,,,,,Echo,Echo,
lang_phantom.db,PhantomItem,Id,80,Content,item,translated,,PASS,10,,,,,Wutrelic Unlocked.,Đã mở khóa Di Vật Wutrelic.,
lang_phantom.db,PhantomItem,Id,81,Content,item,translated,,PASS,10,,,,,Snip Snap,Snip Snap,
