en_source,vn_translate,loi_du_doan
But such weapons aren't particularly easy to find. The Expedition Team has several decommissioned Spacetrek Explorers rusting out in the wild. I've marked their locations on your map. Mind helping me track them down?,Nhưng loại vũ khí này không dễ kiếm đâu. Đội Thám Hiểm có mấy chiếc Spacetrek Explorer đã ngừng hoạt động đang hoen gỉ ngoài hoang dã. Tôi đã đánh dấu vị trí của chúng trên bản đồ của cậu. Giúp tôi tìm chúng được không?,C?n ti?ng Anh nghi v?n: Spacetrek | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
As for the leaked internal documents... We've verified that it's just preliminary research conducted on Void Storms by the Institute. The content is long outdated.,"Còn về những tài liệu nội bộ bị rò rỉ... Chúng tôi đã xác minh, chỉ là nghiên cứu sơ bộ về Void Storm của Viện. Nội dung đã lỗi thời từ lâu.",C?n ti?ng Anh nghi v?n: Void | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Its body was shattered, energy nearly depleted. And Voidmatter kept pouring through the Stridergate. Aleph-1 kept pushing, desperate to squeeze its whole disgusting bulk into this world.","Thân thể nó vỡ vụn, năng lượng gần như cạn kiệt. Và Vật Chất Hư Không vẫn không ngừng tràn qua Cổng Strider. Aleph-1 vẫn cố gắng đẩy toàn bộ khối thân kinh tởm của nó vào thế giới này.",C?n ti?ng Anh nghi v?n: Aleph | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Knowing the Fractsidus, stealing all that intel on the Overseers is risky, no matter how loose they are. Each infiltration will only be more dangerous than the last.","Biết rõ Fractsidus, việc đánh cắp thông tin về Overseers quả là mạo hiểm, dù chúng có lỏng lẻo đến đâu. Mỗi lần xâm nhập sẽ chỉ nguy hiểm hơn lần trước.",C?n ti?ng Anh nghi v?n: Overseers | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"That said, we can't ignore the risks that come with opening the Stridergate. I have someone in mind who could help. But first, let me have a quick word with her.","Nhưng mà, chúng ta không thể phớt lờ những rủi ro khi mở Cổng Stridergate. Tôi có người có thể giúp. Nhưng trước tiên, để tôi nói chuyện với cô ấy đã.",C?n ti?ng Anh nghi v?n: Stridergate | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Plus, it was ""fed"" a massive amount of data on Daigo to analyze and learn his psychological and behavioral patterns. There are still some subtle tells, though...","Ngoài ra, nó đã được ""nuôi dưỡng"" bằng một lượng dữ liệu khổng lồ về Daigo để phân tích và học hỏi các mẫu hành vi, tâm lý của hắn. Dù vậy, vẫn còn vài dấu hiệu tinh tế...",C?n ti?ng Anh nghi v?n: Daigo | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Understood. Frantz, please report to the Office of Academic Affairs within 24 hours to accept your inquiry. Otherwise, I will be forced to take necessary measures!","Đã rõ. Frantz, trong vòng 24 giờ, hãy đến Văn phòng Học vụ để nhận cuộc điều tra. Nếu không, ta sẽ buộc phải có biện pháp cần thiết!",C?n ti?ng Anh nghi v?n: Frantz | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"He's the most renowned professor in the field of Crystallized Energy Core Synthesis, and here I am, his least talented pupil, who's a little... ""distracted,"" if I might add.","Hắn là giáo sư lừng danh nhất trong lĩnh vực Synthesis Nhân Tâm Năng Lượng Kết Tinh, còn tôi thì... học trò kém cỏi nhất của hắn, lại còn hơi... ""lơ đễnh"" nữa.",C?n ti?ng Anh nghi v?n: Synthesis | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"He's the most renowned professor in the field of Crystallized Energy Core Synthesis, and here I am, his least talented pupil, who's a little... ""distracted,"" if I might add.","Hắn là giáo sư lừng danh nhất trong lĩnh vực Synthesis Nhân Tâm Năng Lượng Kết Tinh, còn tôi thì... học trò kém cỏi nhất của hắn, lại còn hơi... ""lơ đễnh"" nữa.",C?n ti?ng Anh nghi v?n: Synthesis | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"This specimen's roots go deep into the fissures. After the Exostrider-Threnodian battle, a massive amount of rubble collapsed in there. The roots and geological permeability were both damaged.","Rễ của mẫu vật này đâm sâu vào các khe nứt. Sau trận chiến giữa Exostrider và Threnodian, một lượng lớn đá vụn đã sụp đổ xuống đó. Rễ cây và khả năng thẩm thấu địa chất đều bị tổn hại.",C?n ti?ng Anh nghi v?n: Exostrider | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Babu is timid. At the station it stays. But it told me it made a new friend. What happens at the base is also part of the story. As important as fieldwork, yes?","Babu nhát lắm. Nó cứ ở mãi ga thôi. Nhưng mà nó bảo mình vừa có bạn mới đấy. Những chuyện xảy ra ở căn cứ cũng là một phần của câu chuyện, quan trọng không kém gì công tác thực địa nhỉ?",C?n ti?ng Anh nghi v?n: Babu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"By the way, recent datasets on ""{PlayerName}"" suggest that you're kind of a big deal. Both on and off campus. Academy folks? Roya? Apparently everyone loves you.","À này, dữ liệu gần đây về ""{PlayerName}"" cho thấy cậu cũng khá nổi tiếng đấy. Trong lẫn ngoài trường. Dân học viện? Roya? Hình như ai cũng quý cậu.",C?n ti?ng Anh nghi v?n: Roya | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Speaking just for myself, I was hoping you could keep an eye on how the students and Soliskin are getting along... You'd be good at it. Anyways, anything else you'd like to know?","Cá nhân tôi thì, tôi mong cậu có thể để mắt tới việc các học sinh và Soliskin hòa hợp với nhau thế nào... Cậu làm việc này rất tốt mà. À mà, còn gì cậu muốn biết không?",C?n ti?ng Anh nghi v?n: Soliskin | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"The contact speaks in a strange, raspy whisper, as if trying to share your pity and grief. 
Once he vanishes into the distance, Reynard steps forward, his body tense, eyes blazing with rage.","Giọng nói ấy thì thào khàn đặc, như thể cố chia sẻ nỗi thương cảm và đau buồn của cậu.
Khi hắn biến mất vào màn sương xa, Reynard bước tới, cơ thể căng cứng, đôi mắt rực lửa căm phẫn.",C?n ti?ng Anh nghi v?n: Reynard | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"He probably realized who you were as well. Explains why he made up an excuse and left in a hurry. Hmm... still running away from his problems, by the looks of it.","Chắc hắn cũng đã nhận ra cậu là ai rồi. Thế nên mới kiếm cớ chuồn đi vội vàng. Hmm... vẫn thế, trốn tránh vấn đề như mọi khi.",C?n ti?ng Anh nghi v?n: Hmm | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"At first, I thought that maybe Shifan started distancing himself from me because I couldn't continue to work on his project anymore. But deep down I knew he was not that kind of person.","Ban đầu, tôi cứ nghĩ Shifan xa lánh tôi vì tôi không thể tiếp tục làm dự án của cậu ấy nữa. Nhưng sâu thẳm trong lòng, tôi biết cậu ấy không phải kiểu người như vậy.",C?n ti?ng Anh nghi v?n: Shifan | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"With the Tidebreaker absent, the restless Reverberations of the departed likely accumulated in her body. Those lost souls were coaxing her to enchant the fishermen.","Vắng bóng Tidebreaker, những Dư Âm bất an của kẻ đã khuất tích tụ trong cơ thể cô. Những linh hồn lạc lối ấy đang xúi giục cô mê hoặc ngư dân.",C?n ti?ng Anh nghi v?n: Tidebreaker | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"Ciaccona joins you in returning to Ragunna City, where, as planned, you will make your final revelation. However, your actions have drawn the attention of the Order, and the Acolytes are closing in on you.","Ciaccona cùng cậu trở về Thành phố Ragunna, nơi theo kế hoạch, cậu sẽ tiết lộ sự thật cuối cùng. Nhưng hành động của cậu đã thu hút sự chú ý của Hội, và các Tín Đồ đang tiến gần đến chỗ các người.",C?n ti?ng Anh nghi v?n: Ciaccona | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"After escaping the city, Ciaccona is still filled with excitement for finally revealing the truth. You stop for a moment, and in her emotional state, she plays a song for you.","Sau khi trốn khỏi thành phố, Ciaccona vẫn tràn đầy hứng khởi vì cuối cùng cũng vén màn sự thật. Cậu dừng chân một lúc, và trong lúc xúc động, cô ấy đã chơi một bản nhạc tặng cậu.",C?n ti?ng Anh nghi v?n: Ciaccona | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"In the Realm of Melodies, you witness the Poets Society facing interrogation by the Order. Despite the pressure, Faroll, a member of the Society, does not resist, but calmly accepts whatever comes his way.","Tại Vương Quốc Giai Điệu, ngươi chứng kiến Hội Thi Sĩ bị Tứ Đại Pháp Đình tra hỏi. Dù áp lực đè nặng, Faroll, một thành viên của Hội, không hề chống cự, mà bình thản chấp nhận mọi điều sẽ đến.",C?n ti?ng Anh nghi v?n: Faroll | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"After touching the sheet music Ciaccona left behind, you’re transported back into the Realm of Melodies, where you meet the girl from the study once more. This time, she introduces herself properly.","Sau khi chạm vào bản nhạc Ciaccona mà cô gái để lại, cậu bị cuốn vào Thế Giới Giai Điệu, nơi gặp lại cô bé từ phòng nghiên cứu. Lần này, cô giới thiệu bản thân một cách đàng hoàng.",C?n ti?ng Anh nghi v?n: Ciaccona | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"You're rather smart with words for someone your age, and your insight is quite impressive... Interesting. You know what, why don't you give me a tour of this place again next time? There's plenty I still want to see for myself.","Tuổi còn nhỏ mà cậu ăn nói khéo léo thế, lại còn có cái nhìn sâu sắc nữa… Interesting. Này, lần sau cậu dẫn ta đi thăm lại nơi này nhé? Ta còn muốn tự mình khám phá nhiều thứ lắm.",C?n ti?ng Anh nghi v?n: Interesting | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
"I fail to see the difference between the equipment up here and what you have downstairs. The water quality seems about the same, too. So what exactly makes this a VIP area? Have you ever thought about actually renovating this place?",Ta không thấy có gì khác biệt giữa thiết bị ở đây và những thứ dưới tầng hầm của cậu. Chất lượng nước cũng chẳng hơn gì cả. Vậy cái gì làm chỗ này trở thành khu VIP vậy? Cậu đã bao giờ nghĩ đến việc cải tạo nơi này thật sự chưa?,C?n ti?ng Anh nghi v?n: VIP | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 0.25 | M?c ??: 5.5
