database,table,primary_key_column,primary_key,column,category,status,issues,rule_decision,rule_score,rule_issues,ai_decision,ai_score,ai_reason,source_en,translation_vi,review_note
lang_area.db,Area,Id,2,Content,general,translated,,PASS,10,,,,,Gorges of Spirits,Hẻm Núi Linh Hồn,
lang_area.db,Area,Id,3,Content,general,translated,,PASS,10,,,,,Tiancheng,Thiên Thành,
lang_area.db,Area,Id,4,Content,general,translated,,PASS,10,,,,,Central Plains,Đồng Bằng Trung Tâm,
lang_area.db,Area,Id,5,Content,general,translated,,PASS,10,,,,,Desorock Highland,Cao Nguyên Desorock,
lang_area.db,Area,Id,6,Content,general,translated,,PASS,10,,,,,Forsaken Abundance,Sự Sung Túc Bị Lãng Quên,
lang_area.db,Area,Id,7,Content,general,translated,,PASS,10,,,,,Dim Forest,Rừng Tối,
lang_area.db,Area,Id,8,Content,general,translated,,PASS,10,,,,,Wasted Metropolis,Thành Phố Hoang Phí,
lang_area.db,Area,Id,9,Content,general,translated,,PASS,10,,,,,Norfall Barrens,Bãi Hoang Norfall,
lang_area.db,Area,Id,10,Content,general,translated,,PASS,10,,,,,Whining Aix's Mire,Bãi Bùn Than Vãn của Aix,
lang_area.db,Area,Id,11,Content,general,translated,,PASS,10,,,,,Black Shores,Bờ Biển Đen,
lang_area.db,Area,Id,12,Content,general,translated,,PASS,10,,,,,"Hukou, the Tiger's Maw","Hukou, Hàm Hổ",
lang_area.db,Area,Id,13,Content,general,translated,,PASS,10,,,,,Zero Point Research Station,Trạm Nghiên cứu Điểm Không,
lang_area.db,Area,Id,36,Content,general,translated,,PASS,10,,,,,Outskirt,Ngoại Ô,
lang_area.db,Area,Id,37,Content,general,translated,,PASS,10,,,,,Industrial Area,Khu Công Nghiệp,
lang_area.db,Area,Id,38,Content,general,translated,,PASS,10,,,,,Tiancheng Urban Area,Khu Đô Thị Thiên Thành,
lang_area.db,Area,Id,39,Content,general,translated,,PASS,10,,,,,Center Comand Hall,Trung Tâm Chỉ Huy,
lang_area.db,Area,Id,40,Content,general,translated,,PASS,10,,,,,Tide Rising Cliff,Vách Đá Thủy Triều,
lang_area.db,Area,Id,41,Content,general,translated,,PASS,10,,,,,Stone Pile Plain,Đồng Bằng Đống Đá,
lang_area.db,Area,Id,42,Content,general,translated,,PASS,10,,,,,Gubei Pass,Ải Cổ Bối,
lang_area.db,Area,Id,43,Content,general,translated,,PASS,10,,,,,Kaini Remnant Site,Địa điểm Tàn tích Kaini,
lang_area.db,Area,Id,44,Content,general,translated,,PASS,10,,,,,Long's Gaze Suburbs,Ngoại Ô Long Nhãn,
lang_area.db,Area,Id,45,Content,general,translated,,PASS,10,,,,,Qichi Village,Làng Qichi,
lang_area.db,Area,Id,46,Content,general,translated,,PASS,10,,,,,Yeming Slide,Dốc Trượt Yeming,
lang_area.db,Area,Id,47,Content,general,translated,,PASS,10,,,,,Remnant Center,Trung Tâm Tàn Dư,
lang_area.db,Area,Id,48,Content,general,translated,,PASS,10,,,,,Lone Isle,Đảo Cô Quạnh,
lang_area.db,Area,Id,49,Content,general,translated,,PASS,10,,,,,New Branch,Nhánh Mới,
lang_area.db,Area,Id,50,Content,general,translated,,PASS,10,,,,,Fossil Garden,Vườn Hóa Thạch,
lang_area.db,Area,Id,52,Content,general,translated,,PASS,10,,,,,Settle Range,Phạm Vi Giải Quyết,
lang_area.db,Area,Id,53,Content,general,translated,,PASS,10,,,,,Empty Depository,Kho Lưu Trữ Trống,
lang_area.db,Area,Id,54,Content,general,translated,,PASS,10,,,,,Nostalgia Isle,Đảo Hoài Cổ,
lang_area.db,Area,Id,55,Content,general,translated,,PASS,10,,,,,Withering Frontline,Tiền Tuyến Khô Héo,
lang_area.db,Area,Id,56,Content,general,translated,,PASS,10,,,,,West Range Base,Căn Cứ Tây Khu,
lang_area.db,Area,Id,57,Content,general,translated,,PASS,10,,,,,Incineranur,Hỏa Diệm Thú,
lang_area.db,Area,Id,72,Content,general,translated,,PASS,10,,,,,Tolling Stream,Suối Ngân Rền,
lang_area.db,Area,Id,73,Content,general,translated,,PASS,10,,,,,Memento Square,Quảng Trường Kỷ Vật,
lang_area.db,Area,Id,74,Content,general,translated,,PASS,10,,,,,Cloud Cliff,Vách Đá Mây,
lang_area.db,Area,Id,75,Content,general,translated,,PASS,10,,,,,Lake District Entrance,Lối vào Khu vực Hồ,
lang_area.db,Area,Id,76,Content,general,translated,,PASS,10,,,,,Long's Tear,Long Lệ,
lang_area.db,Area,Id,77,Content,general,translated,,PASS,10,,,,,Misty Coast,Bờ Biển Sương Khói,
lang_area.db,Area,Id,78,Content,general,translated,,PASS,10,,,,,Tacetite Forest,Rừng Tacetite,
lang_area.db,Area,Id,79,Content,general,translated,,PASS,10,,,,,Tacetite Cliff,Vách Đá Tacetite,
lang_area.db,Area,Id,80,Content,general,translated,,PASS,10,,,,,Olecranon Cliff,Vách Đá Olecranon,
lang_area.db,Area,Id,81,Content,general,translated,,PASS,10,,,,,Distant Watch Camp,Trại Canh Gác Từ Xa,
lang_area.db,Area,Id,83,Content,general,translated,,PASS,10,,,,,Sea Corrode Ruin,Tàn Tích Xói Mòn Biển,
lang_area.db,Area,Id,84,Content,general,translated,,PASS,10,,,,,Hermit Settlement,Khu Định Cư Ẩn Sĩ,
lang_area.db,Area,Id,85,Content,general,translated,,PASS,10,,,,,Broken Block,Khối Đã Vỡ,
lang_area.db,Area,Id,87,Content,general,translated,,PASS,10,,,,,Wenye Beach,Bãi Biển Wenye,
lang_area.db,Area,Id,88,Content,general,translated,,REVIEW,6,same_as_source,,,,Purple Moon Ficus,Purple Moon Ficus,
lang_area.db,Area,Id,89,Content,general,translated,,PASS,10,,,,,Amphitheater,Nhà Hát Vòm,
lang_area.db,Area,Id,90,Content,general,translated,,PASS,10,,,,,Forbidden Forest,Rừng Cấm Địa,
lang_area.db,Area,Id,91,Content,general,translated,,PASS,10,,,,,Thorny Passage,Lối Đi Gai Góc,
lang_area.db,Area,Id,93,Content,general,translated,,PASS,10,,,,,Sky Ray,Tia Sét Trời,
lang_area.db,Area,Id,94,Content,general,translated,,PASS,10,,,,,Dust-Sealed Track,Dấu Vết Bị Phong Ấn Bởi Bụi,
lang_area.db,Area,Id,95,Content,general,translated,,PASS,10,,,,,Crane-Habitat Stream,Suối Crane-Habitat,
lang_area.db,Area,Id,96,Content,general,translated,,PASS,10,,,,,Distribution Center,Trung Tâm Phân Phối,
lang_area.db,Area,Id,97,Content,general,translated,,PASS,10,,,,,Hukou Mine,Mỏ Hukou,
lang_area.db,Area,Id,98,Content,general,translated,,PASS,10,,,,,Star Gaze River,Dòng Sông Ngắm Sao,
lang_area.db,Area,Id,99,Content,general,translated,,PASS,10,,,,,Jade Gate Peak,Đỉnh Cổng Ngọc,
lang_area.db,Area,Id,100,Content,general,translated,,PASS,10,,,,,Supply Station,Trạm Cung Cấp,
lang_area.db,Area,Id,101,Content,general,translated,,PASS,10,,,,,Lair of Gun,Hang ổ của Gun,
lang_area.db,Area,Id,102,Content,general,translated,,PASS,10,,,,,Frosting Harbour,Bến Cảng Phủ Sương,
lang_area.db,Area,Id,103,Content,general,translated,,PASS,10,,,,,Jiting Remnant,Tàn Tích Jiting,
lang_area.db,Area,Id,104,Content,general,translated,,PASS,10,,,,,Waving Battlefield,Chiến Trường Gợn Sóng,
lang_area.db,Area,Id,105,Content,general,translated,,PASS,10,,,,,Plateau Ruins,Tàn Tích Cao Nguyên,
lang_area.db,Area,Id,106,Content,general,translated,,PASS,10,,,,,Fallen Grave,Mộ Hoang Tàn,
lang_area.db,Area,Id,107,Content,general,translated,,PASS,10,,,,,Zero Point Research Station,Trạm Nghiên cứu Điểm Không,
lang_area.db,Area,Id,115,Content,general,translated,,PASS,10,,,,,Abandoned Subway,Tàu Điện Ngầm Bỏ Hoang,
