severity,suspicious_count,ratio,words,domain,file,primary_key,translation,source_en
221.89,64,0.889,a; all; and; be; believes; camp; cause; city; comes; committed; crime; different; divided; each; Exile; follow; for; gang; gather; give; group; have; In; in; individuals; into; is; it; jurisdiction; living,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_country\lang_country__name_title__part_0001.json,11,"Exile is a name for all the individuals and organizations who was tossed out of the city and committed crime and scavenge for a living. Họ follow no jurisdiction. The most powerful individuals of each camp will have the right to give orders. In Huanglong, they gather in Wasted Metropolis. Họ're divided into 2 different group cause of their believes. One of the gang seems to be quite welcoming when it comes to outsiders.","Exile is a name for all the individuals and organizations who was tossed out of the city and committed crime and scavenge for a living. They follow no jurisdiction. The most powerful individuals of each camp will have the right to give orders. In Huanglong, they gather in Wasted Metropolis. They're divided into 2 different group cause of their believes. One of the gang seems to be quite welcoming when it comes to outsiders."
184.81,59,0.881,a; again; Age; Although; and; are; best; booming; brought; but; country; culture; development; economy; endless; ever; fighting; for; forged; fracture; has; history; Huanglong's; In; Industry; inherit; is; it's; its; life,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_country\lang_country__name_title__part_0001.json,3,"Huanglong is a nation of thousands of years. Long history forged a special and traditional culture for this nation. Although the Lament fracture it's development, but its people are still fighting and trying their best to inherit whatever the nation remains.
In the Recovery Age. Huanglong's Tacetite Industry brought life again to this country. With the endless order for the Tacetite, Huanglong's economy has ever stopped booming.","Huanglong is a nation of thousands of years. Long history forged a special and traditional culture for this nation. Although the Lament fracture it's development, but its people are still fighting and trying their best to inherit whatever the nation remains.
In the Recovery Age. Huanglong's Tacetite Industry brought life again to this country. With the endless order for the Tacetite, Huanglong's economy has ever stopped booming."
144.65,45,0.865,after; and; Association; being; between; by; community; Due; for; founded; go; got; huge; human; in; is; Joining; more; of; on; PA; people; Pioneer; proud; regular; relationship; relatively; responsibility; scale; short,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_country\lang_country__name_title__part_0001.json,3,"Pioneer Association was founded after the Wuthering War by human community. Họ sometimes go by PA for short.
Due to the trusting relationship between Resonators and regular people in Huanglong, PA got relatively huge scale in Huanglong, and take on more responsibility. Joining the PA is something worth being proud of in Huanglong.","Pioneer Association was founded after the Wuthering War by human community. They sometimes go by PA for short.
Due to the trusting relationship between Resonators and regular people in Huanglong, PA got relatively huge scale in Huanglong, and take on more responsibility. Joining the PA is something worth being proud of in Huanglong."
137.89,40,0.889,A; a; all; allies; and; as; Black; black; carry; dangerous; flower; gather; guest; members; most; name; of; organization; place; same; save; secret; Shore; sworn; symbol; their; Their; to; under; venture,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_country\lang_country__name_title__part_0001.json,15,A secret organization sworn to save the world under the name of Black Shore. Họ venture to the most dangerous place and gather allies with the same will to save the world. Their members and their guest will all carry a black flower as a symbol.,A secret organization sworn to save the world under the name of Black Shore. They venture to the most dangerous place and gather allies with the same will to save the world. Their members and their guest will all carry a black flower as a symbol.
115.17,33,0.917,a; all; always; and; call; different; Drakes; for; from; gather; get; go; group; in; invention; investment; is; lovers; of; places; Repair; Sea; Serpent; Shop; south; them; themselves; they're; things; to,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_country\lang_country__name_title__part_0001.json,9,"Họ gather in the Serpent Repair Shop, and is a group of invention lovers from different places of Huanglong. Họ call themselves the Sea Drakes. While they're all trying to get investment, things always go south for them.","They gather in the Serpent Repair Shop, and is a group of invention lovers from different places of Huanglong. They call themselves the Sea Drakes. While they're all trying to get investment, things always go south for them."
113.14,32,0.914,A; all; always; and; any; avoid; belief; brings; business; by; commit; company; dangerous; force; forces; fortune; many; most; over; Peace; situation; task; their; to; transportation; trusted; were; with; With; world,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_country\lang_country__name_title__part_0001.json,6,"A transportation company with their business all over the world. Họ would commit to the most dangerous transportation task and were trusted by many forces. With the belief ""Peace brings fortune"", Họ always avoid any force situation.","A transportation company with their business all over the world. They would commit to the most dangerous transportation task and were trusted by many forces. With the belief ""Peace brings fortune"", They always avoid any force situation."
95.63,26,0.963,A; all; and; around; association; await; crave; evolutions; for; info; looks; members; More; of; only; power; preserve; revealing; secret; Their; them; wandered; weird; world,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_country\lang_country__name_title__part_0001.json,13,A secret association wandered around the world. Their members crave for only power and evolutions and all preserve weird looks. More info of them await for revealing.,A secret association wandered around the world. Their members crave for only power and evolutions and all preserve weird looks. More info of them await for revealing.
82.85,23,0.885,act; and; carefully; case; dangerous; deal; dire; in; jurisdiction; need; on; ones; own; rules; situation; their; they; to; Under; We; went; will; with,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_country\lang_country__name_title__part_0001.json,5,"Under no jurisdiction, they act on their own will and rules. We need to deal with the dangerous ones carefully, in case the situation went dire.","Under no jurisdiction, they act on their own will and rules. We need to deal with the dangerous ones carefully, in case the situation went dire."
65.0,21,1.0,B; BOOT; D; E; I; Q; R; REEEE; SYS; SYSTEM; U,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0045.json,MAIN_YGDX_78_2,SYS-SYSTEM REEEE-B-B-BOOT R-R-R-E-E-Q-Q-Q-U-I-R-E-E-D-D,SYS-SYSTEM REEEE-B-B-BOOT R-R-R-E-E-Q-Q-Q-U-I-R-E-E-D-D
49.0,9,1.0,A; and; Edition; Etiquette; Excerpts; First; Guide; Septimontian; to,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0017.json,Speaker_800233_Name,<i>A Guide to Septimontian Văn hóa and Etiquette First Edition (Excerpts)</i>,<i>A Guide to Septimontian Culture and Etiquette First Edition (Excerpts)</i>
45.57,12,0.857,A; big; boss; by; crate; Gang; handed; Madam; Muzhi; of; Sow; to,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_item\lang_item__name_title__part_0001.json,1076,"A crate handed to Rover by Muzhi, big boss of the Madam Sow Gang","A crate handed to Rover by Muzhi, big boss of the Madam Sow Gang"
45.57,12,0.857,A; big; boss; by; crate; Gang; handed; Madam; Muzhi; of; Sow; to,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_item\lang_item__name_title__part_0001.json,1078,"A crate handed to Rover by Muzhi, big boss of the Madam Sow Gang","A crate handed to Rover by Muzhi, big boss of the Madam Sow Gang"
43.0,7,0.7,Attack; Basic; Cooldown; Critical; Skill; Stability; State,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0068.json,ResonantChain_30280_Attributes_0,"Hiệu ứng Đặc biệt: Khi **Stability** đạt trạng thái **Critical State**, **Cooldown** của **Resonance Skill** giảm mỗi khi thực hiện **Basic Attack**.","Unique Effect: When Stability reaches Critical State, Resonance Skill Cooldown is reduced each time Basic Attack is cast."
42.0,9,0.9,A; As; Excerpt; Express; Never; Passenger; Should; Startorch; What,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0015.json,Speaker_701092_Name,What Bạn Should Never Do As A Startorch Express Passenger (Excerpt),What You Should Never Do As A Startorch Express Passenger (Excerpt)
41.17,11,0.917,Chang; Guan; Jinlu; Lady; Lian; Lianyue; Sheng; Shunlian; Wu; Xiaoguan; Xiaosheng,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0048.json,Character_YinLin_34_2,"""Wu Sheng/Shunlian… Lianyue/Lian Xiaosheng… Jinlu/Anh ấy Chang… Lady Guan/Xiaoguan…""","""Wu Sheng/Shunlian… Lianyue/Lian Xiaosheng… Jinlu/He Chang… Lady Guan/Xiaoguan…"""
41.0,9,0.9,A; Colors; of; Rating; Splash; Throttle; True; Up,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0098.json,RhythmTask_1011_Name,"Hoàn thành ""A Splash of True Colors (Throttle Up!)"" ở độ khó Thường với Rating cao hơn A","Complete ""A Splash of True Colors (Throttle Up!)"" on Normal with a Rating higher than A"
40.67,6,0.667,Attack; Basic; Bonus; Skill,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0068.json,ResonantChain_30161_Attributes,Hiệu ứng Đặc biệt: Sử dụng Resonance Skill sẽ nhận <color=Highlight>{0}</color> Basic Attack DMG Bonus và tăng tốc độ Basic Attack thêm <color=Highlight>{1}</color> trong <color=Highlight>{2}</color> giây.,Unique Effect: Casting Resonance Skill grants <color=Highlight>{0}</color> Basic Attack DMG Bonus and increases Basic Attack Speed by <color=Highlight>{1}</color> for <color=Highlight>{2}</color>s.
40.0,9,1.0,and; Artworks; Averardo; Depository; Guidelines; I; Metals; Precious; Vault,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0009.json,Speaker_100065_Name,Averardo Vault Guidelines I: Precious Metals and Artworks Depository,Averardo Vault Guidelines I: Precious Metals and Artworks Depository
39.0,13,1.0,E; O; R,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0045.json,MAIN_YGDX_78_1,E-E-E-R-R-R-R-O-O-O-R-R-R,E-E-E-R-R-R-R-O-O-O-R-R-R
39.0,7,1.0,Classmate; Grim; My; Name; Reaper; Wants,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0018.json,Speaker_800361_Name,{message} My Grim Reaper Classmate Wants My Name,{message} My Grim Reaper Classmate Wants My Name
38.89,8,0.889,Bangin'; be; game; Hustlin'; in; n'; rap; we,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0045.json,EVENT_SBGYWYCD_30_1,♪Hustlin' n' Bangin' we be in da rap game♪,♪Hustlin' n' Bangin' we be in da rap game♪
38.89,8,0.889,a; Answer; Falls; Is; of; River; Stars; Where,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0108.json,Condition_14010026_Description,"Hoàn thành nhiệm vụ ""The Answer Is Where a River of Stars Falls"" để mở khóa","Progress the Quest ""The Answer Is Where a River of Stars Falls"" to unlock"
38.18,9,0.818,Although; Colors; Fog; Form; Have; in; of; Pilgrim; Sea,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0086.json,LongShanTask_1902_TaskName,Đạt 4.400 điểm trong Pilgrim in the Sea of Fog của Although Colors Have Không Form,"Obtain 4,400 points in Pilgrim in the Sea of Fog of Although Colors Have No Form"
38.0,8,0.8,Car; Debts; Driver; for; John; Men; Old; Wicktorio,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0032.json,BattlePassTask_345_TaskName,Đạt 8.000 điểm trong Echo Car Driver của John Wicktorio: Không Debts for Old Men,"Obtain 8,000 points in Echo Car Driver of John Wicktorio: No Debts for Old Men"
37.18,9,0.818,l'outil; soumettre; test; Texte; texte,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0075.json,TestTextCommitTool_2,Texte de test soumettre l'outil texte 1Texte de test soumettre l'outil texte 133333,Texte de test soumettre l'outil texte 1Texte de test soumettre l'outil texte 133333
37.0,9,1.0,Coagulation; Factor; Fern; Injection; Spore; Synthesized; type; VIII; Y,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0045.json,XJXYSDJ_22_4,"Rồi cái này… ""Y-type Fern Spore Synthesized Injection Coagulation Factor VIII""…","Then this one… ""Y-type Fern Spore Synthesized Injection Coagulation Factor VIII""…"
37.0,9,1.0,baitian; Gone; Li; Pioneer; Podcast; SOUND; VISION; Waves; Wuthering,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0098.json,MusicJet_10041_Desc,Wuthering Waves Pioneer Podcast / baitian / Gone Li / VISION SOUND,Wuthering Waves Pioneer Podcast / baitian / Gone Li / VISION SOUND
37.0,7,1.0,A; Colors; of; Splash; Throttle; True; Up,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0098.json,MusicJet_10042_Name,A Splash of True Colors (Throttle Up!),A Splash of True Colors (Throttle Up!)
37.0,6,1.0,A; and; Friend; Its; Mysterious; Soliskin,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0039.json,FeiXueWarmup_1045,Hoàn thành Nhiệm vụ: A Soliskin and Its Mysterious Friend,Complete Task: A Soliskin and Its Mysterious Friend
37.0,6,1.0,be; Buff; Default; Justice; Served; to,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0042.json,Activity_1119_Title,Justice to be Served: Default Buff,Justice to be Served: Default Buff
37.0,5,1.0,and; challenge; collect; Complete; tokens,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0021.json,LevelPlay_124000078_QuestScheduleMainTitle_0_2,Complete challenge and collect tokens,Complete challenge and collect tokens
37.0,5,1.0,and; challenge; collect; Complete; tokens,name_title,mistral_translate_work\split_by_prompt\json\name_title\lang_multi_text\lang_multi_text__name_title__part_0021.json,LevelPlay_124000079_QuestScheduleMainTitle_0_2,Complete challenge and collect tokens,Complete challenge and collect tokens
