severity,suspicious_count,ratio,words,domain,file,primary_key,translation,source_en
37.33,11,0.733,Dim; Forest; Hoochiefs; Hoolock; Hooscamps; Mutant; Organism; vexo,monster_description,mistral_translate_work\split_by_prompt\json\monster_description\lang_monster_Info\lang_monster_Info__monster_description__part_0001.json,105,"Tên khoa học ""Hoolock vexo"", một Mutant Organism thuộc chi Hoolock. Hooscamps, mặc dù về thể chất không thể so sánh với Hoochiefs trưởng thành hơn, nhưng sự phát triển trí tuệ không hề khác biệt, Hoochiefs thường dạy Hooscamps săn mồi và phục kích người đi đường trong Dim Forest.","Binomial name ""Hoolock vexo"", a Mutant Organism the genus Hoolock. Hooscamps, though physically incomparable to the more adult Hoochiefs, but the intellectual development has been no different, the Hoochiefs tends to teach Hooscamps to hunt and ambush passers-by in the Dim Forest."
28.67,8,0.667,Jiyan; Midnight; Outriders; Rangers; Rearguard; Vanguard,monster_description,mistral_translate_work\split_by_prompt\json\monster_description\lang_multi_text\lang_multi_text__monster_description__part_0001.json,MonsterInfo_310000690_DiscoveredDes,"Thành viên của Midnight Rangers.

Midnight Rangers bao gồm ba bộ phận: Outriders (trinh sát), Vanguard (tác chiến tấn công) và Rearguard (tác chiến phòng thủ), tất cả đều dưới sự chỉ huy của Đại tướng Jiyan.","A member of the Midnight Rangers.

The Midnight Rangers consist of three divisions: Outriders (reconnaissance), Vanguard (offensive operations), and Rearguard (defensive operations), all under the command of General Jiyan."
28.67,8,0.667,Jiyan; Midnight; Outriders; Rangers; Rearguard; Vanguard,monster_description,mistral_translate_work\split_by_prompt\json\monster_description\lang_multi_text\lang_multi_text__monster_description__part_0001.json,MonsterInfo_310000700_DiscoveredDes,"Thành viên của Midnight Rangers.

Midnight Rangers bao gồm ba bộ phận: Outriders (trinh sát), Vanguard (tác chiến tấn công) và Rearguard (tác chiến phòng thủ), tất cả đều dưới sự chỉ huy của Đại tướng Jiyan.","A member of the Midnight Rangers.

The Midnight Rangers consist of three divisions: Outriders (reconnaissance), Vanguard (offensive operations), and Rearguard (defensive operations), all under the command of General Jiyan."
27.33,8,0.533,Aleph; Exoswarm; Lahai; Storm; Void; Voidworm,monster_description,mistral_translate_work\split_by_prompt\json\monster_description\lang_multi_text\lang_multi_text__monster_description__part_0001.json,MonsterInfo_340000240_DiscoveredDes,"Một sinh vật đến từ chiều không gian cao hơn, bắt nguồn từ Aleph-1, đã định hình cơ thể mình từ Exoswarm bị Void Storm nuốt chửng và rèn cột sống từ tàn tích của Exostrider. Đối với cư dân Lahai-Roi, Voidworm và Void Storm đều đáng sợ như nhau. Cả hai đều là những thảm họa tự nhiên khó lường, nuốt chửng mọi thứ trên đường đi.","A higher-dimensional being originated from Aleph-1, which shaped its body with Exoswarm devoured by the Void Storm and forged its spine with the Exostrider's remnants. To the inhabitants of Lahai-Roi, Voidworm and Void Storm are equally terrifying. Both are unpredictable natural disasters that devour everything in their paths."
27.0,8,0.5,Agaricus; mimetikos; Mutant; Organism; Roseshroom; Tacetites,monster_description,mistral_translate_work\split_by_prompt\json\monster_description\lang_monster_Info\lang_monster_Info__monster_description__part_0001.json,66,"Tên khoa học ""Agaricus mimetikos"", một Mutant Organism thuộc chi Agaricus. Ở giai đoạn chưa trưởng thành, Roseshroom chưa có khả năng hấp thụ chất dinh dưỡng từ Tacetites, do đó cần thu thập chất dinh dưỡng từ những Roseshroom trưởng thành gần đó để sinh tồn.","Binomial name ""Agaricus mimetikos"", a Mutant Organism the genus Agaricus. In its immatured stage, the Roseshroom does not yet possess the ability to absorb nutrients from Tacetites, thus needing to gather nutrients from nearby matured Roseshrooms in order to survive."
26.78,7,0.778,brachyurus; Chrysocyon; Mutant; Organism; terreo,monster_description,mistral_translate_work\split_by_prompt\json\monster_description\lang_monster_Info\lang_monster_Info__monster_description__part_0001.json,114,"Tên khoa học ba phần ""Chrysocyon brachyurus terreo"", một Mutant Organism thuộc phân loài Chrysocyon brachyurus.","Trinomial name ""Chrysocyon brachyurus terreo"", a Mutant Organism the subspecies Chrysocyon brachyurus."
25.14,5,0.714,Discord; End; fatuus; ignis; Penitent's,monster_description,mistral_translate_work\split_by_prompt\json\monster_description\lang_multi_text\lang_multi_text__monster_description__part_0001.json,MonsterInfo_310000430_UndiscoveredDes,"Một Discord hình chim săn mồi tại Penitent's End. Trong bóng tối, hình dạng của nó hòa vào bóng đêm, chỉ còn chiếc mặt nạ lấp lánh như ignis fatuus.","An avian Tacet Discord prowling the Penitent's End. In darkness, its form blends into shadow, leaving only its mask flickering like ignis fatuus."
24.67,6,0.667,Aix's; Gorges; Mire; of; Spirit; Whining,monster_description,mistral_translate_work\split_by_prompt\json\monster_description\lang_monster_Info\lang_monster_Info__monster_description__part_0001.json,110,"Sinh vật đột biến trên cạn, chủ yếu được tìm thấy ở Gorges of Spirit. Một số trường hợp cũng được báo cáo tại những nơi như Whining Aix's Mire, và mức độ nguy hiểm không cao.","Terrestrial Mutant Organism, mostly found in the Gorges of Spirit. Some sightings have also been reported in places such as the Whining Aix's Mire, and the danger is not high."
24.67,6,0.667,Exostrider; Exoswarm; Lahai; Roya; Shepherd's; Staff,monster_description,mistral_translate_work\split_by_prompt\json\monster_description\lang_multi_text\lang_multi_text__monster_description__part_0001.json,MonsterInfo_310000800_DiscoveredDes,"Những Roya bị bộ tộc trục xuất vì bán xác tế bào Exostrider. Tuy nhiên, họ tự coi mình không bị ràng buộc bởi những lề thói cũ. Để chế giễu truyền thống, họ đeo mặt nạ làm từ đầu Exoswarm và sử dụng Shepherd's Staff làm vũ khí, từ đó trở thành thế lực hỗn loạn không kiểm soát tại Lahai-Roi.","The Roya who were cast out of their tribe for selling Exostrider cell remnants. They, however, view themselves as unfettered by the old ways. To mock tradition, they wear masks made from Exoswarm heads and use the Shepherd's Staff as a weapon, and thus become a force of unrestrained chaos in Lahai-Roi."
24.5,6,0.75,Discord; Junrocks; lapis; Resinacrustidum; Vanguard,monster_description,mistral_translate_work\split_by_prompt\json\monster_description\lang_monster_Info\lang_monster_Info__monster_description__part_0001.json,6,"Tên khoa học ""Resinacrustidum lapis"", thuộc loài Resinacrustidum. Discord này thường hoạt động cùng với Vanguard Junrocks, mức độ nguy hiểm tương đối thấp.","Binomial name ""Resinacrustidum lapis"", part of the Resinacrustidum species. This Tacet Discord is often found active, along with Vanguard Junrocks, relatively low danger level."
